Time (ns),IMSI,SrcCellId,RNTI,TrgtCellId,Type,
20214285,1,1,3,1,CONNECTION_ESTABLISHED_UE,
20214285,2,1,1,1,CONNECTION_ESTABLISHED_UE,
20214285,4,1,2,1,CONNECTION_ESTABLISHED_UE,
20214285,6,1,4,1,CONNECTION_ESTABLISHED_UE,
20214285,1,1,3,1,CONNECTION_ESTABLISHED_ENB,
20214285,2,1,1,1,CONNECTION_ESTABLISHED_ENB,
20214285,4,1,2,1,CONNECTION_ESTABLISHED_ENB,
20214285,6,1,4,1,CONNECTION_ESTABLISHED_ENB,
25214285,3,1,5,1,CONNECTION_ESTABLISHED_UE,
25214285,5,1,6,1,CONNECTION_ESTABLISHED_UE,
25214285,3,1,5,1,CONNECTION_ESTABLISHED_ENB,
25214285,5,1,6,1,CONNECTION_ESTABLISHED_ENB,
24680001000,4,1,2,2,HANDOVER_TRIGGERED_ENB,
24690001161,4,1,2,3,HANDOVER_START_ENB,
24690001161,4,1,2,3,HANDOVER_START_UE,
24694214285,4,3,1,3,HANDOVER_OK_UE,
24694214484,4,3,1,3,HANDOVER_OK_ENB,
25040001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
25050001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
25280001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
25290001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
25520001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
25530001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
25760001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
25770001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
26000001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
26010001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
26240001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
26250001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
26480001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
26490001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
26720001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
26730001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
26960001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
26970001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
27200001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
27210001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
27440001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
27450001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
27680001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
27690001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
27920001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
27930001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
28160001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
28170001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
28400001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
28410001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
28640001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
28650001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
28880001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
28890001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
29120001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
29130001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
29360001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
29370001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
29600001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
29610001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
29840001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
29850001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
30080001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
30090001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
30320001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
30330001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
30560001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
30570001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
30800001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
30810001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
31040001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
31050001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
31280001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
31290001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
31520001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
31530001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
31760001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
31770001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
32000001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
32010001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
32240001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
32250001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
32480001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
32490001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
32720001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
32730001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
32960001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
32970001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
33000001000,6,1,4,2,HANDOVER_TRIGGERED_ENB,
33010001000,6,1,4,2,HANDOVER_CANCELLED_RIC,
33200001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
33210001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
33240001000,6,1,4,2,HANDOVER_TRIGGERED_ENB,
33250001000,6,1,4,2,HANDOVER_CANCELLED_RIC,
33440001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
33450001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
33480001000,6,1,4,2,HANDOVER_TRIGGERED_ENB,
33490001000,6,1,4,2,HANDOVER_CANCELLED_RIC,
33680001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
33690001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
33720001000,6,1,4,2,HANDOVER_TRIGGERED_ENB,
33730001000,6,1,4,2,HANDOVER_CANCELLED_RIC,
33920001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
33930001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
33960001000,6,1,4,2,HANDOVER_TRIGGERED_ENB,
33970001000,6,1,4,2,HANDOVER_CANCELLED_RIC,
34160001000,4,3,1,2,HANDOVER_TRIGGERED_ENB,
34170001000,4,3,1,2,HANDOVER_CANCELLED_RIC,
