Time (ns),IMSI,SrcCellId,RNTI,TrgtCellId,Type,
20214285,1,1,1,1,CONNECTION_ESTABLISHED_UE,
20214285,1,1,1,1,CONNECTION_ESTABLISHED_ENB,
591214285,2,1,4,1,CONNECTION_ESTABLISHED_UE,
591214285,2,1,4,1,CONNECTION_ESTABLISHED_ENB,
1137214285,3,1,18,1,CONNECTION_ESTABLISHED_UE,
1137214285,3,1,18,1,CONNECTION_ESTABLISHED_ENB,
1963214285,4,1,23,1,CONNECTION_ESTABLISHED_UE,
1963214285,4,1,23,1,CONNECTION_ESTABLISHED_ENB,
2020214285,5,1,24,1,CONNECTION_ESTABLISHED_UE,
2020214285,5,1,24,1,CONNECTION_ESTABLISHED_ENB,
2615214285,6,1,31,1,CONNECTION_ESTABLISHED_UE,
2615214285,6,1,31,1,CONNECTION_ESTABLISHED_ENB,
2820214285,2,2,1,2,CONNECTION_ESTABLISHED_UE,
2820214285,2,2,1,2,CONNECTION_ESTABLISHED_ENB,
3140214285,7,1,32,1,CONNECTION_ESTABLISHED_UE,
3140214285,7,1,32,1,CONNECTION_ESTABLISHED_ENB,
3460214285,3,2,2,2,CONNECTION_ESTABLISHED_UE,
3460214285,3,2,2,2,CONNECTION_ESTABLISHED_ENB,
3803214285,8,1,37,1,CONNECTION_ESTABLISHED_UE,
3803214285,8,1,37,1,CONNECTION_ESTABLISHED_ENB,
4000045124,18446744073709551615,1,18,2,HANDOVER_TRIGGERED_ENB,
4000116566,18446744073709551615,1,4,2,HANDOVER_TRIGGERED_ENB,
4020214285,9,1,38,1,CONNECTION_ESTABLISHED_UE,
4020214285,9,1,38,1,CONNECTION_ESTABLISHED_ENB,
4260214285,4,3,1,3,CONNECTION_ESTABLISHED_UE,
4260214285,4,3,1,3,CONNECTION_ESTABLISHED_ENB,
4580214285,10,1,39,1,CONNECTION_ESTABLISHED_UE,
4580214285,10,1,39,1,CONNECTION_ESTABLISHED_ENB,
5000034998,7,1,32,2,HANDOVER_TRIGGERED_ENB,
5000035206,7,1,32,2,HANDOVER_START_ENB,
5000035206,7,1,32,2,HANDOVER_START_UE,
5000036321,3,2,2,3,HANDOVER_TRIGGERED_ENB,
5000036526,18446744073709551615,1,23,3,HANDOVER_TRIGGERED_ENB,
5000036529,3,2,2,3,HANDOVER_START_ENB,
5000036529,3,2,2,3,HANDOVER_START_UE,
5000037551,5,1,24,3,HANDOVER_TRIGGERED_ENB,
