time_s,srcCellId,neighborCellId,cio_display_dB,cio_display_ie
0.5,1,2,0,0
0.5,1,3,0,0
0.5,2,1,0,0
0.5,2,3,0,0
0.5,3,1,0,0
0.5,3,2,0,0
3,1,2,0,0
3,1,3,0,0
3,2,1,0,0
3,2,3,0,0
3,3,1,0,0
3,3,2,0,0
5.5,1,2,0,0
5.5,1,3,0,0
5.5,2,1,0,0
5.5,2,3,0,0
5.5,3,1,0,0
5.5,3,2,0,0
8,1,2,0,0
8,1,3,0,0
8,2,1,0,0
8,2,3,0,0
8,3,1,0,0
8,3,2,0,0
10.5,1,2,0,0
10.5,1,3,0,0
10.5,2,1,0,0
10.5,2,3,0,0
10.5,3,1,0,0
10.5,3,2,0,0
13,1,2,0,0
13,1,3,0,0
13,2,1,0,0
13,2,3,0,0
13,3,1,0,0
13,3,2,0,0
15.5,1,2,0,0
15.5,1,3,0,0
15.5,2,1,0,0
15.5,2,3,0,0
15.5,3,1,0,0
15.5,3,2,0,0
18,1,2,0,0
18,1,3,0,0
18,2,1,0,0
18,2,3,0,0
18,3,1,0,0
18,3,2,0,0
20.5,1,2,0,0
20.5,1,3,0,0
20.5,2,1,0,0
20.5,2,3,0,0
20.5,3,1,0,0
20.5,3,2,0,0
23,1,2,0,0
23,1,3,0,0
23,2,1,0,0
23,2,3,0,0
23,3,1,0,0
23,3,2,0,0
25.5,1,2,0,0
25.5,1,3,0,0
25.5,2,1,0,0
25.5,2,3,0,0
25.5,3,1,0,0
25.5,3,2,0,0
28,1,2,0,0
28,1,3,0,0
28,2,1,0,0
28,2,3,0,0
28,3,1,0,0
28,3,2,0,0
30.5,1,2,0,0
30.5,1,3,0,0
30.5,2,1,0,0
30.5,2,3,0,0
30.5,3,1,0,0
30.5,3,2,0,0
33,1,2,0,0
33,1,3,0,0
33,2,1,0,0
33,2,3,0,0
33,3,1,0,0
33,3,2,0,0
35.5,1,2,0,0
35.5,1,3,0,0
35.5,2,1,0,0
35.5,2,3,0,0
35.5,3,1,0,0
35.5,3,2,0,0
38,1,2,0,0
38,1,3,0,0
38,2,1,0,0
38,2,3,0,0
38,3,1,0,0
38,3,2,0,0
40.5,1,2,0,0
40.5,1,3,0,0
40.5,2,1,0,0
40.5,2,3,0,0
40.5,3,1,0,0
40.5,3,2,0,0
43,1,2,0,0
43,1,3,0,0
43,2,1,0,0
43,2,3,0,0
43,3,1,0,0
43,3,2,0,0
45.5,1,2,0,0
45.5,1,3,0,0
45.5,2,1,0,0
45.5,2,3,0,0
45.5,3,1,0,0
45.5,3,2,0,0
48,1,2,0,0
48,1,3,0,0
48,2,1,0,0
48,2,3,0,0
48,3,1,0,0
48,3,2,0,0
50.5,1,2,0,0
50.5,1,3,0,0
50.5,2,1,0,0
50.5,2,3,0,0
50.5,3,1,0,0
50.5,3,2,0,0
53,1,2,0,0
53,1,3,0,0
53,2,1,0,0
53,2,3,0,0
53,3,1,0,0
53,3,2,0,0
55.5,1,2,0,0
55.5,1,3,0,0
55.5,2,1,0,0
55.5,2,3,0,0
55.5,3,1,0,0
55.5,3,2,0,0
58,1,2,0,0
58,1,3,0,0
58,2,1,0,0
58,2,3,0,0
58,3,1,0,0
58,3,2,0,0
