time_s,cellId,cioRaw,txpRaw,selfCio_display_dB,txpApplied_dBm,cellThp_kbps,alpha
0.5,1,0,0,0,32,0,0
0.5,2,0,0,0,32,0,0
0.5,3,0,0,0,32,0,0
3,1,0,0,0,32,9162.02,0
3,2,0,0,0,32,13284.7,0
3,3,0,0,0,32,10816.2,0
5.5,1,0,0,0,32,9026.1,0
5.5,2,0,0,0,32,12920.9,0
5.5,3,0,0,0,32,10451.1,0
8,1,0,0,0,32,9310.13,0
8,2,0,0,0,32,10232.7,0
8,3,0,0,0,32,10235.3,0
10.5,1,0,0,0,32,9745.44,0
10.5,2,0,0,0,32,8488.62,0
10.5,3,0,0,0,32,10526.1,0
13,1,0,0,0,32,9426.82,0
13,2,0,0,0,32,8725.17,0
13,3,0,0,0,32,10633.3,0
15.5,1,0,0,0,32,9267.79,0
15.5,2,0,0,0,32,8568.99,0
15.5,3,0,0,0,32,10391.9,0
18,1,0,0,0,32,9660.7,0
18,2,0,0,0,32,8653.71,0
18,3,0,0,0,32,10653.3,0
20.5,1,0,0,0,32,9901.58,0
20.5,2,0,0,0,32,8638.82,0
20.5,3,0,0,0,32,10580.8,0
23,1,0,0,0,32,9875.73,0
23,2,0,0,0,32,8262.72,0
23,3,0,0,0,32,10612.8,0
25.5,1,0,0,0,32,10060.3,0
25.5,2,0,0,0,32,8257.65,0
25.5,3,0,0,0,32,10495,0
28,1,0,0,0,32,10162.1,0
28,2,0,0,0,32,8899.2,0
28,3,0,0,0,32,9627.06,0
30.5,1,0,0,0,32,10439.3,0
30.5,2,0,0,0,32,8620.69,0
30.5,3,0,0,0,32,9458.64,0
33,1,0,0,0,32,10085.5,0
33,2,0,0,0,32,8167.54,0
33,3,0,0,0,32,10329.3,0
35.5,1,0,0,0,32,9422.37,0
35.5,2,0,0,0,32,9469.36,0
35.5,3,0,0,0,32,9953.81,0
38,1,0,0,0,32,9693.92,0
38,2,0,0,0,32,10544.8,0
38,3,0,0,0,32,9793.54,0
40.5,1,0,0,0,32,9865.31,0
40.5,2,0,0,0,32,10477.9,0
40.5,3,0,0,0,32,9947.9,0
43,1,0,0,0,32,9705.06,0
43,2,0,0,0,32,10585.4,0
43,3,0,0,0,32,9860.1,0
45.5,1,0,0,0,32,9453.49,0
45.5,2,0,0,0,32,9804.18,0
45.5,3,0,0,0,32,9493.14,0
48,1,0,0,0,32,9753.3,0
48,2,0,0,0,32,9923.57,0
48,3,0,0,0,32,9334.99,0
50.5,1,0,0,0,32,9559.25,0
50.5,2,0,0,0,32,12197.5,0
50.5,3,0,0,0,32,11177.5,0
53,1,0,0,0,32,9104.61,0
53,2,0,0,0,32,11512.9,0
53,3,0,0,0,32,11239.2,0
55.5,1,0,0,0,32,9060.59,0
55.5,2,0,0,0,32,12282.8,0
55.5,3,0,0,0,32,10222,0
58,1,0,0,0,32,9166.19,0
58,2,0,0,0,32,12264.4,0
58,3,0,0,0,32,10811.5,0
