time_s,step,reward_cell1,reward_cell2,reward_cell3,prb_std,ue_std
0.5,0,0,0,0,0,0
1,1,0,0,0,0,0.0272166
1.5,2,0.617178,0.623869,0.879962,0,0.0272166
2,3,0.616608,0.622418,0.857005,0,0.0272166
2.5,4,0.611024,0.623869,0.818438,0,0.0272166
3,5,0.610115,0.623846,0.82007,0,0.0272166
3.5,6,0.609958,0.611358,0.820069,0,0.0272166
4,7,0.607658,0.60519,0.819155,0,0.0272166
4.5,8,0.604854,0.604384,0.791027,0,0.0272166
5,9,0.617603,0.604355,0.787965,0,0.0272166
5.5,10,0.61704,0.599954,0.77156,0,0.0272166
6,11,0.60344,0.585728,0.781115,0,0.0272166
6.5,12,0.602894,0.588304,0.781384,0,0.0272166
7,13,0.602742,0.58664,0.78112,0,0.0272166
7.5,14,0.602896,0.599595,0.754546,0,0.0272166
8,15,0.602741,0.652971,0.71731,0,0.0272166
8.5,16,0.617157,0.62611,0.717898,0,0.0272166
9,17,0.647949,0.586861,0.722339,0,0
9.5,18,0.647949,0.575539,0.71768,0,0
10,19,0.650978,0.575461,0.716819,0,0
10.5,20,0.636088,0.586616,0.716309,0,0
11,21,0.627462,0.601523,0.70691,0,0.0272166
11.5,22,0.627603,0.601526,0.706715,0,0.0272166
12,23,0.627109,0.601176,0.722237,0,0.0272166
12.5,24,0.62696,0.600051,0.720333,0,0.0272166
13,25,0.624824,0.600074,0.721266,0,0.0272166
13.5,26,0.612602,0.601526,0.721422,0,0.0272166
14,27,0.61245,0.601176,0.70011,0,0.0272166
14.5,28,0.612946,0.601526,0.696165,0,0.0272166
15,29,0.611805,0.600611,0.69696,0,0.0272166
15.5,30,0.603338,0.600187,0.696165,0,0.0272166
16,31,0.597115,0.620362,0.670482,0,0.0272166
16.5,32,0.593338,0.589776,0.703184,0,0.0272166
17,33,0.582219,0.595891,0.686923,0,0.0272166
17.5,34,0.585741,0.63251,0.642131,0,0.0272166
18,35,0.602032,0.61903,0.655891,0,0.0272166
18.5,36,0.605094,0.618368,0.650733,0,0.0272166
19,37,0.60339,0.617562,0.649317,0,0.0272166
19.5,38,0.601723,0.619011,0.65307,0,0.0272166
20,39,0.602427,0.617555,0.655309,0,0.0272166
20.5,40,0.601864,0.617541,0.655542,0,0.0272166
21,41,0.601565,0.603562,0.663442,0,0.0272166
21.5,42,0.602931,0.585826,0.671003,0,0.0272166
22,43,0.600723,0.587531,0.672557,0,0.0272166
22.5,44,0.594659,0.567869,0.671003,0,0.0272166
23,45,0.589298,0.567912,0.670091,0,0.0272166
23.5,46,0.579352,0.567413,0.67044,0,0.0272166
24,47,0.566475,0.567971,0.671155,0,0.0272166
24.5,48,0.574542,0.567115,0.674616,0,0.0272166
25,49,0.59133,0.567413,0.659592,0,0.0272166
25.5,50,0.589584,0.567408,0.658437,0,0.0272166
26,51,0.590227,0.567117,0.657382,0,0.0272166
26.5,52,0.58619,0.565627,0.657525,0,0.0272166
27,53,0.600763,0.542949,0.658296,0,0
27.5,54,0.607254,0.551501,0.658027,0,0
28,55,0.614637,0.532563,0.647322,0,0
28.5,56,0.614285,0.52903,0.640206,0,0
29,57,0.614632,0.529538,0.647323,0,0
29.5,58,0.614288,0.529517,0.658198,0,0
30,59,0.617962,0.529016,0.654754,0,0
30.5,60,0.627685,0.525245,0.656109,0.0108779,0
31,61,0.631302,0.509701,0.702136,0,0.0272166
31.5,62,0.630202,0.515221,0.708773,0,0.0272166
32,63,0.631302,0.534931,0.719966,0,0.0272166
32.5,64,0.629558,0.542928,0.718078,0,0.0272166
33,65,0.608352,0.538056,0.744413,0,0.0272166
33.5,66,0.589122,0.544614,0.79273,0,0.0471405
34,67,0.590586,0.54397,0.75753,0,0.0471405
34.5,68,0.640531,0.544125,0.685603,0,0.0272166
35,69,0.642008,0.543973,0.69379,0,0.0272166
35.5,70,0.640907,0.538442,0.692258,0,0.0272166
36,71,0.642008,0.550779,0.691965,0,0.0272166
36.5,72,0.640262,0.566819,0.692251,0,0.0272166
37,73,0.642008,0.566459,0.69193,0,0.0272166
37.5,74,0.640907,0.566816,0.691584,0,0.0272166
38,75,0.642008,0.566464,0.702638,0,0.0272166
38.5,76,0.643048,0.566814,0.716427,0,0.0272166
39,77,0.649509,0.567107,0.705526,0,0.0272166
39.5,78,0.654133,0.561635,0.706253,0,0.0272166
40,79,0.65701,0.550822,0.705144,0,0.0272166
40.5,80,0.660765,0.550821,0.720467,0,0.0272166
41,81,0.659022,0.551171,0.72221,0,0.0272166
41.5,82,0.65811,0.550819,0.720466,0,0.0272166
42,83,0.659022,0.550826,0.721109,0,0.0272166
42.5,84,0.640848,0.554947,0.720466,0,0.0272166
43,85,0.623179,0.566365,0.722934,0,0.0272166
43.5,86,0.632382,0.56537,0.736221,0,0.0272166
44,87,0.631176,0.566365,0.740141,0,0.0272166
44.5,88,0.632382,0.566016,0.739227,0,0.0272166
45,89,0.631174,0.56619,0.718629,0,0.0272166
45.5,90,0.632381,0.58923,0.702302,0,0.0272166
46,91,0.631973,0.598296,0.711733,0,0.0272166
46.5,92,0.631739,0.604578,0.718626,0,0.0272166
47,93,0.632378,0.588882,0.72244,0,0.0272166
47.5,94,0.631157,0.598067,0.727774,0,0.0272166
48,95,0.653512,0.597523,0.724238,0,0.0272166
48.5,96,0.634978,0.598027,0.711576,0,0.0272166
49,97,0.621446,0.585554,0.694963,0,0.0272166
49.5,98,0.626035,0.581219,0.685157,0,0.0272166
50,99,0.591238,0.590779,0.71803,0,0.0272166
50.5,100,0.583808,0.598245,0.725395,0,0
51,101,0.578176,0.59844,0.719067,0,0
51.5,102,0.576542,0.614486,0.719149,0,0
52,103,0.563731,0.609181,0.734566,0,0
52.5,104,0.555723,0.59785,0.733621,0,0
53,105,0.541507,0.598202,0.731763,0,0
53.5,106,0.539936,0.597853,0.760363,0,0
54,107,0.568858,0.598198,0.715133,0,0
54.5,108,0.612234,0.597851,0.705386,0,0.0272166
55,109,0.623339,0.60991,0.71233,0,0.0272166
55.5,110,0.623344,0.602768,0.711061,0,0.0272166
56,111,0.622698,0.603331,0.71151,0,0.0272166
56.5,112,0.623341,0.603331,0.712456,0,0.0272166
57,113,0.623344,0.603323,0.715101,0,0.0272166
57.5,114,0.623046,0.602752,0.70604,0,0.0272166
58,115,0.623341,0.603314,0.720235,0,0.0272166
58.5,116,0.622701,0.603315,0.704184,0,0.0272166
