time_s,cellId,cioRaw,txpRaw,selfCio_display_dB,txpApplied_dBm,cellThp_kbps,alpha
0.4,1,0,0,0,32,24726.3,0
0.4,2,0,0,0,32,16540.7,0
0.4,3,0,0,0,32,11317.2,0
0.9,1,0,0,0,32,16651,0
0.9,2,0,0,0,32,16706.6,0
0.9,3,0,0,0,32,17757.1,0
1.4,1,0,0,0,32,16567.3,0
1.4,2,0,0,0,32,16727.3,0
1.4,3,0,0,0,32,17244.5,0
1.9,1,0,0,0,32,16608.7,0
1.9,2,0,0,0,32,16649.4,0
1.9,3,0,0,0,32,17456.3,0
2.4,1,0,0,0,32,16315.9,0
2.4,2,0,0,0,32,17071.2,0
2.4,3,0,0,0,32,17482.9,0
2.9,1,0,0,0,32,16314.9,0
2.9,2,0,0,0,32,17152.5,0
2.9,3,0,0,0,32,17644.9,0
3.4,1,0,0,0,32,16395.5,0
3.4,2,0,0,0,32,17324,0
3.4,3,0,0,0,32,17477.7,0
3.9,1,0,0,0,32,16416,0
3.9,2,0,0,0,32,17489.9,0
3.9,3,0,0,0,32,17658.4,0
4.4,1,0,0,0,32,16736.6,0
4.4,2,0,0,0,32,17318.5,0
4.4,3,0,0,0,32,18031,0
4.9,1,0,0,0,32,16651.5,0
4.9,2,0,0,0,32,17486.6,0
4.9,3,0,0,0,32,18494.5,0
5.4,1,0,0,0,32,16653.8,0
5.4,2,0,0,0,32,17610.2,0
5.4,3,0,0,0,32,18640.1,0
5.9,1,0,0,0,32,16586.5,0
5.9,2,0,0,0,32,17257.5,0
5.9,3,0,0,0,32,18579.1,0
6.4,1,0,0,0,32,16433.7,0
6.4,2,0,0,0,32,17614.2,0
6.4,3,0,0,0,32,18735.6,0
6.9,1,0,0,0,32,16664.1,0
6.9,2,0,0,0,32,17316.7,0
6.9,3,0,0,0,32,18257.8,0
7.4,1,0,0,0,32,16737.9,0
7.4,2,0,0,0,32,16984.5,0
7.4,3,0,0,0,32,18509.7,0
7.9,1,0,0,0,32,16963.8,0
7.9,2,0,0,0,32,17153.8,0
7.9,3,0,0,0,32,18546.2,0
8.4,1,0,0,0,32,16890.3,0
8.4,2,0,0,0,32,17248.4,0
8.4,3,0,0,0,32,18948.9,0
8.9,1,0,0,0,32,15968.9,0
8.9,2,0,0,0,32,17024.3,0
8.9,3,0,0,0,32,18789.2,0
9.4,1,0,0,0,32,15941.3,0
9.4,2,0,0,0,32,17165.4,0
9.4,3,0,0,0,32,18916.9,0
9.9,1,0,0,0,32,15291.4,0
9.9,2,0,0,0,32,17198.6,0
9.9,3,0,0,0,32,18618.6,0
10.4,1,0,0,0,32,15131.6,0
10.4,2,0,0,0,32,16875.5,0
10.4,3,0,0,0,32,18993.6,0
10.9,1,0,0,0,32,15007.6,0
10.9,2,0,0,0,32,17060.5,0
10.9,3,0,0,0,32,18866.2,0
11.4,1,0,0,0,32,15182.9,0
11.4,2,0,0,0,32,16930.5,0
11.4,3,0,0,0,32,18913.6,0
11.9,1,0,0,0,32,15313,0
11.9,2,0,0,0,32,17120.1,0
11.9,3,0,0,0,32,18714.3,0
12.4,1,0,0,0,32,14924.6,0
12.4,2,0,0,0,32,16695.6,0
12.4,3,0,0,0,32,19103.3,0
12.9,1,0,0,0,32,14651.5,0
12.9,2,0,0,0,32,17201.5,0
12.9,3,0,0,0,32,18463,0
13.4,1,0,0,0,32,14299,0
13.4,2,0,0,0,32,16718.6,0
13.4,3,0,0,0,32,18671.8,0
13.9,1,0,0,0,32,14254.4,0
13.9,2,0,0,0,32,16989.9,0
13.9,3,0,0,0,32,18790.1,0
14.4,1,0,0,0,32,14459.8,0
14.4,2,0,0,0,32,17133.1,0
14.4,3,0,0,0,32,18658.4,0
14.9,1,0,0,0,32,14202.4,0
14.9,2,0,0,0,32,16414.5,0
14.9,3,0,0,0,32,18342,0
15.4,1,0,0,0,32,14115.8,0
15.4,2,0,0,0,32,16411.4,0
15.4,3,0,0,0,32,18272.7,0
15.9,1,0,0,0,32,14136.6,0
15.9,2,0,0,0,32,16446.2,0
15.9,3,0,0,0,32,17965.4,0
16.4,1,0,0,0,32,14055.4,0
16.4,2,0,0,0,32,16107.4,0
16.4,3,0,0,0,32,18244.4,0
16.9,1,0,0,0,32,14507.8,0
16.9,2,0,0,0,32,16409.1,0
16.9,3,0,0,0,32,18415.8,0
17.4,1,0,0,0,32,15061.4,0
17.4,2,0,0,0,32,16069.7,0
17.4,3,0,0,0,32,18059.9,0
17.9,1,0,0,0,32,14503.3,0
17.9,2,0,0,0,32,15170.6,0
17.9,3,0,0,0,32,18257.3,0
18.4,1,0,0,0,32,14473.9,0
18.4,2,0,0,0,32,14761.6,0
18.4,3,0,0,0,32,18352.6,0
18.9,1,0,0,0,32,14430.8,0
18.9,2,0,0,0,32,14756.1,0
18.9,3,0,0,0,32,17818.8,0
19.4,1,0,0,0,32,14391.8,0
19.4,2,0,0,0,32,14819.5,0
19.4,3,0,0,0,32,17602.9,0
19.9,1,0,0,0,32,14481.8,0
19.9,2,0,0,0,32,13691.2,0
19.9,3,0,0,0,32,17556.6,0
20.4,1,0,0,0,32,14485.4,0
20.4,2,0,0,0,32,14298.6,0
20.4,3,0,0,0,32,17838.6,0
20.9,1,0,0,0,32,14303.5,0
20.9,2,0,0,0,32,13885,0
20.9,3,0,0,0,32,17620.5,0
21.4,1,0,0,0,32,15165.5,0
21.4,2,0,0,0,32,14333.6,0
21.4,3,0,0,0,32,17828.7,0
21.9,1,0,0,0,32,15042.2,0
21.9,2,0,0,0,32,13715.2,0
21.9,3,0,0,0,32,18175,0
22.4,1,0,0,0,32,14667.3,0
22.4,2,0,0,0,32,13964.1,0
22.4,3,0,0,0,32,18110.5,0
22.9,1,0,0,0,32,14830.4,0
22.9,2,0,0,0,32,13888.5,0
22.9,3,0,0,0,32,18054.7,0
23.4,1,0,0,0,32,14533.4,0
23.4,2,0,0,0,32,13773.8,0
23.4,3,0,0,0,32,17328.7,0
23.9,1,0,0,0,32,14977.4,0
23.9,2,0,0,0,32,13652.1,0
23.9,3,0,0,0,32,17458.2,0
24.4,1,0,0,0,32,14705.7,0
24.4,2,0,0,0,32,14090.2,0
24.4,3,0,0,0,32,17149.2,0
24.9,1,0,0,0,32,15510.5,0
24.9,2,0,0,0,32,13469.5,0
24.9,3,0,0,0,32,17234.2,0
25.4,1,0,0,0,32,15272.4,0
25.4,2,0,0,0,32,13174.7,0
25.4,3,0,0,0,32,17090.6,0
25.9,1,0,0,0,32,15134.5,0
25.9,2,0,0,0,32,13672.8,0
25.9,3,0,0,0,32,17242.9,0
26.4,1,0,0,0,32,14886.6,0
26.4,2,0,0,0,32,13525.9,0
26.4,3,0,0,0,32,17688.3,0
26.9,1,0,0,0,32,14856.2,0
26.9,2,0,0,0,32,14183.6,0
26.9,3,0,0,0,32,17866.8,0
27.4,1,0,0,0,32,15079.7,0
27.4,2,0,0,0,32,14033.4,0
27.4,3,0,0,0,32,17653.9,0
27.9,1,0,0,0,32,15181.3,0
27.9,2,0,0,0,32,13611.4,0
27.9,3,0,0,0,32,17706.6,0
28.4,1,0,0,0,32,15279.3,0
28.4,2,0,0,0,32,14145.9,0
28.4,3,0,0,0,32,17747,0
28.9,1,0,0,0,32,15154.4,0
28.9,2,0,0,0,32,14232.2,0
28.9,3,0,0,0,32,17740.8,0
29.4,1,0,0,0,32,14930.6,0
29.4,2,0,0,0,32,14153.6,0
29.4,3,0,0,0,32,17561.8,0
29.9,1,0,0,0,32,14860,0
29.9,2,0,0,0,32,14200.9,0
29.9,3,0,0,0,32,17808.6,0
30.4,1,0,0,0,32,14975.8,0
30.4,2,0,0,0,32,14185.6,0
30.4,3,0,0,0,32,17514.6,0
30.9,1,0,0,0,32,14606,0
30.9,2,0,0,0,32,14086.4,0
30.9,3,0,0,0,32,17416.6,0
31.4,1,0,0,0,32,15299.2,0
31.4,2,0,0,0,32,15256.6,0
31.4,3,0,0,0,32,17817,0
31.9,1,0,0,0,32,15311.8,0
31.9,2,0,0,0,32,15362,0
31.9,3,0,0,0,32,17756.2,0
32.4,1,0,0,0,32,15251.4,0
32.4,2,0,0,0,32,15169.3,0
32.4,3,0,0,0,32,18638.6,0
32.9,1,0,0,0,32,15205.2,0
32.9,2,0,0,0,32,15143.2,0
32.9,3,0,0,0,32,18028.6,0
33.4,1,0,0,0,32,15195.6,0
33.4,2,0,0,0,32,15286.5,0
33.4,3,0,0,0,32,17801,0
33.9,1,0,0,0,32,15187.6,0
33.9,2,0,0,0,32,15001.8,0
33.9,3,0,0,0,32,18199.6,0
34.4,1,0,0,0,32,15610.6,0
34.4,2,0,0,0,32,15285,0
34.4,3,0,0,0,32,17489.8,0
34.9,1,0,0,0,32,15705.6,0
34.9,2,0,0,0,32,15102.4,0
34.9,3,0,0,0,32,17228,0
35.4,1,0,0,0,32,15253,0
35.4,2,0,0,0,32,14744.6,0
35.4,3,0,0,0,32,16766.2,0
35.9,1,0,0,0,32,15477.2,0
35.9,2,0,0,0,32,14887.3,0
35.9,3,0,0,0,32,17246.2,0
36.4,1,0,0,0,32,15377.8,0
36.4,2,0,0,0,32,14796.3,0
36.4,3,0,0,0,32,17205.4,0
36.9,1,0,0,0,32,15187.8,0
36.9,2,0,0,0,32,14489.7,0
36.9,3,0,0,0,32,17130.6,0
37.4,1,0,0,0,32,15318.2,0
37.4,2,0,0,0,32,14627,0
37.4,3,0,0,0,32,17212.3,0
37.9,1,0,0,0,32,15243,0
37.9,2,0,0,0,32,14666.4,0
37.9,3,0,0,0,32,16833.4,0
38.4,1,0,0,0,32,15516.9,0
38.4,2,0,0,0,32,14982.6,0
38.4,3,0,0,0,32,16348,0
38.9,1,0,0,0,32,15537.4,0
38.9,2,0,0,0,32,14884.2,0
38.9,3,0,0,0,32,16603.8,0
39.4,1,0,0,0,32,15464.6,0
39.4,2,0,0,0,32,14673.1,0
39.4,3,0,0,0,32,16548.9,0
39.9,1,0,0,0,32,15231.9,0
39.9,2,0,0,0,32,14743,0
39.9,3,0,0,0,32,16300.2,0
40.4,1,0,0,0,32,15171.1,0
40.4,2,0,0,0,32,14738.1,0
40.4,3,0,0,0,32,16494.5,0
40.9,1,0,0,0,32,15151.9,0
40.9,2,0,0,0,32,14738.9,0
40.9,3,0,0,0,32,16105.2,0
41.4,1,0,0,0,32,14625.7,0
41.4,2,0,0,0,32,14097.3,0
41.4,3,0,0,0,32,15956.4,0
41.9,1,0,0,0,32,14645.9,0
41.9,2,0,0,0,32,14072.6,0
41.9,3,0,0,0,32,15516.2,0
42.4,1,0,0,0,32,14730.8,0
42.4,2,0,0,0,32,14599,0
42.4,3,0,0,0,32,16080.2,0
42.9,1,0,0,0,32,14630,0
42.9,2,0,0,0,32,14451,0
42.9,3,0,0,0,32,16235.4,0
43.4,1,0,0,0,32,14534.2,0
43.4,2,0,0,0,32,13916.6,0
43.4,3,0,0,0,32,16300.1,0
43.9,1,0,0,0,32,14661.7,0
43.9,2,0,0,0,32,13905.5,0
43.9,3,0,0,0,32,15648.6,0
44.4,1,0,0,0,32,14620.2,0
44.4,2,0,0,0,32,13761.2,0
44.4,3,0,0,0,32,15358.7,0
44.9,1,0,0,0,32,14384.8,0
44.9,2,0,0,0,32,13887.7,0
44.9,3,0,0,0,32,15181.4,0
45.4,1,0,0,0,32,14603.2,0
45.4,2,0,0,0,32,13807,0
45.4,3,0,0,0,32,15423,0
45.9,1,0,0,0,32,14512.6,0
45.9,2,0,0,0,32,13783.1,0
45.9,3,0,0,0,32,15242.6,0
46.4,1,0,0,0,32,14476.1,0
46.4,2,0,0,0,32,14467.8,0
46.4,3,0,0,0,32,15099.8,0
46.9,1,0,0,0,32,14632.5,0
46.9,2,0,0,0,32,14196.3,0
46.9,3,0,0,0,32,15032.3,0
47.4,1,0,0,0,32,14594.9,0
47.4,2,0,0,0,32,14038.7,0
47.4,3,0,0,0,32,14544.5,0
47.9,1,0,0,0,32,14934.4,0
47.9,2,0,0,0,32,13267.9,0
47.9,3,0,0,0,32,15867.5,0
48.4,1,0,0,0,32,15528.1,0
48.4,2,0,0,0,32,13610.5,0
48.4,3,0,0,0,32,15640.4,0
48.9,1,0,0,0,32,15426.3,0
48.9,2,0,0,0,32,13793.4,0
48.9,3,0,0,0,32,16356.3,0
