time_s,step,reward_cell1,reward_cell2,reward_cell3,prb_std,ue_std
0.4,0,-0.133333,-0.166667,-0.1,0,0.0272166
0.5,1,0.698859,0.981221,1.28314,0,0.0272166
0.6,2,0.684411,0.947333,1.29618,0,0.0272166
0.7,3,0.671859,0.948109,1.29103,0,0.0272166
0.8,4,0.685963,0.984501,1.28314,0,0.0272166
0.9,5,0.684891,0.940749,1.30778,0,0.0272166
1,6,0.685659,0.950317,1.28313,0,0.0272166
1.1,7,0.682827,0.978589,1.31295,0,0.0272166
1.2,8,0.684891,0.948509,1.22828,0,0.0272166
1.3,9,0.695379,0.983661,1.26814,0,0.0272166
1.4,10,0.684891,0.940493,1.25651,0,0.0272166
1.5,11,0.690379,0.950581,1.24347,0,0.0272166
1.6,12,0.692139,0.972165,1.25576,0,0.0272166
1.7,13,0.685659,0.950693,1.24349,0,0.0272166
1.8,14,0.684883,0.985853,1.3063,0,0.0272166
1.9,15,0.688171,0.941645,1.27768,0,0.0272166
2,16,0.692867,0.956693,1.30749,0,0.0272166
2.1,17,0.684891,0.968941,1.30063,0,0.0272166
2.2,18,0.692131,0.941245,1.2934,0,0.0272166
2.3,19,0.656779,0.989973,1.28954,0,0.0272166
2.4,20,0.658011,0.980373,1.28036,0,0.0272166
2.5,21,0.658779,1.0133,1.30748,0,0.0272166
2.6,22,0.660507,1.00778,1.29583,0,0.0272166
2.7,23,0.665987,0.989141,1.2835,0,0.0272166
2.8,24,0.665259,1.00561,1.28418,0,0.0272166
2.9,25,0.658779,0.976589,1.29654,0,0.0272166
3,26,0.660827,1.01861,1.28524,0,0.0272166
3.1,27,0.660523,0.970301,1.28418,0,0.0272166
3.2,28,0.658011,0.985957,1.28348,0,0.0272166
3.3,29,0.658779,1.00742,1.29654,0,0.0272166
3.4,30,0.667731,0.991749,1.27983,0,0.0272166
3.5,31,0.663515,0.958381,1.29656,0,0.0272166
3.6,32,0.658763,1.03399,1.29654,0,0.0272166
3.7,33,0.662571,1.01297,1.27112,0,0.0272166
3.8,34,0.653451,1.00452,1.29257,0,0.0272166
3.9,35,0.660523,1.01079,1.29793,0,0.0272166
4,36,0.688683,0.997941,1.28244,0,0.0272166
4.1,37,0.679259,1.01513,1.28525,0,0.0272166
4.2,38,0.688211,0.998645,1.29654,0,0.0272166
4.3,39,0.693203,1.01261,1.33034,0,0.0272166
4.4,40,0.696323,0.997981,1.33515,0,0.0272166
4.5,41,0.690011,1.0151,1.32093,0,0.0272166
4.6,42,0.690763,0.994733,1.32893,0,0.0272166
4.7,43,0.694571,1.02058,1.37263,0,0.0272166
4.8,44,0.692827,0.988133,1.3753,0,0.0272166
4.9,45,0.690779,1.02276,1.3815,0,0.0272166
5,46,0.697259,0.986701,1.38402,0,0.0272166
5.1,47,0.699139,1.02529,1.37715,0,0.0272166
5.2,48,0.690011,1.02165,1.35421,0,0.0272166
5.3,49,0.695339,0.984141,1.37553,0,0.0272166
5.4,50,0.690011,1.02713,1.38326,0,0.0272166
5.5,51,0.692827,0.989557,1.35379,0,0.0272166
5.6,52,0.692523,1.02168,1.38148,0,0.0272166
5.7,53,0.695515,0.984549,1.38403,0,0.0272166
5.8,54,0.700883,1.02675,1.38404,0,0.0272166
5.9,55,0.690779,0.984893,1.37714,0,0.0272166
6,56,0.692827,1.03217,1.36354,0,0.0272166
6.1,57,0.687195,0.976909,1.37715,0,0.0272166
6.2,58,0.692827,1.03076,1.36898,0,0.0272166
6.3,59,0.690011,0.988205,1.35379,0,0.0272166
6.4,60,0.698019,1.02159,1.3928,0,0.0272166
6.5,61,0.690011,0.995077,1.34666,0,0.0272166
6.6,62,0.699139,1.01331,1.34777,0,0.0272166
6.7,63,0.692523,1.00052,1.36038,0,0.0272166
6.8,64,0.710139,1.01543,1.33111,0,0.0272166
6.9,65,0.720059,0.995813,1.34504,0,0.0272166
7,66,0.717547,1.003,1.3653,0,0.0272166
7.1,67,0.714731,0.977837,1.34482,0,0.0272166
7.2,68,0.726371,1.01869,1.3888,0,0.0272166
7.3,69,0.714731,0.987621,1.40458,0,0.0272166
7.4,70,0.722707,0.975693,1.37021,0,0.0272166
7.5,71,0.717243,1.01754,1.38341,0,0.0272166
7.6,72,0.717547,0.984341,1.3409,0,0.0272166
7.7,73,0.719283,0.984741,1.35397,0,0.0272166
7.8,74,0.715499,1.01216,1.37961,0,0.0272166
7.9,75,0.723859,0.985501,1.37388,0,0.0272166
8,76,0.724451,0.983981,1.42722,0,0.0272166
8.1,77,0.710171,0.990221,1.36836,0,0.0272166
8.2,78,0.717243,1.00633,1.38725,0,0.0272166
8.3,79,0.717547,0.987581,1.37385,0,0.0272166
8.4,80,0.717547,0.986981,1.41415,0,0.0272166
8.5,81,0.717235,1.01026,1.37852,0,0.0272166
8.6,82,0.723859,0.981477,1.38109,0,0.0272166
8.7,83,0.714731,0.989485,1.38373,0,0.0272166
8.8,84,0.725203,1.01098,1.38459,0,0.0272166
8.9,85,0.714731,0.962581,1.39817,0,0.0272166
9,86,0.717547,1.02425,1.37426,0,0.0272166
9.1,87,0.719291,0.999733,1.39381,0,0.0272166
9.2,88,0.715499,0.979637,1.36801,0,0.0272166
9.3,89,0.733579,1.01117,1.37164,0,0.0272166
9.4,90,0.714731,0.983085,1.39894,0,0.0272166
9.5,91,0.715499,1.01449,1.38774,0,0.0272166
9.6,92,0.719291,0.974877,1.3759,0,0.0272166
9.7,93,0.717547,0.985605,1.37311,0,0.0272166
9.8,94,0.714715,0.991853,1.3975,0,0.0272166
9.9,95,0.726371,0.999581,1.3691,0,0.0272166
10,96,0.722707,0.977405,1.41056,0,0.0272166
10.1,97,0.711915,0.988197,1.36977,0,0.0272166
10.2,98,0.715499,1.00937,1.36513,0,0.0272166
10.3,99,0.717547,0.987829,1.39646,0,0.0272166
10.4,100,0.719291,0.983069,1.40659,0,0.0272166
10.5,101,0.714731,1.00081,1.39763,0,0.0272166
10.6,102,0.715491,0.982741,1.39317,0,0.0272166
10.7,103,0.733579,0.988189,1.40519,0,0.0272166
10.8,104,0.714731,1.00498,1.40635,0,0.0272166
10.9,105,0.715483,0.988237,1.39388,0,0.0272166
11,106,0.738787,0.981397,1.40126,0,0.0272166
11.1,107,0.726251,0.980525,1.3974,0,0.0272166
11.2,108,0.729067,1.01339,1.37322,0,0.0272166
11.3,109,0.757819,0.982381,1.37982,0,0.0272166
11.4,110,0.753123,0.978893,1.39861,0,0.0272166
11.5,111,0.764771,0.981693,1.40812,0,0.0272166
11.6,112,0.753131,1.01117,1.39975,0,0.0272166
11.7,113,0.753899,0.987445,1.42221,0,0.0272166
11.8,114,0.764003,0.966981,1.41104,0,0.0272166
11.9,115,0.755947,0.998365,1.37868,0,0.0272166
12,116,0.760379,0.960253,1.41961,0,0.0272166
12.1,117,0.738491,0.997181,1.39934,0,0.0272166
12.2,118,0.732651,0.959069,1.37469,0,0.0272166
