time_s,cellId,ueCount,edgeUeCount,cellDlThp_kbps,cellUlThp_kbps,avgCqi,txPower_dBm,prbUtilDl
0.4,1,10,0,0,24726.3,0,32,0.64
0.4,2,11,0,0,16540.7,0,32,0.64
0.4,3,9,0,0,11317.2,0,32,0.64
0.9,1,10,0,8182.24,8468.8,0,32,0.64
0.9,2,11,0,11074.2,5632.48,0,32,0.64
0.9,3,9,0,14077.8,3679.36,0,32,0.64
1.4,1,10,0,8182.24,8385.04,0,32,0.64
1.4,2,11,0,11071.6,5655.68,0,32,0.64
1.4,3,9,0,13565.1,3679.36,0,32,0.64
1.9,1,10,0,8215.04,8393.68,0,32,0.64
1.9,2,11,0,11083.1,5566.32,0,32,0.64
1.9,3,9,0,13776.8,3679.52,0,32,0.64
2.4,1,10,0,7913.44,8402.48,0,32,0.64
2.4,2,11,0,11470.4,5600.8,0,32,0.64
2.4,3,9,0,13803.6,3679.28,0,32,0.64
2.9,1,10,0,7921.12,8393.76,0,32,0.64
2.9,2,11,0,11432.6,5719.92,0,32,0.64
2.9,3,9,0,13965.4,3679.44,0,32,0.64
3.4,1,10,0,8010.64,8384.88,0,32,0.64
3.4,2,11,0,11584.2,5739.84,0,32,0.64
3.4,3,9,0,13798.3,3679.36,0,32,0.64
3.9,1,10,0,7938.56,8477.44,0,32,0.64
3.9,2,11,0,11774.6,5715.36,0,32,0.64
3.9,3,9,0,13979.3,3679.12,0,32,0.64
4.4,1,10,0,8296.56,8440,0,32,0.64
4.4,2,11,0,11646.5,5672,0,32,0.64
4.4,3,9,0,14351.5,3679.44,0,32,0.64
4.9,1,10,0,8241.12,8410.4,0,32,0.64
4.9,2,11,0,11894.2,5592.4,0,32,0.64
4.9,3,9,0,14815,3679.44,0,32,0.64
5.4,1,10,0,8233.44,8420.4,0,32,0.64
5.4,2,11,0,11937.9,5672.24,0,32,0.64
5.4,3,9,0,14832.6,3807.52,0,32,0.64
5.9,1,10,0,8241.12,8345.36,0,32,0.64
5.9,2,11,0,11515.6,5741.92,0,32,0.64
5.9,3,9,0,14771.4,3807.68,0,32,0.64
6.4,1,10,0,8313.52,8120.16,0,32,0.64
6.4,2,11,0,11882.6,5731.68,0,32,0.64
6.4,3,9,0,14928,3807.6,0,32,0.64
6.9,1,10,0,8533.92,8130.16,0,32,0.64
6.9,2,11,0,11624.8,5691.92,0,32,0.64
6.9,3,9,0,14450.4,3807.44,0,32,0.64
7.4,1,10,0,8560.4,8177.52,0,32,0.64
7.4,2,11,0,11423.6,5560.88,0,32,0.64
7.4,3,9,0,14702.1,3807.6,0,32,0.64
7.9,1,10,0,8571.92,8391.84,0,32,0.64
7.9,2,11,0,11521.7,5632.08,0,32,0.64
7.9,3,9,0,14738.8,3807.36,0,32,0.64
8.4,1,10,0,8508.8,8381.52,0,32,0.64
8.4,2,11,0,11536.5,5711.92,0,32,0.64
8.4,3,9,0,15141.5,3807.36,0,32,0.64
8.9,1,10,0,8480.64,7488.24,0,32,0.64
8.9,2,11,0,11292.5,5731.84,0,32,0.64
8.9,3,9,0,14981.7,3807.52,0,32,0.64
9.4,1,10,0,8480.64,7460.64,0,32,0.64
9.4,2,11,0,11497.5,5667.92,0,32,0.64
9.4,3,9,0,14989.4,3927.44,0,32,0.64
9.9,1,10,0,8597.04,6694.32,0,32,0.64
9.9,2,11,0,11662.5,5536.16,0,32,0.64
