time_s,cellId,ueCount,edgeUeCount,cellDlThp_kbps,cellUlThp_kbps,avgCqi,txPower_dBm,prbUtilDl
0.4,1,11,0,0,9594.88,0,32,0.64
0.4,2,10,0,0,20454.2,0,32,0.64
0.4,3,9,0,0,8204.24,0,32,0.64
0.9,1,11,9,6146.08,3153.36,5.18182,32,0.64
0.9,2,10,8,6235.2,7009.92,4.8,32,0.64
0.9,3,9,4,8848.96,2615.6,6.33333,32,0.64
1.4,1,11,9,6192,3163.84,5.09091,32,0.64
1.4,2,10,8,6235.2,7047.12,4.8,32,0.64
1.4,3,9,4,8848.8,2615.52,6.33333,32,0.64
1.9,1,11,9,6077.28,3118,5.09091,32,0.64
1.9,2,10,8,6235.2,7047.2,4.8,32,0.64
1.9,3,9,4,8214.56,2615.68,6.33333,32,0.64
2.4,1,11,9,6122.88,3128,5.09091,32,0.64
2.4,2,10,8,6235.12,7042.24,4.8,32,0.64
2.4,3,9,4,8142.56,2615.68,6.44444,32,0.64
2.9,1,11,9,6122.88,3011.92,5.09091,32,0.64
2.9,2,10,8,6234.72,7047.28,4.8,32,0.64
2.9,3,9,4,8169.12,2615.44,6.22222,32,0.64
3.4,1,11,9,6069.6,2995.36,5.09091,32,0.64
3.4,2,10,8,6087.04,7037.36,4.8,32,0.64
3.4,3,9,4,8214.72,2615.6,6.22222,32,0.64
3.9,1,11,9,6000.48,2839.52,5.09091,32,0.64
3.9,2,10,8,6087.04,7042.24,4.8,32,0.64
3.9,3,9,4,7980.72,2615.52,6.22222,32,0.64
4.4,1,11,9,6185.6,2870,5,32,0.64
4.4,2,10,8,5986.4,6987.28,4.8,32,0.64
4.4,3,9,4,7891.76,2735.36,6.11111,32,0.64
4.9,1,11,10,6140,2883.44,5,32,0.64
4.9,2,10,8,6072.16,6917.36,4.8,32,0.64
4.9,3,9,4,7663.2,2735.6,6,32,0.64
5.4,1,11,10,6052.72,2845.6,5,32,0.64
5.4,2,10,8,5907.2,6912.24,4.7,32,0.64
5.4,3,9,4,7795.68,2735.6,5.88889,32,0.64
5.9,1,11,10,6008.16,2855.6,4.90909,32,0.64
5.9,2,10,8,5924.64,6917.28,4.7,32,0.64
5.9,3,9,4,7900.16,2735.52,5.88889,32,0.64
6.4,1,11,10,6046.08,2873.44,4.81818,32,0.64
6.4,2,10,8,5852.16,6917.44,4.8,32,0.64
6.4,3,9,4,7827.68,2351.68,5.88889,32,0.64
6.9,1,11,10,6053.76,2835.52,4.81818,32,0.64
6.9,2,10,8,5852,6892,4.8,32,0.64
6.9,3,9,4,7900.08,2351.52,5.88889,32,0.64
7.4,1,11,10,6046.08,3285.28,4.81818,32,0.64
7.4,2,9,8,6580.48,3776.24,4.5,32,0.64
7.4,3,10,4,7150.72,3060.16,5.77778,32,0.64
7.9,1,11,10,6053.76,3259.6,4.81818,32,0.64
7.9,2,9,7,6507.92,3651.36,5,32,0.64
7.9,3,10,5,7150.4,3060.16,5.5,32,0.64
8.4,1,10,9,6482.56,3523.36,5.1,32,0.64
8.4,2,10,8,5943.2,2793.76,4.8,32,0.64
