time_s,cellId,cioRaw,txpRaw,selfCio_display_dB,txpApplied_dBm,cellThp_kbps,alpha
0.4,1,0,0,0,32,9594.88,0
0.4,2,0,0,0,32,20454.2,0
0.4,3,0,0,0,32,8204.24,0
0.9,1,0,0,0,32,9299.44,0
0.9,2,0,0,0,32,13245.1,0
0.9,3,0,0,0,32,11464.6,0
1.4,1,0,0,0,32,9355.84,0
1.4,2,0,0,0,32,13282.3,0
1.4,3,0,0,0,32,11464.3,0
1.9,1,0,0,0,32,9195.28,0
1.9,2,0,0,0,32,13282.4,0
1.9,3,0,0,0,32,10830.2,0
2.4,1,0,0,0,32,9250.88,0
2.4,2,0,0,0,32,13277.4,0
2.4,3,0,0,0,32,10758.2,0
2.9,1,0,0,0,32,9134.8,0
2.9,2,0,0,0,32,13282,0
2.9,3,0,0,0,32,10784.6,0
3.4,1,0,0,0,32,9064.96,0
3.4,2,0,0,0,32,13124.4,0
3.4,3,0,0,0,32,10830.3,0
3.9,1,0,0,0,32,8840,0
3.9,2,0,0,0,32,13129.3,0
3.9,3,0,0,0,32,10596.2,0
4.4,1,0,0,0,32,9055.6,0
4.4,2,0,0,0,32,12973.7,0
4.4,3,0,0,0,32,10627.1,0
4.9,1,0,0,0,32,9023.44,0
4.9,2,0,0,0,32,12989.5,0
4.9,3,0,0,0,32,10398.8,0
5.4,1,0,0,0,32,8898.32,0
5.4,2,0,0,0,32,12819.4,0
5.4,3,0,0,0,32,10531.3,0
5.9,1,0,0,0,32,8863.76,0
5.9,2,0,0,0,32,12841.9,0
5.9,3,0,0,0,32,10635.7,0
6.4,1,0,0,0,32,8919.52,0
6.4,2,0,0,0,32,12769.6,0
6.4,3,0,0,0,32,10179.4,0
6.9,1,0,0,0,32,8889.28,0
6.9,2,0,0,0,32,12744,0
6.9,3,0,0,0,32,10251.6,0
7.4,1,0,0,0,32,9331.36,0
7.4,2,0,0,0,32,10356.7,0
7.4,3,0,0,0,32,10210.9,0
7.9,1,0,0,0,32,9313.36,0
7.9,2,0,0,0,32,10159.3,0
7.9,3,0,0,0,32,10210.6,0
8.4,1,0,0,0,32,10005.9,0
8.4,2,0,0,0,32,8736.96,0
8.4,3,0,0,0,32,10421.1,0
8.9,1,0,0,0,32,10038.7,0
8.9,2,0,0,0,32,8524.16,0
8.9,3,0,0,0,32,10411.4,0
9.4,1,0,0,0,32,10063.8,0
9.4,2,0,0,0,32,8354.64,0
9.4,3,0,0,0,32,10347.6,0
9.9,1,0,0,0,32,10045.5,0
9.9,2,0,0,0,32,8351.6,0
9.9,3,0,0,0,32,10446.6,0
10.4,1,0,0,0,32,9541.44,0
10.4,2,0,0,0,32,8742.48,0
10.4,3,0,0,0,32,10636.6,0
10.9,1,0,0,0,32,9541.68,0
10.9,2,0,0,0,32,8696,0
10.9,3,0,0,0,32,10461.7,0
11.4,1,0,0,0,32,9549.12,0
11.4,2,0,0,0,32,8678.56,0
11.4,3,0,0,0,32,10812.6,0
11.9,1,0,0,0,32,9521.76,0
11.9,2,0,0,0,32,8776.08,0
11.9,3,0,0,0,32,10625.1,0
12.4,1,0,0,0,32,9465.68,0
12.4,2,0,0,0,32,8751.12,0
12.4,3,0,0,0,32,10661.8,0
12.9,1,0,0,0,32,9306.24,0
12.9,2,0,0,0,32,8756.56,0
12.9,3,0,0,0,32,10682.1,0
13.4,1,0,0,0,32,9304.08,0
13.4,2,0,0,0,32,8626.56,0
13.4,3,0,0,0,32,10538.2,0
13.9,1,0,0,0,32,9371.12,0
13.9,2,0,0,0,32,8582.8,0
13.9,3,0,0,0,32,10460.6,0
14.4,1,0,0,0,32,9450.4,0
14.4,2,0,0,0,32,8642.08,0
14.4,3,0,0,0,32,10373.2,0
14.9,1,0,0,0,32,9342.08,0
14.9,2,0,0,0,32,8563.04,0
14.9,3,0,0,0,32,10359.6,0
15.4,1,0,0,0,32,9259.04,0
15.4,2,0,0,0,32,8713.28,0
15.4,3,0,0,0,32,10336.3,0
15.9,1,0,0,0,32,9195.44,0
15.9,2,0,0,0,32,8776.88,0
15.9,3,0,0,0,32,10142.3,0
16.4,1,0,0,0,32,9139.44,0
16.4,2,0,0,0,32,10490.3,0
16.4,3,0,0,0,32,9997.2,0
16.9,1,0,0,0,32,9352.72,0
16.9,2,0,0,0,32,9205.76,0
16.9,3,0,0,0,32,9703.68,0
17.4,1,0,0,0,32,9672.88,0
17.4,2,0,0,0,32,8665.36,0
17.4,3,0,0,0,32,10232.2,0
17.9,1,0,0,0,32,9658.8,0
17.9,2,0,0,0,32,8648.08,0
17.9,3,0,0,0,32,10362.6,0
18.4,1,0,0,0,32,9773.44,0
18.4,2,0,0,0,32,8665.36,0
18.4,3,0,0,0,32,10251.8,0
18.9,1,0,0,0,32,9685.2,0
18.9,2,0,0,0,32,8647.76,0
18.9,3,0,0,0,32,10357.8,0
19.4,1,0,0,0,32,9715.92,0
19.4,2,0,0,0,32,8647.92,0
19.4,3,0,0,0,32,10404.4,0
19.9,1,0,0,0,32,9738.8,0
19.9,2,0,0,0,32,8632.72,0
19.9,3,0,0,0,32,10369.5,0
20.4,1,0,0,0,32,9773.44,0
20.4,2,0,0,0,32,8632.56,0
20.4,3,0,0,0,32,10248.8,0
20.9,1,0,0,0,32,9703.84,0
20.9,2,0,0,0,32,8342.48,0
20.9,3,0,0,0,32,10486.6,0
21.4,1,0,0,0,32,9830.48,0
21.4,2,0,0,0,32,8417.04,0
21.4,3,0,0,0,32,10397.7,0
21.9,1,0,0,0,32,9779.52,0
21.9,2,0,0,0,32,8350.96,0
21.9,3,0,0,0,32,10409.2,0
22.4,1,0,0,0,32,9756.24,0
22.4,2,0,0,0,32,8270.96,0
22.4,3,0,0,0,32,10388.2,0
22.9,1,0,0,0,32,9626.96,0
22.9,2,0,0,0,32,8270.96,0
22.9,3,0,0,0,32,10395.6,0
23.4,1,0,0,0,32,9696.8,0
23.4,2,0,0,0,32,8256,0
23.4,3,0,0,0,32,10490.2,0
