time_s,step,reward_cell1,reward_cell2,reward_cell3,prb_std,ue_std
0.4,0,-0.166667,-0.133333,-0.1,0,0.0272166
0.5,1,0.452533,0.490187,0.783408,0,0.0272166
0.6,2,0.447973,0.490179,0.778256,0,0.0272166
0.7,3,0.453277,0.490187,0.784864,0,0.0272166
0.8,4,0.452533,0.490155,0.771016,0,0.0272166
0.9,5,0.447941,0.490187,0.784896,0,0.0272166
1,6,0.453301,0.484683,0.780736,0,0.0272166
1.1,7,0.452533,0.490187,0.779736,0,0.0272166
1.2,8,0.447973,0.490187,0.776176,0,0.0272166
1.3,9,0.453301,0.497435,0.778264,0,0.0272166
1.4,10,0.452533,0.490187,0.78488,0,0.0272166
1.5,11,0.450789,0.484683,0.765424,0,0.0272166
1.6,12,0.447973,0.490187,0.741448,0,0.0272166
1.7,13,0.453301,0.490187,0.751168,0,0.0272166
1.8,14,0.449461,0.490187,0.75264,0,0.0272166
1.9,15,0.441061,0.490187,0.721456,0,0.0272166
2,16,0.443109,0.490187,0.716944,0,0.0272166
2.1,17,0.445621,0.490187,0.720288,0,0.0272166
2.2,18,0.441061,0.491931,0.721504,0,0.0272166
2.3,19,0.445605,0.490187,0.722976,0,0.0272166
2.4,20,0.445621,0.490179,0.714256,0,0.0272166
2.5,21,0.441061,0.490187,0.721456,0,0.0272166
2.6,22,0.445621,0.490187,0.722928,0,0.0272166
2.7,23,0.443877,0.484635,0.721472,0,0.0272166
2.8,24,0.441061,0.490123,0.72024,0,0.0272166
2.9,25,0.445621,0.490139,0.716912,0,0.0272166
3,26,0.445621,0.495371,0.720256,0,0.0272166
3.1,27,0.441045,0.475371,0.721464,0,0.0272166
3.2,28,0.445621,0.465307,0.714208,0,0.0272166
3.3,29,0.443877,0.473899,0.722944,0,0.0272166
3.4,30,0.440293,0.475371,0.721472,0,0.0272166
3.5,31,0.445621,0.462091,0.722944,0,0.0272166
3.6,32,0.441061,0.475371,0.721456,0,0.0272166
3.7,33,0.442549,0.473899,0.720256,0,0.0272166
3.8,34,0.436965,0.465307,0.716912,0,0.0272166
3.9,35,0.433381,0.475371,0.698072,0,0.0272166
4,36,0.438709,0.473899,0.689208,0,0.0272166
4.1,37,0.433381,0.465307,0.690672,0,0.0272166
4.2,38,0.436197,0.475371,0.68464,0,0.0272166
4.3,39,0.440453,0.473891,0.69068,0,0.0272166
4.4,40,0.451893,0.465307,0.689176,0,0.0272166
4.5,41,0.447333,0.475371,0.68464,0,0.0272166
4.6,42,0.452661,0.473891,0.690672,0,0.0272166
4.7,43,0.451877,0.465307,0.691888,0,0.0272166
4.8,44,0.452661,0.475363,0.690672,0,0.0272166
4.9,45,0.447333,0.473883,0.66632,0,0.0272166
5,46,0.451893,0.470811,0.666112,0,0.0272166
5.1,47,0.452661,0.478595,0.669344,0,0.0272166
5.2,48,0.447325,0.451883,0.67592,0,0.0272166
5.3,49,0.452661,0.459131,0.678032,0,0.0272166
5.4,50,0.438605,0.457387,0.679568,0,0.0272166
5.5,51,0.438709,0.449067,0.684488,0,0.0272166
5.6,52,0.436197,0.451883,0.680712,0,0.0272166
5.7,53,0.434149,0.454571,0.679568,0,0.0272166
5.8,54,0.437941,0.451883,0.678032,0,0.0272166
5.9,55,0.434149,0.459131,0.690016,0,0.0272166
6,56,0.437933,0.447323,0.674032,0,0.0272166
6.1,57,0.438709,0.459131,0.680736,0,0.0272166
6.2,58,0.431637,0.451883,0.687328,0,0.0272166
6.3,59,0.438709,0.454571,0.671992,0,0.0272166
6.4,60,0.437941,0.451883,0.682768,0,0.0272166
6.5,61,0.434149,0.449067,0.682768,0,0.0272166
6.6,62,0.436197,0.457387,0.68528,0,0.0272166
6.7,63,0.434149,0.449067,0.682768,0,0.0272166
6.8,64,0.437941,0.459131,0.672008,0,0.0272166
6.9,65,0.438709,0.451867,0.690008,0,0.0272166
7,66,0.433381,0.454571,0.678032,0,0.0272166
7.1,67,0.436965,0.451883,0.682784,0,0.0272166
7.2,68,0.437941,0.493808,0.616411,0,0.0272166
7.3,69,0.434149,0.52828,0.556267,0,0.0272166
7.4,70,0.437941,0.558048,0.581739,0,0.0272166
7.5,71,0.434149,0.553616,0.584235,0,0.0272166
7.6,72,0.436189,0.554824,0.581723,0,0.0272166
7.7,73,0.438709,0.550792,0.590459,0,0.0272166
7.8,74,0.433381,0.547584,0.581723,0,0.0272166
7.9,75,0.438709,0.550792,0.581707,0,0.0272166
8,76,0.431637,0.557648,0.581739,0,0.0272166
8.1,77,0.438709,0.5508,0.591787,0,0.0272166
8.2,78,0.488531,0.448219,0.583339,0,0
8.3,79,0.514155,0.473867,0.581739,0,0
8.4,80,0.514923,0.460987,0.584251,0,0
8.5,81,0.514923,0.473867,0.587947,0,0
8.6,82,0.514155,0.452923,0.609787,0,0
8.7,83,0.514923,0.435451,0.586923,0,0
8.8,84,0.514155,0.446987,0.580043,0,0
8.9,85,0.514923,0.439707,0.584763,0,0
9,86,0.512411,0.438667,0.582075,0,0
9.1,87,0.514923,0.449803,0.587291,0,0
9.2,88,0.514923,0.438667,0.580027,0,0
9.3,89,0.514155,0.442427,0.584779,0,0
9.4,90,0.514923,0.442819,0.578859,0,0
9.5,91,0.514155,0.436923,0.587275,0,0
9.6,92,0.514915,0.444171,0.580043,0,0
9.7,93,0.521835,0.444291,0.584763,0,0
9.8,94,0.522603,0.444171,0.582051,0,0
9.9,95,0.522603,0.444299,0.587275,0,0
10,96,0.522603,0.436923,0.580011,0,0
10.1,97,0.449685,0.4822,0.584747,0,0.0272166
10.2,98,0.463045,0.4964,0.587579,0,0.0272166
10.3,99,0.460525,0.506464,0.580003,0,0.0272166
10.4,100,0.459061,0.501904,0.578555,0,0.0272166
10.5,101,0.462277,0.4964,0.590779,0,0.0272166
10.6,102,0.460533,0.501904,0.584747,0,0.0272166
10.7,103,0.459061,0.499216,0.557611,0,0.0272166
10.8,104,0.463045,0.506448,0.562811,0,0.0272166
10.9,105,0.460533,0.4964,0.564283,0,0.0272166
11,106,0.459061,0.506464,0.559547,0,0.0272166
11.1,107,0.462277,0.49184,0.563531,0,0.0272166
11.2,108,0.460533,0.506464,0.583147,0,0.0272166
