time_s,ueIndex,x,y,servingCellId
0,0,411.453,591.935,1
0,1,465.027,366.961,2
0,2,623.094,646.25,1
0,3,563.924,446.471,3
0,4,530.57,649.047,1
0,5,678.335,448.111,3
0,6,665.017,566.268,3
0,7,456.446,605.586,1
0,8,623.079,323.033,3
0,9,333.382,416.619,2
0,10,491.913,409.52,2
0,11,632.616,672.186,1
0,12,673.248,401.486,3
0,13,676.104,443.052,3
0,14,443.169,483.149,2
0,15,580.574,449.872,3
0,16,527.135,393.373,3
0,17,376.725,470.764,2
0,18,496.585,524.805,1
0,19,423.792,615.875,1
0,20,326.561,678.884,1
0,21,334.285,409.141,2
0,22,567.004,653.125,1
0,23,480.776,403.402,2
0,24,434.094,315.435,2
0,25,411.327,493.774,2
0,26,676.092,432.792,3
0,27,643.942,692.556,1
0,28,641.408,629.36,1
0,29,302.677,585.111,2
0.5,0,412.851,591.392,1
0.5,1,464.83,365.474,3
0.5,2,624.488,646.805,1
0.5,3,565.424,446.512,2
0.5,4,529.091,648.796,1
0.5,5,678.371,446.611,3
0.5,6,665.93,567.459,1
0.5,7,456.47,607.086,1
0.5,8,621.729,322.38,3
0.5,9,332.227,417.575,2
0.5,10,492.162,410.999,3
0.5,11,632.512,670.69,1
0.5,12,673.311,402.985,3
0.5,13,674.712,443.61,3
0.5,14,443.157,481.649,1
0.5,15,579.215,449.239,3
0.5,16,526.251,392.161,2
0.5,17,375.713,471.87,2
0.5,18,495.275,524.074,1
0.5,19,422.479,616.6,1
0.5,20,326.533,677.385,1
0.5,21,335.701,408.646,2
0.5,22,567.741,651.819,1
0.5,23,482.221,403.803,3
0.5,24,432.969,314.443,3
0.5,25,411.917,492.396,1
0.5,26,675.265,434.043,3
0.5,27,645.442,692.551,1
0.5,28,641.595,630.848,1
0.5,29,301.321,585.752,1
1,0,414.249,590.85,1
1,1,464.633,363.987,3
1,2,625.882,647.36,1
1,3,566.923,446.553,2
1,4,527.612,648.545,1
1,5,678.407,445.112,3
1,6,666.842,568.649,1
1,7,456.494,608.585,1
1,8,620.378,321.727,3
1,9,331.072,418.532,2
1,10,492.41,412.478,3
1,11,632.408,669.193,1
1,12,673.375,404.483,3
1,13,673.319,444.168,3
1,14,443.146,480.149,2
1,15,577.855,448.605,3
1,16,525.367,390.949,2
1,17,374.7,472.977,2
1,18,493.966,523.343,1
1,19,421.166,617.326,1
1,20,326.505,675.885,1
1,21,337.118,408.152,2
1,22,568.477,650.512,1
1,23,483.667,404.204,3
1,24,431.844,313.452,3
1,25,412.508,491.017,2
1,26,674.438,435.295,3
1,27,646.942,692.545,1
1,28,641.782,632.336,1
1,29,300,586.376,1
1.5,0,415.648,590.307,1
1.5,1,464.436,362.5,2
1.5,2,627.275,647.914,1
1.5,3,568.423,446.594,3
1.5,4,526.134,648.294,1
1.5,5,678.443,443.612,3
1.5,6,667.755,569.84,1
1.5,7,456.519,610.085,1
1.5,8,619.028,321.074,3
1.5,9,329.916,419.489,2
1.5,10,492.659,413.958,2
1.5,11,632.304,667.697,1
1.5,12,673.438,405.982,3
1.5,13,671.927,444.727,3
1.5,14,443.134,478.649,3
1.5,15,576.495,447.971,2
1.5,16,524.483,389.738,3
1.5,17,373.688,474.084,2
1.5,18,492.656,522.611,1
1.5,19,419.853,618.051,1
1.5,20,326.477,674.385,1
1.5,21,338.534,407.657,2
1.5,22,569.214,649.205,1
1.5,23,485.112,404.604,2
1.5,24,430.718,312.46,2
1.5,25,413.099,489.638,3
1.5,26,673.611,436.546,3
1.5,27,648.442,692.54,1
1.5,28,641.969,633.825,1
1.5,29,300.745,587.366,1
2,0,417.046,589.764,1
2,1,464.239,361.013,2
2,2,628.669,648.469,1
2,3,569.922,446.635,2
2,4,524.655,648.043,1
2,5,678.479,442.113,3
2,6,668.667,571.03,1
2,7,456.543,611.585,1
2,8,617.677,320.421,3
2,9,328.761,420.445,2
2,10,492.907,415.437,2
2,11,632.2,666.2,1
2,12,673.502,407.481,3
2,13,670.535,445.285,3
2,14,443.123,477.149,3
2,15,575.136,447.338,2
2,16,523.598,388.526,3
