time_s,cellId,ueCount,edgeUeCount,cellDlThp_kbps,cellUlThp_kbps,avgCqi,txPower_dBm,prbUtilDl
0.8,1,12,6,5133.44,3416.8,4.81818,34,0.64
0.8,2,11,4,4746.88,2319.76,4.85714,34,0.64
0.8,3,7,7,9868.96,3556.24,4.08333,34,0.64
1.3,1,11,3,5961.92,4201.84,5.3,34,0.64
1.3,2,10,5,5827.36,4304.96,4.66667,34,0.64
1.3,3,9,5,8807.36,3924.8,5.18182,34,0.64
1.8,1,10,4,6253.12,4710.96,4.45455,34,0.64
1.8,2,12,6,5410.64,3810.48,4.5,34,0.64
1.8,3,8,2,8834.96,3796.96,5.44444,34,0.64
2.3,1,11,4,6077.28,4201.6,4.81818,34,0.64
2.3,2,9,5,6313.92,2343.28,4.22222,34,0.64
2.3,3,10,3,7522.56,4581.92,5.8,34,0.64
2.8,1,11,2,6077.28,4154.08,5.09091,34,0.64
2.8,2,9,4,6503.04,4172.08,5,34,0.64
2.8,3,10,3,7568,3355.04,6,34,0.64
3.3,1,12,3,5714.4,4068.56,5.3,34,0.64
3.3,2,9,6,6328.48,4808.96,4.2,34,0.64
3.3,3,9,3,7966.4,3111.12,5.2,34,0.64
3.8,1,13,3,5336,2866.08,5.3,34,0.64
3.8,2,8,7,6657.04,3324.32,3.45455,34,0.64
3.8,3,9,2,7880.64,4720.96,5.33333,34,0.64
4.3,1,10,1,6474.88,4541.12,5.2,34,0.64
4.3,2,11,3,5698.08,6600.64,5.42857,34,0.64
4.3,3,9,0,7657.28,2331.6,6.85714,34,0.64
4.8,1,13,0,6588.32,3530.64,5.33333,34,0.64
4.8,2,8,3,5250.8,5082.64,5.42857,34,0.64
4.8,3,9,0,7459.84,2896.08,6.71429,34,0.64
5.3,1,10,0,6425.92,3559.52,5.6,35,0.608
5.3,2,11,3,5705.6,3506.72,5.42857,34,0.576
5.3,3,9,0,6440.08,3900.48,6.42857,34,0.64
5.8,1,10,0,6585.84,3772.64,5.6,35,0.64
5.8,2,11,3,4857.76,3812.4,5.42857,34,0.64
5.8,3,9,0,6426.72,3804.72,6.42857,34,0.64
6.3,1,13,3,6259.84,3694.24,5,35,0.64
6.3,2,8,3,6353.2,5073.76,5.125,34,0.64
6.3,3,9,2,7119.68,5259.04,5.66667,34,0.64
6.8,1,13,0,5290.08,4042.4,5.6,35,0.64
6.8,2,8,7,5682.4,5036.56,3.45455,34,0.64
6.8,3,9,3,6423.28,3581.68,5,34,0.64
7.3,1,13,0,5130.56,3224.56,5.6,35,0.64
7.3,2,8,7,6166.96,4203.44,3.45455,34,0.64
7.3,3,9,3,6696.24,4061.44,5,34,0.64
7.8,1,10,3,6647.04,4572.88,3.92308,34,0.64
7.8,2,11,4,4956,3681.36,4.875,34,0.64
7.8,3,9,3,7428.32,3164.24,5,34,0.64
8.3,1,10,3,6579.92,5453.44,3.92308,34,0.64
8.3,2,11,4,5526.08,4931.36,4.875,34,0.64
8.3,3,9,3,7444.64,3556.16,5,34,0.64
8.8,1,13,3,6012.96,2864.4,5,35,0.64
8.8,2,8,3,6353.44,3784.8,5,34,0.64
8.8,3,9,2,7163.6,4772.64,5.55556,34,0.64
9.3,1,13,1,5963.68,3418.32,5.5,35,0.64
9.3,2,8,7,6486.08,4707.68,3.36364,34,0.64
9.3,3,9,3,7470.72,2993.68,4.88889,34,0.64
9.8,1,13,2,5748.96,3800.72,5,34,0.64
9.8,2,8,7,6500.64,3301.36,3.45455,34,0.64
9.8,3,9,3,7265.12,3972.48,5,34,0.64
10.3,1,10,2,6559.36,4718.96,5,34,0.64
10.3,2,11,3,5307.04,3047.6,5.28571,34,0.64
10.3,3,9,1,7353.12,3643.6,6.42857,34,0.64
10.8,1,13,2,6346.24,5479.44,5,34,0.64
10.8,2,8,2,5183.2,5464.72,5.28571,34,0.64
10.8,3,9,1,6912.96,4152.32,6.42857,34,0.64
11.3,1,10,2,6135.44,3646.8,5.6,35,0.64
11.3,2,11,2,5476.96,4812,5.28571,34,0.64
11.3,3,9,1,6318.48,3411.76,6.14286,34,0.64
11.8,1,10,2,6203.68,3898.32,5,34,0.64
11.8,2,11,2,4521.92,3060.56,5.28571,34,0.64
11.8,3,9,1,6527.6,3883.2,6.42857,34,0.64
12.3,1,13,4,5854.64,3882.96,5.07692,35,0.64
12.3,2,8,3,6459.2,3760.32,5,34,0.64
12.3,3,9,3,7244.16,4644.56,5.44444,34,0.64
12.8,1,13,2,4755.52,3760.4,5,34,0.64
12.8,2,8,6,5881.92,3748.56,3.36364,34,0.64
12.8,3,9,3,6761.92,3303.68,4.88889,34,0.64
13.3,1,13,2,5309.36,2913.76,5.6,35,0.64
13.3,2,8,6,6228.32,4068.4,3.36364,34,0.64
13.3,3,9,3,6317.12,3594.96,4.88889,34,0.64
13.8,1,10,5,6585.28,4546.96,3.84615,34,0.64
13.8,2,11,3,4620,2967.76,4.625,34,0.64
13.8,3,9,3,7240.48,3630.08,4.88889,34,0.64
14.3,1,9,5,6547.52,3637.76,3.53846,34,0.64
14.3,2,12,3,4748.8,4941.6,4.625,34,0.64
14.3,3,9,3,7196.24,2262.4,4.88889,34,0.64
14.8,1,13,4,6207.52,2819.12,5,35,0.64
14.8,2,8,2,6351.04,3694.16,4.875,34,0.64
14.8,3,9,3,6756.88,3293.04,5.33333,34,0.64
15.3,1,12,2,5363.2,5303.92,4.6,34,0.64
15.3,2,9,6,6019.04,4134.32,3.36364,34,0.64
15.3,3,9,3,7382.08,2687.76,4.88889,34,0.64
15.8,1,12,3,5310.64,3151.92,4.7,34,0.64
15.8,2,9,6,5992.16,4063.52,3.36364,34,0.64
15.8,3,9,3,7114.48,2155.84,5,34,0.64
16.3,1,10,4,6063.2,4700.08,5.11111,34,0.64
16.3,2,10,2,5937.6,2242.24,5.28571,34,0.64
16.3,3,10,2,6510.4,3452.64,6.125,34,0.64
16.8,1,12,4,5906.24,4892.24,5.11111,34,0.64
16.8,2,9,2,5465.12,3225.2,5.28571,34,0.64
16.8,3,9,1,6583.6,2135.12,6.42857,34,0.64
17.3,1,10,4,5355.04,4067.84,5.22222,34,0.512
17.3,2,10,2,4992.24,3268.88,5.28571,34,0.544
17.3,3,10,2,6929.44,3137.76,6,34,0.576
17.8,1,10,4,5596.56,4058.48,5.11111,34,0.64
17.8,2,10,2,4817.04,4137.92,5.28571,34,0.64
17.8,3,10,1,6963.28,2721.04,6.28571,34,0.64
18.3,1,11,6,6111.68,3285.2,4.81818,34,0.64
18.3,2,10,4,5552.96,4786.72,4.6,34,0.64
18.3,3,9,3,6798.96,2156,5.66667,34,0.64
18.8,1,11,6,5744.96,3852.88,4.6,34,0.64
18.8,2,11,5,4428.32,3781.92,4,34,0.64
18.8,3,8,4,6511.44,3295.28,4.4,34,0.64
19.3,1,11,6,5695.44,3901.28,4.6,34,0.64
19.3,2,11,5,4468.8,4789.44,4,34,0.64
19.3,3,8,4,7050.96,2572.16,4.3,34,0.64
19.8,1,10,7,6120.8,4836.16,4.18182,34,0.64
19.8,2,10,5,5698.96,3840.56,3.54545,34,0.64
19.8,3,10,2,6261.92,2507.44,5.375,34,0.64
20.3,1,10,7,6088.64,3780.72,4.18182,34,0.64
20.3,2,10,5,5685.6,4982,3.54545,34,0.64
20.3,3,10,2,6516.48,2138.64,5.5,34,0.64
20.8,1,11,7,5898.48,3971.52,4.81818,34,0.64
20.8,2,10,4,5229.12,5577.12,4.4,34,0.64
20.8,3,9,3,7126.08,4003.52,5.44444,34,0.64
21.3,1,11,7,5852.96,4622.88,4.54545,34,0.64
21.3,2,11,3,4912.72,5830.8,4.33333,34,0.64
21.3,3,8,4,7506.16,4361.84,4.3,34,0.64
21.8,1,11,7,5826.08,3300.16,4.54545,34,0.64
21.8,2,11,3,4940.96,3520.8,4.33333,34,0.64
21.8,3,8,4,7534.32,2625.28,4.3,34,0.64
22.3,1,11,5,5920.48,3735.6,5.11111,34,0.64
22.3,2,9,2,5687.12,4022.08,5,34,0.64
22.3,3,10,1,6721.2,2047.84,6.14286,34,0.64
22.8,1,10,5,5605.28,3497.92,5.11111,34,0.64
22.8,2,11,2,5464.64,3468.32,5.125,34,0.64
22.8,3,9,1,6441.28,5510.08,6.14286,34,0.64
23.3,1,11,5,5371.76,4752.88,5.22222,34,0.64
23.3,2,9,2,4843.04,2947.2,5.125,34,0.64
23.3,3,10,1,5821.84,1922.96,6.14286,34,0.64
23.8,1,11,5,5269.04,3898.08,5.22222,34,0.64
23.8,2,9,2,4888.08,2847.2,5.125,34,0.64
23.8,3,10,1,5618,2278.64,6.14286,34,0.64
24.3,1,9,4,6251.84,3091.52,5.11111,34,0.64
24.3,2,11,4,4950.56,4578.24,4.36364,34,0.64
24.3,3,10,3,6398.24,5859.04,5,34,0.64
24.8,1,9,7,5826.48,3099.68,4,34,0.64
24.8,2,11,4,4268.8,3304.32,4.55556,34,0.64
24.8,3,10,4,5121.68,2533.6,4.3,34,0.64
25.3,1,9,7,6058.08,3142.72,4,34,0.64
25.3,2,11,4,4331.44,2836.8,4.44444,34,0.64
25.3,3,10,4,5325.44,3389.36,4.3,34,0.64
25.8,1,11,5,5811.84,3184.8,4.88889,34,0.64
25.8,2,9,6,5654.88,3655.12,3.63636,34,0.64
25.8,3,10,4,6521.12,2051.52,4.3,34,0.64
26.3,1,11,4,5870.08,2769.76,4.88889,34,0.64
26.3,2,9,6,5601.2,3669.04,3.63636,34,0.64
26.3,3,10,4,6553.44,1543.6,4.4,34,0.64
26.8,1,9,3,6122.48,2725.04,5.22222,34,0.64
26.8,2,11,4,5013.68,2163.92,4.36364,34,0.64
26.8,3,10,3,6210.88,1663.68,5.2,34,0.64
27.3,1,9,6,6213.76,4296.8,4,34,0.64
27.3,2,11,4,5013.84,4287.28,4.44444,34,0.64
27.3,3,10,3,6185.76,1788.96,4.3,34,0.64
27.8,1,9,6,6164.08,3215.92,4,34,0.64
