time_s,srcCellId,neighborCellId,cio_display_dB,cio_display_ie
0.8,1,2,-2.5,-5
0.8,1,3,-2.5,-5
0.8,2,1,-1.5,-3
0.8,2,3,-1.5,-3
0.8,3,1,-1.5,-3
0.8,3,2,-1.5,-3
1.3,1,2,-2,-4
1.3,1,3,-2,-4
1.3,2,1,-1,-2
1.3,2,3,-1,-2
1.3,3,1,-1.5,-3
1.3,3,2,-1.5,-3
1.8,1,2,-2,-4
1.8,1,3,-2,-4
1.8,2,1,-1.5,-3
1.8,2,3,-1.5,-3
1.8,3,1,-2,-4
1.8,3,2,-2,-4
2.3,1,2,-2,-4
2.3,1,3,-2,-4
2.3,2,1,-1,-2
2.3,2,3,-1,-2
2.3,3,1,-1.5,-3
2.3,3,2,-1.5,-3
2.8,1,2,-2.5,-5
2.8,1,3,-2.5,-5
2.8,2,1,-1,-2
2.8,2,3,-1,-2
2.8,3,1,-1.5,-3
2.8,3,2,-1.5,-3
3.3,1,2,-2.5,-5
3.3,1,3,-2.5,-5
3.3,2,1,-1,-2
3.3,2,3,-1,-2
3.3,3,1,-2,-4
3.3,3,2,-2,-4
3.8,1,2,-2.5,-5
3.8,1,3,-2.5,-5
3.8,2,1,-1.5,-3
3.8,2,3,-1.5,-3
3.8,3,1,-2,-4
3.8,3,2,-2,-4
4.3,1,2,-2.5,-5
4.3,1,3,-2.5,-5
4.3,2,1,-1.5,-3
4.3,2,3,-1.5,-3
4.3,3,1,-1.5,-3
4.3,3,2,-1.5,-3
4.8,1,2,-3,-6
4.8,1,3,-3,-6
4.8,2,1,-1.5,-3
4.8,2,3,-1.5,-3
4.8,3,1,-1.5,-3
4.8,3,2,-1.5,-3
5.3,1,2,-2.5,-5
5.3,1,3,-2.5,-5
5.3,2,1,-1.5,-3
5.3,2,3,-1.5,-3
5.3,3,1,-1.5,-3
5.3,3,2,-1.5,-3
5.8,1,2,-2.5,-5
5.8,1,3,-2.5,-5
5.8,2,1,-1.5,-3
5.8,2,3,-1.5,-3
5.8,3,1,-1.5,-3
5.8,3,2,-1.5,-3
6.3,1,2,-2.5,-5
6.3,1,3,-2.5,-5
6.3,2,1,-1,-2
6.3,2,3,-1,-2
6.3,3,1,-1.5,-3
6.3,3,2,-1.5,-3
6.8,1,2,-3,-6
6.8,1,3,-3,-6
6.8,2,1,-1.5,-3
6.8,2,3,-1.5,-3
6.8,3,1,-1.5,-3
6.8,3,2,-1.5,-3
7.3,1,2,-3,-6
7.3,1,3,-3,-6
7.3,2,1,-1.5,-3
7.3,2,3,-1.5,-3
7.3,3,1,-1.5,-3
7.3,3,2,-1.5,-3
7.8,1,2,-2.5,-5
7.8,1,3,-2.5,-5
7.8,2,1,-1.5,-3
7.8,2,3,-1.5,-3
7.8,3,1,-2,-4
7.8,3,2,-2,-4
8.3,1,2,-2.5,-5
8.3,1,3,-2.5,-5
8.3,2,1,-1.5,-3
8.3,2,3,-1.5,-3
8.3,3,1,-2,-4
8.3,3,2,-2,-4
8.8,1,2,-2.5,-5
8.8,1,3,-2.5,-5
8.8,2,1,-1,-2
8.8,2,3,-1,-2
8.8,3,1,-1.5,-3
8.8,3,2,-1.5,-3
9.3,1,2,-3,-6
9.3,1,3,-3,-6
9.3,2,1,-1.5,-3
9.3,2,3,-1.5,-3
9.3,3,1,-2,-4
9.3,3,2,-2,-4
9.8,1,2,-2.5,-5
9.8,1,3,-2.5,-5
9.8,2,1,-1.5,-3
9.8,2,3,-1.5,-3
9.8,3,1,-2,-4
9.8,3,2,-2,-4
10.3,1,2,-2,-4
10.3,1,3,-2,-4
10.3,2,1,-1.5,-3
10.3,2,3,-1.5,-3
10.3,3,1,-1.5,-3
10.3,3,2,-1.5,-3
10.8,1,2,-2.5,-5
10.8,1,3,-2.5,-5
10.8,2,1,-1.5,-3
10.8,2,3,-1.5,-3
10.8,3,1,-1.5,-3
10.8,3,2,-1.5,-3
11.3,1,2,-2,-4
11.3,1,3,-2,-4
11.3,2,1,-1.5,-3
11.3,2,3,-1.5,-3
11.3,3,1,-1.5,-3
11.3,3,2,-1.5,-3
11.8,1,2,-2,-4
11.8,1,3,-2,-4
11.8,2,1,-1.5,-3
11.8,2,3,-1.5,-3
11.8,3,1,-1.5,-3
11.8,3,2,-1.5,-3
12.3,1,2,-2.5,-5
12.3,1,3,-2.5,-5
12.3,2,1,-1,-2
12.3,2,3,-1,-2
12.3,3,1,-1.5,-3
12.3,3,2,-1.5,-3
12.8,1,2,-3,-6
12.8,1,3,-3,-6
12.8,2,1,-1.5,-3
12.8,2,3,-1.5,-3
12.8,3,1,-2,-4
12.8,3,2,-2,-4
