time_s,cellId,cioRaw,txpRaw,selfCio_display_dB,txpApplied_dBm,cellThp_kbps,alpha
0.8,1,0.454481,0.6943,-2.5,34.7772,8550.24,0.104222
0.8,2,0.256228,0.662123,-1.5,34.6485,7066.64,0.103189
0.8,3,0.332627,0.682351,-1.5,34.7294,13425.2,0.102786
1.3,1,0.443652,0.679968,-2,34.7199,10163.8,0.104222
1.3,2,0.2289,0.666079,-1,34.6643,10132.3,0.103189
1.3,3,0.345321,0.673724,-1.5,34.6949,12732.2,0.102786
1.8,1,0.405187,0.66834,-2,34.6734,10964.1,0.104222
1.8,2,0.283196,0.673807,-1.5,34.6952,9221.12,0.103189
1.8,3,0.367802,0.698278,-2,34.7931,12631.9,0.102786
2.3,1,0.421077,0.675618,-2,34.7025,10278.9,0.104222
2.3,2,0.230795,0.661184,-1,34.6447,8657.2,0.103189
2.3,3,0.339788,0.659179,-1.5,34.6367,12104.5,0.102786
2.8,1,0.491214,0.710354,-2.5,34.8414,10231.4,0.104222
2.8,2,0.209307,0.646783,-1,34.5871,10675.1,0.103189
2.8,3,0.346085,0.654755,-1.5,34.619,10923,0.102786
3.3,1,0.466539,0.700606,-2.5,34.8024,9782.96,0.104222
3.3,2,0.233305,0.669993,-1,34.68,11137.4,0.103189
3.3,3,0.372616,0.687689,-2,34.7508,11077.5,0.102786
3.8,1,0.510998,0.734512,-2.5,34.938,8202.08,0.104222
3.8,2,0.265353,0.668577,-1.5,34.6743,9981.36,0.103189
3.8,3,0.357244,0.693522,-2,34.7741,12601.6,0.102786
4.3,1,0.452727,0.726293,-2.5,34.9052,11016,0.104222
4.3,2,0.28113,0.674417,-1.5,34.6977,12298.7,0.103189
4.3,3,0.317251,0.678239,-1.5,34.713,9988.88,0.102786
4.8,1,0.604741,0.78243,-3,35.1297,10119,0.104222
4.8,2,0.27877,0.659808,-1.5,34.6392,10333.4,0.103189
4.8,3,0.304891,0.681937,-1.5,34.7277,10355.9,0.102786
5.3,1,0.46307,0.744869,-2.5,34.9795,9985.44,0.104222
5.3,2,0.281135,0.674243,-1.5,34.697,9212.32,0.103189
5.3,3,0.287005,0.69735,-1.5,34.7894,10340.6,0.102786
5.8,1,0.456109,0.745227,-2.5,34.9809,10358.5,0.104222
5.8,2,0.276863,0.689335,-1.5,34.7573,8670.16,0.103189
5.8,3,0.28719,0.697787,-1.5,34.7911,10231.4,0.102786
6.3,1,0.509821,0.753671,-2.5,35.0147,9954.08,0.104222
6.3,2,0.236461,0.65045,-1,34.6018,11427,0.103189
6.3,3,0.29838,0.674887,-1.5,34.6995,12378.7,0.102786
6.8,1,0.596962,0.760968,-3,35.0439,9332.48,0.104222
6.8,2,0.257944,0.697486,-1.5,34.7899,10719,0.103189
6.8,3,0.339737,0.669816,-1.5,34.6793,10005,0.102786
7.3,1,0.596312,0.757564,-3,35.0303,8355.12,0.104222
7.3,2,0.2542,0.684828,-1.5,34.7393,10370.4,0.103189
7.3,3,0.346683,0.678198,-1.5,34.7128,10757.7,0.102786
7.8,1,0.485696,0.724292,-2.5,34.8972,11219.9,0.104222
7.8,2,0.255699,0.660181,-1.5,34.6407,8637.36,0.103189
7.8,3,0.366638,0.689669,-2,34.7587,10592.6,0.102786
8.3,1,0.485613,0.723099,-2.5,34.8924,12033.4,0.104222
8.3,2,0.255956,0.656501,-1.5,34.626,10457.4,0.103189
8.3,3,0.367155,0.689844,-2,34.7594,11000.8,0.102786
8.8,1,0.513636,0.754165,-2.5,35.0167,8877.36,0.104222
8.8,2,0.236411,0.651948,-1,34.6078,10138.2,0.103189
8.8,3,0.297501,0.678769,-1.5,34.7151,11936.2,0.102786
9.3,1,0.558704,0.755206,-3,35.0208,9382,0.104222
9.3,2,0.271025,0.677323,-1.5,34.7093,11193.8,0.103189
9.3,3,0.372881,0.692854,-2,34.7714,10464.4,0.102786
9.8,1,0.543908,0.755201,-2.5,35.0208,9549.68,0.104222
9.8,2,0.26196,0.673606,-1.5,34.6944,9802,0.103189
9.8,3,0.362378,0.688323,-2,34.7533,11237.6,0.102786
10.3,1,0.429659,0.708696,-2,34.8348,11278.3,0.104222
10.3,2,0.279982,0.679184,-1.5,34.7167,8354.64,0.103189
10.3,3,0.316385,0.67353,-1.5,34.6941,10996.7,0.102786
10.8,1,0.540116,0.761037,-2.5,35.0441,11825.7,0.104222
10.8,2,0.291241,0.65022,-1.5,34.6009,10647.9,0.103189
10.8,3,0.296596,0.666152,-1.5,34.6646,11065.3,0.102786
11.3,1,0.417855,0.689137,-2,34.7565,9782.24,0.104222
11.3,2,0.315592,0.682638,-1.5,34.7306,10289,0.103189
11.3,3,0.288793,0.683402,-1.5,34.7336,9730.24,0.102786
11.8,1,0.4438,0.704063,-2,34.8163,10102,0.104222
11.8,2,0.307096,0.691081,-1.5,34.7643,7582.48,0.103189
11.8,3,0.29138,0.67207,-1.5,34.6883,10410.8,0.102786
12.3,1,0.512594,0.747165,-2.5,34.9887,9737.6,0.104222
12.3,2,0.235499,0.652507,-1,34.61,10219.5,0.103189
12.3,3,0.326153,0.666723,-1.5,34.6669,11888.7,0.102786
12.8,1,0.560968,0.758198,-3,35.0328,8515.92,0.104222
12.8,2,0.278869,0.70027,-1.5,34.8011,9630.48,0.103189
12.8,3,0.358317,0.684083,-2,34.7363,10065.6,0.102786
13.3,1,0.522529,0.729884,-2.5,34.9195,8223.12,0.104222
13.3,2,0.291948,0.692622,-1.5,34.7705,10296.7,0.103189
13.3,3,0.349943,0.671302,-1.5,34.6852,9912.08,0.102786
13.8,1,0.430887,0.685119,-2,34.7405,11132.2,0.104222
13.8,2,0.289897,0.655033,-1.5,34.6201,7587.76,0.103189
13.8,3,0.370432,0.691314,-2,34.7653,10870.6,0.102786
14.3,1,0.406726,0.68784,-2,34.7514,10185.3,0.104222
14.3,2,0.305637,0.682278,-1.5,34.7291,9690.4,0.103189
14.3,3,0.3695,0.690998,-2,34.764,9458.64,0.102786
14.8,1,0.50979,0.751601,-2.5,35.0064,9026.64,0.104222
14.8,2,0.267508,0.659577,-1.5,34.6383,10045.2,0.103189
14.8,3,0.312327,0.66066,-1.5,34.6426,10049.9,0.102786
15.3,1,0.549489,0.744929,-2.5,34.9797,10667.1,0.104222
15.3,2,0.290867,0.70485,-1.5,34.8194,10153.4,0.103189
15.3,3,0.372342,0.692034,-2,34.7681,10069.8,0.102786
15.8,1,0.508826,0.72818,-2.5,34.9127,8462.56,0.104222
15.8,2,0.290544,0.705082,-1.5,34.8203,10055.7,0.103189
15.8,3,0.357466,0.686826,-2,34.7473,9270.32,0.102786
16.3,1,0.376358,0.64307,-2,34.5723,10763.3,0.104222
16.3,2,0.282086,0.675978,-1.5,34.7039,8179.84,0.103189
16.3,3,0.329111,0.676048,-1.5,34.7042,9963.04,0.102786
16.8,1,0.44756,0.693474,-2,34.7739,10798.5,0.104222
16.8,2,0.281919,0.653882,-1.5,34.6155,8690.32,0.103189
16.8,3,0.291876,0.670758,-1.5,34.683,8718.72,0.102786
17.3,1,0.386382,0.649525,-2,34.5981,9422.88,0.104222
17.3,2,0.298355,0.673783,-1.5,34.6951,8261.12,0.103189
17.3,3,0.324025,0.664141,-1.5,34.6566,10067.2,0.102786
17.8,1,0.384536,0.641142,-2,34.5646,9655.04,0.104222
17.8,2,0.297576,0.674373,-1.5,34.6975,8954.96,0.103189
17.8,3,0.314509,0.677924,-1.5,34.7117,9684.32,0.102786
18.3,1,0.405074,0.65544,-2,34.6218,9396.88,0.104222
18.3,2,0.251087,0.643031,-1.5,34.5721,10339.7,0.103189
18.3,3,0.297613,0.651626,-1.5,34.6065,8954.96,0.102786
18.8,1,0.404503,0.660021,-2,34.6401,9597.84,0.104222
18.8,2,0.290546,0.66984,-1.5,34.6794,8210.24,0.103189
18.8,3,0.381589,0.699528,-2,34.7981,9806.72,0.102786
19.3,1,0.403632,0.658434,-2,34.6337,9596.72,0.104222
19.3,2,0.289201,0.66948,-1.5,34.6779,9258.24,0.103189
19.3,3,0.381826,0.708155,-2,34.8326,9623.12,0.102786
19.8,1,0.375659,0.619161,-2,34.4766,10957,0.104222
19.8,2,0.297049,0.688307,-1.5,34.7532,9539.52,0.103189
19.8,3,0.353842,0.67247,-2,34.6899,8769.36,0.102786
20.3,1,0.375946,0.617963,-2,34.4719,9869.36,0.104222
20.3,2,0.297103,0.688257,-1.5,34.753,10667.6,0.103189
20.3,3,0.345466,0.673133,-1.5,34.6925,8655.12,0.102786
20.8,1,0.418599,0.657032,-2,34.6281,9870,0.104222
20.8,2,0.265385,0.642268,-1.5,34.5691,10806.2,0.103189
20.8,3,0.320603,0.664877,-1.5,34.6595,11129.6,0.102786
21.3,1,0.424372,0.657565,-2,34.6303,10475.8,0.104222
21.3,2,0.29741,0.646133,-1.5,34.5845,10743.5,0.103189
21.3,3,0.37425,0.709429,-2,34.8377,11868,0.102786
21.8,1,0.423602,0.65683,-2,34.6273,9126.24,0.104222
