time_s,step,reward_cell1,reward_cell2,reward_cell3,prb_std,ue_std
0.5,1187,0.455061,0.566059,0.438472,0,0.0720082
0.6,1188,0.463397,0.619307,0.465672,0,0.0720082
0.7,1189,0.452525,0.656827,0.504464,0,0.0720082
0.8,1190,0.313344,0.308021,0.953563,0,0.0720082
0.9,1191,0.380096,0.416565,0.996579,0,0.0720082
1,1192,0.477715,0.460256,0.535365,0,0.0272166
1.1,1193,0.530283,0.532864,0.570061,0,0.0272166
1.2,1194,0.476805,0.483819,0.645432,0,0.0272166
1.3,1195,0.429525,0.449403,0.780736,0,0.0272166
1.4,1196,0.453285,0.490171,0.779736,0,0.0272166
1.5,1197,0.447973,0.490187,0.76208,0,0.0272166
1.6,1198,0.452533,0.484683,0.75264,0,0.0272166
1.7,1199,0.443131,0.31936,0.710021,0,0.0544331
1.8,1200,0.491979,0.341064,0.816829,0,0.0544331
1.9,1201,0.487371,0.331424,0.797053,0,0.0544331
2,1202,0.389909,0.510976,0.481267,0,0.0272166
2.1,1203,0.445613,0.550336,0.616107,0,0.0272166
2.2,1204,0.407749,0.473824,0.577019,0,0.0272166
2.3,1205,0.441061,0.531392,0.618923,0,0.0272166
2.4,1206,0.425781,0.51312,0.590995,0,0.0272166
2.5,1207,0.420437,0.510096,0.587259,0,0.0272166
2.6,1208,0.445621,0.559056,0.623483,0,0.0272166
2.7,1209,0.445597,0.553552,0.608859,0,0.0272166
2.8,1210,0.441061,0.550304,0.623467,0,0.0272166
2.9,1211,0.488075,0.438331,0.555019,0.0261279,0
3,1212,0.522603,0.475387,0.624955,0,0
3.1,1213,0.523371,0.470827,0.618923,0,0
3.2,1214,0.309712,0.484256,0.62644,0,0.0471405
3.3,1215,0.37144,0.532848,0.69664,0,0.0471405
3.4,1216,0.482435,0.338573,0.58528,0,0.0272166
3.5,1217,0.522603,0.403117,0.698128,0,0.0272166
3.6,1218,0.399931,0.482181,0.669536,0,0.0720082
3.7,1219,0.255411,0.586565,0.615104,0,0.0720082
3.8,1220,0.300267,0.599037,0.688064,0,0.0720082
3.9,1221,0.301035,0.598101,0.684688,0,0.0720082
4,1222,0.357691,0.612317,0.644912,0,0.0720082
4.1,1223,0.512171,0.386189,0.549328,0.0301699,0.0272166
4.2,1224,0.533115,0.319485,0.666976,0,0.0272166
4.3,1225,0.514155,0.403141,0.665728,0,0.0272166
4.4,1226,0.239299,0.556613,0.556544,0,0.0720082
4.5,1227,0.357627,0.596349,0.65024,0,0.0720082
4.6,1228,0.565168,0.292008,0.542672,0,0.0471405
4.7,1229,0.588864,0.29964,0.66224,0,0.0471405
4.8,1230,0.425499,0.458413,0.645984,0,0.0720082
4.9,1231,0.274259,0.577565,0.562696,0,0.0720082
5,1232,0.391875,0.603605,0.651232,0,0.0720082
5.1,1233,0.394395,0.603597,0.643336,0,0.0720082
5.2,1234,0.392651,0.603597,0.641144,0,0.0720082
5.3,1235,0.509259,0.403893,0.544008,0.0261279,0.0272166
5.4,1236,0.534187,0.330005,0.650896,0,0.0272166
5.5,1237,0.512411,0.378157,0.654576,0,0.0272166
5.6,1238,0.398379,0.556741,0.555496,0,0.0720082
5.7,1239,0.386587,0.603605,0.646032,0,0.0720082
5.8,1240,0.525251,0.319109,0.542672,0,0.0272166
5.9,1241,0.533411,0.386493,0.64616,0,0.0272166
6,1242,0.390523,0.461373,0.643728,0,0.0720082
6.1,1243,0.281763,0.553245,0.574536,0,0.0720082
6.2,1244,0.392651,0.564101,0.623968,0,0.0720082
6.3,1245,0.392651,0.568653,0.611968,0,0.0720082
6.4,1246,0.399083,0.571877,0.621416,0,0.0720082
6.5,1247,0.506467,0.368285,0.524232,0.0261279,0.0272166
6.6,1248,0.532619,0.341541,0.65328,0,0.0272166
6.7,1249,0.514923,0.388229,0.658736,0,0.0272166
6.8,1250,0.295675,0.501573,0.542328,0,0.0720082
6.9,1251,0.377915,0.568661,0.611392,0,0.0720082
7,1252,0.566475,0.286869,0.52424,0,0.0272166
7.1,1253,0.531883,0.375621,0.656112,0,0.0272166
7.2,1254,0.392267,0.471453,0.627632,0,0.0720082
7.3,1255,0.279723,0.550029,0.569624,0,0.0720082
7.4,1256,0.374523,0.567317,0.61672,0,0.0720082
7.5,1257,0.381867,0.568645,0.616128,0,0.0720082
7.6,1258,0.373347,0.568653,0.622008,0,0.0720082
7.7,1259,0.504219,0.360997,0.529944,0.0301699,0.0272166
7.8,1260,0.531371,0.328933,0.642832,0,0.0272166
7.9,1261,0.514899,0.394261,0.660656,0,0.0272166
8,1262,0.300491,0.519429,0.544376,0,0.0720082
8.1,1263,0.381899,0.574709,0.616128,0,0.0720082
8.2,1264,0.519051,0.278125,0.515568,0,0.0272166
8.3,1265,0.524659,0.385941,0.644464,0,0.0272166
8.4,1266,0.393611,0.478677,0.634992,0,0.0720082
8.5,1267,0.292491,0.560885,0.550384,0,0.0720082
8.6,1268,0.341515,0.599525,0.661568,0,0.0720082
8.7,1269,0.363731,0.576437,0.647408,0,0.0720082
8.8,1270,0.367963,0.568677,0.61636,0,0.0720082
8.9,1271,0.495283,0.368709,0.52432,0,0.0272166
9,1272,0.530339,0.296837,0.626608,0,0.0272166
9.1,1273,0.514923,0.371813,0.635312,0,0.0272166
9.2,1274,0.381283,0.545125,0.565896,0,0.0720082
9.3,1275,0.363035,0.581941,0.647072,0,0.0720082
9.4,1276,0.514547,0.287013,0.517248,0,0.0272166
9.5,1277,0.529059,0.355581,0.633856,0,0.0272166
9.6,1278,0.393611,0.454485,0.613824,0,0.0720082
9.7,1279,0.423259,0.572405,0.570072,0,0.0720082
9.8,1280,0.341563,0.583397,0.626512,0,0.0720082
9.9,1281,0.359547,0.576437,0.638816,0,0.0720082
10,1282,0.348235,0.580165,0.624552,0,0.0720082
10.1,1283,0.479171,0.381021,0.5486,0,0.0272166
10.2,1284,0.534651,0.300053,0.625008,0,0.0272166
10.3,1285,0.522603,0.364037,0.635312,0,0.0272166
10.4,1286,0.255363,0.549685,0.572376,0,0.0720082
10.5,1287,0.356667,0.574693,0.642264,0,0.0720082
10.6,1288,0.482563,0.309013,0.516576,0,0.0272166
10.7,1289,0.522603,0.374621,0.614368,0,0.0272166
10.8,1290,0.401291,0.451653,0.591296,0,0.0720082
10.9,1291,0.290779,0.573877,0.573144,0,0.0720082
11,1292,0.344587,0.583397,0.62228,0,0.0720082
11.1,1293,0.352891,0.579253,0.63112,0,0.0720082
11.2,1294,0.342083,0.577365,0.649064,0,0.0720082
11.3,1295,0.480211,0.381029,0.531848,0,0.0272166
11.4,1296,0.534931,0.296837,0.63872,0,0.0272166
11.5,1297,0.523371,0.381173,0.641448,0,0.0272166
11.6,1298,0.249203,0.518709,0.565728,0,0.0720082
11.7,1299,0.353883,0.579253,0.615712,0,0.0720082
11.8,1300,0.487035,0.285525,0.55276,0,0.0272166
11.9,1301,0.522603,0.362389,0.632728,0,0.0272166
12,1302,0.403035,0.432325,0.628552,0,0.0720082
12.1,1303,0.280051,0.566245,0.556744,0,0.0720082
12.2,1304,0.349155,0.577365,0.64948,0,0.0720082
12.3,1305,0.352131,0.579253,0.624416,0,0.0720082
12.4,1306,0.343619,0.583397,0.656664,0,0.0720082
12.5,1307,0.467771,0.377365,0.496048,0,0.0272166
12.6,1308,0.523403,0.299365,0.63004,0,0.0272166
12.7,1309,0.522603,0.355157,0.645264,0,0.0272166
12.8,1310,0.242219,0.521525,0.576192,0,0.0720082
12.9,1311,0.366075,0.586501,0.58364,0,0.0720082
13,1312,0.527483,0.284677,0.554552,0,0.0272166
13.1,1313,0.506907,0.355157,0.638056,0,0.0272166
13.2,1314,0.388107,0.444133,0.623208,0,0.0720082
13.3,1315,0.297603,0.556165,0.531712,0,0.0720082
13.4,1316,0.338667,0.580173,0.648728,0,0.0720082
13.5,1317,0.370923,0.586605,0.591328,0,0.0720082
13.6,1318,0.327587,0.595061,0.61964,0,0.0720082
13.7,1319,0.491187,0.381509,0.494584,0,0.0272166
13.8,1320,0.525195,0.295333,0.624048,0,0.0272166
13.9,1321,0.507651,0.352341,0.610904,0,0.0272166
14,1322,0.239163,0.531589,0.547032,0,0.0720082
14.1,1323,0.372731,0.584997,0.601808,0,0.0720082
14.2,1324,0.515696,0.261776,0.515456,0,0.0471405
14.3,1325,0.554752,0.27488,0.619624,0,0.0471405
14.4,1326,0.402155,0.411941,0.589592,0,0.0720082
14.5,1327,0.304027,0.577877,0.547024,0,0.0720082
14.6,1328,0.330043,0.586733,0.62228,0,0.0720082
14.7,1329,0.376315,0.577613,0.597632,0,0.0720082
14.8,1330,0.387419,0.568437,0.575688,0,0.0720082
14.9,1331,0.511115,0.358661,0.470984,0,0.0272166
15,1332,0.523451,0.299877,0.59632,0,0.0272166
15.1,1333,0.493723,0.377317,0.611672,0,0.0272166
15.2,1334,0.26492,0.423,0.55352,0,0.0471405
15.3,1335,0.33632,0.501904,0.638208,0,0.0471405
15.4,1336,0.424843,0.299165,0.530976,0,0.0272166
15.5,1337,0.490235,0.390741,0.576472,0,0.0272166
15.6,1338,0.404,0.436448,0.568744,0,0.0471405
15.7,1339,0.271288,0.451864,0.545376,0,0.0471405
15.8,1340,0.331064,0.499216,0.611448,0,0.0471405
15.9,1341,0.337088,0.506464,0.601432,0,0.0471405
16,1342,0.32952,0.49184,0.601432,0,0.0471405
16.1,1343,0.392859,0.393059,0.478035,0.0522558,0
16.2,1344,0.488603,0.448763,0.514475,0,0
16.3,1345,0.472987,0.460427,0.517707,0,0
16.4,1346,0.266536,0.42112,0.602296,0,0.0471405
16.5,1347,0.33176,0.4964,0.585448,0,0.0471405
16.6,1348,0.463315,0.308493,0.488768,0,0.0272166
16.7,1349,0.477259,0.380669,0.572872,0,0.0272166
16.8,1350,0.390624,0.446512,0.55836,0,0.0471405
16.9,1351,0.288336,0.450112,0.510272,0,0.0471405
17,1352,0.345616,0.4964,0.580824,0,0.0471405
17.1,1353,0.349192,0.506464,0.568296,0,0.0471405
17.2,1354,0.345616,0.490432,0.57888,0,0.0471405
17.3,1355,0.402171,0.365891,0.559611,0.0261279,0
17.4,1356,0.496691,0.423739,0.555851,0,0
17.5,1357,0.496283,0.439939,0.518307,0,0
17.6,1358,0.303464,0.315483,0.603437,0,0.0544331
17.7,1359,0.364416,0.400203,0.655397,0,0.0544331
17.8,1360,0.426323,0.348371,0.562995,0,0
17.9,1361,0.497267,0.436571,0.525691,0,0
18,1362,0.442869,0.417531,0.536192,0,0.0272166
18.1,1363,0.394965,0.369451,0.558096,0,0.0272166
18.2,1364,0.440629,0.418971,0.594656,0,0.0272166
18.3,1365,0.444501,0.421963,0.579896,0,0.0272166
18.4,1366,0.449461,0.421787,0.572504,0,0.0272166
18.5,1367,0.439931,0.363675,0.461923,0,0
18.6,1368,0.480811,0.441307,0.510635,0,0
18.7,1369,0.474075,0.433755,0.522979,0,0
18.8,1370,0.407829,0.276165,0.584477,0,0.0471405
18.9,1371,0.432085,0.358877,0.669077,0,0.0471405
19,1372,0.444763,0.355899,0.444723,0,0
19.1,1373,0.481579,0.432979,0.522875,0,0
19.2,1374,0.431093,0.387013,0.564197,0,0.0471405
19.3,1375,0.402877,0.280213,0.638429,0,0.0471405
19.4,1376,0.438877,0.354149,0.658213,0,0.0471405
19.5,1377,0.434581,0.354325,0.665093,0,0.0471405
19.6,1378,0.434869,0.348821,0.658213,0,0.0471405
19.7,1379,0.444475,0.350395,0.492931,0,0
19.8,1380,0.478747,0.436563,0.492859,0,0
19.9,1381,0.477579,0.439963,0.518315,0,0
20,1382,0.389293,0.267845,0.613901,0,0.0471405
20.1,1383,0.438861,0.358885,0.655397,0,0.0471405
20.2,1384,0.447955,0.354427,0.449275,0,0
20.3,1385,0.475531,0.435227,0.518315,0,0
20.4,1386,0.431077,0.424907,0.536192,0,0.0272166
20.5,1387,0.413205,0.371963,0.572544,0,0.0272166
20.6,1388,0.446781,0.416459,0.604248,0,0.0272166
20.7,1389,0.413365,0.395595,0.601736,0,0.0272166
20.8,1390,0.423181,0.389579,0.612608,0,0.0272166
20.9,1391,0.394357,0.411904,0.482355,0,0.0272166
21,1392,0.436357,0.485408,0.530235,0,0.0272166
21.1,1393,0.437397,0.487896,0.540123,0,0.0272166
21.2,1394,0.380525,0.254533,0.619341,0,0.0471405
21.3,1395,0.418629,0.324605,0.683949,0,0.0471405
21.4,1396,0.396133,0.416464,0.455435,0,0.0272166
21.5,1397,0.442549,0.479376,0.534811,0,0.0272166
21.6,1398,0.418653,0.404309,0.587365,0,0.0471405
21.7,1399,0.394333,0.257773,0.652997,0,0.0471405
21.8,1400,0.415941,0.327429,0.686765,0,0.0471405
21.9,1401,0.406325,0.324685,0.683949,0,0.0471405
22,1402,0.413429,0.306093,0.685989,0,0.0471405
22.1,1403,0.387317,0.382544,0.501627,0,0.0272166
22.2,1404,0.430069,0.465472,0.510963,0,0.0272166
22.3,1405,0.425381,0.468712,0.538787,0,0.0272166
22.4,1406,0.419123,0.239485,0.485648,0,0.0272166
22.5,1407,0.455547,0.312773,0.58492,0,0.0272166
22.6,1408,0.391453,0.39824,0.439643,0,0.0272166
