time_s,step,cellId,cio_l2_change,max_cio_change,txp_raw_curr,txp_raw_prev,txp_raw_change,txp_dBm_curr,txp_dBm_prev,ue_count_prev,ue_count_curr,ue_count_change,reward_prev,reward_curr,reward_change,consecutive_stagnant_steps,cio_stagnant,txp_stagnant,is_stagnant
0.5,1187,1,-1,-1,0.723837,0.723837,-1,34.8953,34.8953,11,11,0,0.455061,0.455061,0,0,0,0,0
0.5,1187,2,-1,-1,0.655472,0.655472,-1,34.6219,34.6219,7,7,0,0.566059,0.566059,0,0,0,0,0
0.5,1187,3,-1,-1,0.685691,0.685691,-1,34.7428,34.7428,12,12,0,0.438472,0.438472,0,0,0,0,0
0.6,1188,1,0.0525317,0.0525317,0.669016,0.723837,0.0548213,34.6761,34.8953,11,11,0,0.455061,0.463397,0.008336,0,0,0,0
0.6,1188,2,0.00923449,0.00923449,0.655348,0.655472,0.000124753,34.6214,34.6219,7,7,0,0.566059,0.619307,0.053248,0,1,1,0
0.6,1188,3,0.00718835,0.00718835,0.676577,0.685691,0.00911373,34.7063,34.7428,12,12,0,0.438472,0.465672,0.0272,0,1,1,0
0.7,1189,1,0.0285284,0.0285284,0.644457,0.669016,0.0245587,34.5778,34.6761,11,11,0,0.463397,0.452525,0.010872,0,0,0,0
0.7,1189,2,0.0180224,0.0180224,0.637074,0.655348,0.0182735,34.5483,34.6214,7,7,0,0.619307,0.656827,0.03752,0,1,1,0
0.7,1189,3,0.0545802,0.0545802,0.654523,0.676577,0.0220534,34.6181,34.7063,12,12,0,0.465672,0.504464,0.038792,0,0,0,0
0.8,1190,1,0.0592022,0.0592022,0.6943,0.644457,0.0498425,34.7772,34.5778,11,12,1,0.452525,0.313344,0.139181,0,0,0,0
0.8,1190,2,0.0303416,0.0303416,0.662123,0.637074,0.0250492,34.6485,34.5483,7,11,4,0.656827,0.308021,0.348805,0,0,0,0
0.8,1190,3,0.0058111,0.0058111,0.682351,0.654523,0.0278271,34.7294,34.6181,12,7,-5,0.504464,0.953563,0.449099,0,1,0,0
0.9,1191,1,0.0132263,0.0132263,0.705497,0.6943,0.0111974,34.822,34.7772,12,12,0,0.313344,0.380096,0.066752,0,1,1,0
0.9,1191,2,0.000972837,0.000972837,0.656261,0.662123,0.00586253,34.625,34.6485,11,11,0,0.308021,0.416565,0.108544,0,1,1,0
0.9,1191,3,0.00830665,0.00830665,0.681855,0.682351,0.000495493,34.7274,34.7294,7,7,0,0.953563,0.996579,0.043016,0,1,1,0
1,1192,1,0.0752892,0.0752892,0.662829,0.705497,0.042668,34.6513,34.822,12,10,-2,0.380096,0.477715,0.0976187,0,0,0,0
1,1192,2,0.0138407,0.0138407,0.6728,0.656261,0.0165389,34.6912,34.625,11,9,-2,0.416565,0.460256,0.0436907,0,1,1,0
1,1192,3,0.011187,0.011187,0.656189,0.681855,0.0256656,34.6248,34.7274,7,11,4,0.996579,0.535365,0.461213,0,1,0,0
1.1,1193,1,0.00054273,0.00054273,0.655267,0.662829,0.00756234,34.6211,34.6513,10,10,0,0.477715,0.530283,0.052568,0,1,1,0
1.1,1193,2,0.0126476,0.0126476,0.686873,0.6728,0.0140733,34.7475,34.6912,9,9,0,0.460256,0.532864,0.072608,0,1,1,0
1.1,1193,3,0.000223041,0.000223041,0.64721,0.656189,0.00897956,34.5888,34.6248,11,11,0,0.535365,0.570061,0.034696,0,1,1,0
1.2,1194,1,0.0563945,0.0563945,0.685316,0.655267,0.0300491,34.7413,34.6211,10,11,1,0.530283,0.476805,0.0534773,0,0,0,0
1.2,1194,2,0.0246605,0.0246605,0.648537,0.686873,0.0383355,34.5941,34.7475,9,10,1,0.532864,0.483819,0.0490453,0,0,0,0
1.2,1194,3,0.0238342,0.0238342,0.63204,0.64721,0.0151698,34.5282,34.5888,11,9,-2,0.570061,0.645432,0.0753707,0,0,1,0
1.3,1195,1,0.00461689,0.00461689,0.679968,0.685316,0.00534797,34.7199,34.7413,11,11,0,0.476805,0.429525,0.04728,0,1,1,0
1.3,1195,2,0.000501454,0.000501454,0.666079,0.648537,0.0175421,34.6643,34.5941,10,10,0,0.483819,0.449403,0.034416,0,1,1,0
1.3,1195,3,0.00857684,0.00857684,0.673724,0.63204,0.0416842,34.6949,34.5282,9,9,0,0.645432,0.780736,0.135304,0,1,0,0
1.4,1196,1,0.00258005,0.00258005,0.682755,0.679968,0.00278699,34.731,34.7199,11,11,0,0.429525,0.453285,0.02376,0,1,1,0
1.4,1196,2,0.00685175,0.00685175,0.656832,0.666079,0.009247,34.6273,34.6643,10,10,0,0.449403,0.490171,0.040768,0,1,1,0
1.4,1196,3,0.000166565,0.000166565,0.673727,0.673724,3.27826e-06,34.6949,34.6949,9,9,0,0.780736,0.779736,0.001,0,1,1,1
1.5,1197,1,0.0430723,0.0430723,0.710892,0.682755,0.0281372,34.8436,34.731,11,11,0,0.453285,0.447973,0.005312,0,0,0,0
1.5,1197,2,0.00753325,0.00753325,0.657178,0.656832,0.000345826,34.6287,34.6273,10,10,0,0.490171,0.490187,1.6e-05,0,1,1,1
1.5,1197,3,0.0211823,0.0211823,0.673452,0.673727,0.000275433,34.6938,34.6949,9,9,0,0.779736,0.76208,0.017656,0,0,1,0
1.6,1198,1,0.00127947,0.00127947,0.711236,0.710892,0.000344098,34.8449,34.8436,11,11,0,0.447973,0.452533,0.00456,0,1,1,1
1.6,1198,2,0.00128445,0.00128445,0.658913,0.657178,0.00173438,34.6357,34.6287,10,10,0,0.490187,0.484683,0.005504,0,1,1,1
1.6,1198,3,0.00371635,0.00371635,0.673232,0.673452,0.000220418,34.6929,34.6938,9,9,0,0.76208,0.75264,0.00944,0,1,1,1
1.7,1199,1,0.0536335,0.0536335,0.690089,0.711236,0.0211478,34.7604,34.8449,11,10,-1,0.452533,0.443131,0.00940267,1,0,0,0
1.7,1199,2,0.0556128,0.0556128,0.668099,0.658913,0.00918597,34.6724,34.6357,10,12,2,0.484683,0.31936,0.165323,1,0,1,0
1.7,1199,3,0.0354155,0.0354155,0.679176,0.673232,0.00594455,34.7167,34.6929,9,8,-1,0.75264,0.710021,0.0426187,1,0,1,0
1.8,1200,1,0.0292049,0.0292049,0.66834,0.690089,0.021749,34.6734,34.7604,10,10,0,0.443131,0.491979,0.048848,0,0,0,0
1.8,1200,2,0.000649095,0.000649095,0.673807,0.668099,0.00570852,34.6952,34.6724,12,12,0,0.31936,0.341064,0.021704,0,1,1,0
1.8,1200,3,0.0328309,0.0328309,0.698278,0.679176,0.0191023,34.7931,34.7167,8,8,0,0.710021,0.816829,0.106808,0,0,1,0
1.9,1201,1,0.0147195,0.0147195,0.69091,0.66834,0.0225699,34.7636,34.6734,10,10,0,0.491979,0.487371,0.004608,0,1,0,0
1.9,1201,2,0.00131875,0.00131875,0.673943,0.673807,0.000136197,34.6958,34.6952,12,12,0,0.341064,0.331424,0.00964,0,1,1,1
1.9,1201,3,0.00447115,0.00447115,0.692976,0.698278,0.00530201,34.7719,34.7931,8,8,0,0.816829,0.797053,0.019776,0,1,1,0
2,1202,1,0.0513811,0.0513811,0.689817,0.69091,0.00109285,34.7593,34.7636,10,11,1,0.487371,0.389909,0.0974613,0,0,1,0
2,1202,2,0.022759,0.022759,0.69625,0.673943,0.0223066,34.785,34.6958,12,9,-3,0.331424,0.510976,0.179552,0,0,0,0
2,1202,3,0.0482713,0.0482713,0.695539,0.692976,0.00256246,34.7822,34.7719,8,10,2,0.797053,0.481267,0.315787,0,0,1,0
2.1,1203,1,0.012052,0.012052,0.695294,0.689817,0.00547695,34.7812,34.7593,11,11,0,0.389909,0.445613,0.055704,0,1,1,0
2.1,1203,2,0.00306344,0.00306344,0.686459,0.69625,0.00979054,34.7458,34.785,9,9,0,0.510976,0.550336,0.03936,0,1,1,0
2.1,1203,3,0.0119033,0.0119033,0.677044,0.695539,0.0184951,34.7082,34.7822,10,10,0,0.481267,0.616107,0.13484,0,1,1,0
2.2,1204,1,0.0158414,0.0158414,0.678014,0.695294,0.0172796,34.7121,34.7812,11,11,0,0.445613,0.407749,0.037864,0,1,1,0
2.2,1204,2,0.00534797,0.00534797,0.65194,0.686459,0.0345196,34.6078,34.7458,9,9,0,0.550336,0.473824,0.076512,0,1,0,0
2.2,1204,3,0.0113174,0.0113174,0.65514,0.677044,0.0219036,34.6206,34.7082,10,10,0,0.616107,0.577019,0.039088,0,1,0,0
2.3,1205,1,0.0223174,0.0223174,0.675618,0.678014,0.00239587,34.7025,34.7121,11,11,0,0.407749,0.441061,0.033312,0,0,1,0
2.3,1205,2,0.02255,0.02255,0.661184,0.65194,0.00924426,34.6447,34.6078,9,9,0,0.473824,0.531392,0.057568,0,0,1,0
2.3,1205,3,0.0163722,0.0163722,0.659179,0.65514,0.00403845,34.6367,34.6206,10,10,0,0.577019,0.618923,0.041904,0,1,1,0
2.4,1206,1,0.0215812,0.0215812,0.679496,0.675618,0.00387728,34.718,34.7025,11,11,0,0.441061,0.425781,0.01528,0,0,1,0
2.4,1206,2,0.0114515,0.0114515,0.645555,0.661184,0.0156285,34.5822,34.6447,9,9,0,0.531392,0.51312,0.018272,0,1,1,0
2.4,1206,3,0.0148846,0.0148846,0.651724,0.659179,0.00745457,34.6069,34.6367,10,10,0,0.618923,0.590995,0.027928,0,1,1,0
2.5,1207,1,0.0161997,0.0161997,0.674051,0.679496,0.00544453,34.6962,34.718,11,11,0,0.425781,0.420437,0.005344,0,1,1,1
2.5,1207,2,0.0159086,0.0159086,0.658025,0.645555,0.0124691,34.6321,34.5822,9,9,0,0.51312,0.510096,0.003024,0,1,1,1
2.5,1207,3,0.00172412,0.00172412,0.650927,0.651724,0.00079751,34.6037,34.6069,10,10,0,0.590995,0.587259,0.003736,0,1,1,1
2.6,1208,1,0.00588059,0.00588059,0.675983,0.674051,0.00193232,34.7039,34.6962,11,11,0,0.420437,0.445621,0.025184,1,1,1,0
2.6,1208,2,0.0154444,0.0154444,0.668944,0.658025,0.0109196,34.6758,34.6321,9,9,0,0.510096,0.559056,0.04896,1,1,1,0
2.6,1208,3,0.0155018,0.0155018,0.660406,0.650927,0.00947976,34.6416,34.6037,10,10,0,0.587259,0.623483,0.036224,1,1,1,0
2.7,1209,1,0.0693929,0.0693929,0.710713,0.675983,0.0347297,34.8429,34.7039,11,11,0,0.445621,0.445597,2.4e-05,0,0,0,0
2.7,1209,2,0.0334974,0.0334974,0.647218,0.668944,0.0217261,34.5889,34.6758,9,9,0,0.559056,0.553552,0.005504,0,0,0,0
2.7,1209,3,0.00308153,0.00308153,0.649963,0.660406,0.0104438,34.5999,34.6416,10,10,0,0.623483,0.608859,0.014624,0,1,1,0
2.8,1210,1,0.00124344,0.00124344,0.710354,0.710713,0.00035882,34.8414,34.8429,11,11,0,0.445597,0.441061,0.004536,0,1,1,1
2.8,1210,2,0.0010221,0.0010221,0.646783,0.647218,0.000434697,34.5871,34.5889,9,9,0,0.553552,0.550304,0.003248,0,1,1,1
2.8,1210,3,0.00703698,0.00703698,0.654755,0.649963,0.00479203,34.619,34.5999,10,10,0,0.608859,0.623467,0.014608,0,1,1,0
2.9,1211,1,0.0965983,0.0965983,0.666937,0.710354,0.0434173,34.6677,34.8414,11,10,-1,0.441061,0.488075,0.0470133,0,0,0,0
2.9,1211,2,0.0236103,0.0236103,0.657206,0.646783,0.0104228,34.6288,34.5871,9,10,1,0.550304,0.438331,0.111973,0,0,1,0
2.9,1211,3,0.0220537,0.0220537,0.66361,0.654755,0.00885504,34.6544,34.619,10,10,0,0.623467,0.555019,0.068448,0,0,1,0
3,1212,1,0.0103649,0.0103649,0.665484,0.666937,0.00145262,34.6619,34.6677,10,10,0,0.488075,0.522603,0.034528,0,1,1,0
3,1212,2,0.000346005,0.000346005,0.660966,0.657206,0.0037595,34.6439,34.6288,10,10,0,0.438331,0.475387,0.037056,0,1,1,0
3,1212,3,0.0219833,0.0219833,0.670416,0.66361,0.00680673,34.6817,34.6544,10,10,0,0.555019,0.624955,0.069936,0,0,1,0
3.1,1213,1,0.00560406,0.00560406,0.67581,0.665484,0.0103256,34.7032,34.6619,10,10,0,0.522603,0.523371,0.000768,0,1,1,1
3.1,1213,2,0.00194116,0.00194116,0.649982,0.660966,0.0109835,34.5999,34.6439,10,10,0,0.475387,0.470827,0.00456,0,1,1,1
3.1,1213,3,0.0294705,0.0294705,0.667665,0.670416,0.00275093,34.6707,34.6817,10,10,0,0.624955,0.618923,0.006032,0,0,1,0
3.2,1214,1,0.0906891,0.0906891,0.69812,0.67581,0.0223101,34.7925,34.7032,10,12,2,0.523371,0.309712,0.213659,0,0,0,0
3.2,1214,2,0.00372158,0.00372158,0.683449,0.649982,0.0334669,34.7338,34.5999,10,9,-1,0.470827,0.484256,0.0134293,0,1,0,0
3.2,1214,3,0.0289653,0.0289653,0.680991,0.667665,0.0133257,34.724,34.6707,10,9,-1,0.618923,0.62644,0.00751733,0,0,1,0
3.3,1215,1,0.0140051,0.0140051,0.700606,0.69812,0.00248575,34.8024,34.7925,12,12,0,0.309712,0.37144,0.061728,0,1,1,0
3.3,1215,2,0.00104648,0.00104648,0.669993,0.683449,0.0134559,34.68,34.7338,9,9,0,0.484256,0.532848,0.048592,0,1,1,0
3.3,1215,3,0.0271069,0.0271069,0.687689,0.680991,0.00669807,34.7508,34.724,9,9,0,0.62644,0.69664,0.0702,0,0,1,0
3.4,1216,1,0.0715967,0.0715967,0.665533,0.700606,0.0350726,34.6621,34.8024,12,10,-2,0.37144,0.482435,0.110995,0,0,0,0
3.4,1216,2,0.0259378,0.0259378,0.669943,0.669993,5.05447e-05,34.6798,34.68,9,11,2,0.532848,0.338573,0.194275,0,0,1,0
3.4,1216,3,0.0814422,0.0814422,0.6766,0.687689,0.0110891,34.7064,34.7508,9,9,0,0.69664,0.58528,0.11136,0,0,1,0
3.5,1217,1,0.000537723,0.000537723,0.654819,0.665533,0.0107143,34.6193,34.6621,10,10,0,0.482435,0.522603,0.040168,0,1,1,0
3.5,1217,2,0.0041427,0.0041427,0.657777,0.669943,0.0121658,34.6311,34.6798,11,11,0,0.338573,0.403117,0.064544,0,1,1,0
3.5,1217,3,0.0698013,0.0698013,0.694242,0.6766,0.0176417,34.777,34.7064,9,9,0,0.58528,0.698128,0.112848,0,0,1,0
3.6,1218,1,0.109037,0.109037,0.733395,0.654819,0.078576,34.9336,34.6193,10,13,3,0.522603,0.399931,0.122672,0,0,0,0
3.6,1218,2,0.0158587,0.0158587,0.650148,0.657777,0.00762904,34.6006,34.6311,11,8,-3,0.403117,0.482181,0.079064,0,1,1,0
3.6,1218,3,0.0412728,0.0412728,0.678978,0.694242,0.0152638,34.7159,34.777,9,9,0,0.698128,0.669536,0.028592,0,0,1,0
3.7,1219,1,0.0196173,0.0196173,0.735177,0.733395,0.00178236,34.9407,34.9336,13,13,0,0.399931,0.255411,0.14452,0,1,1,0
3.7,1219,2,0.00834036,0.00834036,0.672624,0.650148,0.0224758,34.6905,34.6006,8,8,0,0.482181,0.586565,0.104384,0,1,0,0
3.7,1219,3,0.0186357,0.0186357,0.683868,0.678978,0.00489032,34.7355,34.7159,9,9,0,0.669536,0.615104,0.054432,0,1,1,0
3.8,1220,1,0.0120606,0.0120606,0.734512,0.735177,0.000665307,34.938,34.9407,13,13,0,0.255411,0.300267,0.044856,0,1,1,0
3.8,1220,2,0.00273433,0.00273433,0.668577,0.672624,0.00404638,34.6743,34.6905,8,8,0,0.586565,0.599037,0.012472,0,1,1,0
3.8,1220,3,0.0561777,0.0561777,0.693522,0.683868,0.00965387,34.7741,34.7355,9,9,0,0.615104,0.688064,0.07296,0,0,1,0
3.9,1221,1,0.00922841,0.00922841,0.759444,0.734512,0.0249319,35.0378,34.938,13,13,0,0.300267,0.301035,0.000768,0,1,0,0
3.9,1221,2,0.0319954,0.0319954,0.650813,0.668577,0.0177646,34.6033,34.6743,8,8,0,0.599037,0.598101,0.000936,0,0,1,0
3.9,1221,3,0.0142884,0.0142884,0.674325,0.693522,0.0191975,34.6973,34.7741,9,9,0,0.688064,0.684688,0.003376,0,1,1,1
4,1222,1,0.004897,0.004897,0.75171,0.759444,0.00773358,35.0068,35.0378,13,13,0,0.301035,0.357691,0.056656,0,1,1,0
4,1222,2,0.00291768,0.00291768,0.652395,0.650813,0.00158268,34.6096,34.6033,8,8,0,0.598101,0.612317,0.014216,0,1,1,0
4,1222,3,0.0262352,0.0262352,0.681336,0.674325,0.00701082,34.7253,34.6973,9,9,0,0.684688,0.644912,0.039776,0,0,1,0
4.1,1223,1,0.0798633,0.0798633,0.717265,0.75171,0.0344455,34.8691,35.0068,13,10,-3,0.357691,0.512171,0.15448,0,0,0,0
4.1,1223,2,0.0520129,0.0520129,0.675598,0.652395,0.023203,34.7024,34.6096,8,11,3,0.612317,0.386189,0.226128,0,0,0,0
4.1,1223,3,0.0304706,0.0304706,0.695644,0.681336,0.0143082,34.7826,34.7253,9,9,0,0.644912,0.549328,0.095584,0,0,1,0
4.2,1224,1,0.0197637,0.0197637,0.698958,0.717265,0.0183064,34.7958,34.8691,10,10,0,0.512171,0.533115,0.020944,0,1,1,0
4.2,1224,2,0.0256104,0.0256104,0.657378,0.675598,0.0182198,34.6295,34.7024,11,11,0,0.386189,0.319485,0.066704,0,0,1,0
4.2,1224,3,0.0593064,0.0593064,0.690204,0.695644,0.00543964,34.7608,34.7826,9,9,0,0.549328,0.666976,0.117648,0,0,1,0
4.3,1225,1,0.00250262,0.00250262,0.726293,0.698958,0.0273343,34.9052,34.7958,10,10,0,0.533115,0.514155,0.01896,0,1,0,0
4.3,1225,2,0.0242883,0.0242883,0.674417,0.657378,0.0170382,34.6977,34.6295,11,11,0,0.319485,0.403141,0.083656,0,0,1,0
4.3,1225,3,0.0283052,0.0283052,0.678239,0.690204,0.0119652,34.713,34.7608,9,9,0,0.666976,0.665728,0.001248,0,0,1,0
4.4,1226,1,0.127359,0.127359,0.752532,0.726293,0.0262392,35.0101,34.9052,10,13,3,0.514155,0.239299,0.274856,0,0,0,0
4.4,1226,2,0.0254994,0.0254994,0.68231,0.674417,0.00789356,34.7292,34.6977,11,8,-3,0.403141,0.556613,0.153472,0,0,1,0
4.4,1226,3,0.0240849,0.0240849,0.676252,0.678239,0.00198722,34.705,34.713,9,9,0,0.665728,0.556544,0.109184,0,0,1,0
