time_s,ueIndex,x,y,servingCellId
0,0,411.453,591.935,1
0,1,465.027,366.961,2
0,2,623.094,646.25,1
0,3,563.924,446.471,3
0,4,530.57,649.047,1
0.5,0,411.453,591.935,1
0.5,1,465.027,366.961,2
0.5,2,623.094,646.25,1
0.5,3,563.924,446.471,3
0.5,4,530.57,649.047,1
96.5,0,681.333,487.173,3
96.5,1,391.335,511.964,2
96.5,2,511.65,689.942,1
96.5,3,606.791,328.775,3
96.5,4,345.858,578.948,2
96.5,5,555.371,362.335,3
96.5,6,666.705,382.612,3
96.5,7,300.038,687.177,1
96.5,8,683.6,466.099,3
96.5,9,431.821,651.794,1
96.5,10,539.862,695.021,1
96.5,11,612.537,383.383,3
96.5,12,685.486,690.727,1
96.5,13,407.395,550.781,2
96.5,14,466.422,403.142,2
96.5,15,318.176,327.571,2
96.5,16,403.428,464.473,2
96.5,17,385.443,401.277,2
96.5,18,321.2,354.607,2
96.5,19,368.092,587.614,1
96.5,20,321.144,389.435,2
96.5,21,607.605,313.713,3
96.5,22,690.712,433.085,3
96.5,23,690.826,403.158,3
96.5,24,620.438,470.651,3
96.5,25,425.264,337.006,2
96.5,26,516.525,674.346,1
96.5,27,468.134,667.999,1
96.5,28,642.242,482.145,3
96.5,29,308.372,679.143,1
97,0,682.731,486.63,3
97,1,390.896,513.398,2
97,2,510.152,689.859,1
97,3,605.878,327.585,3
97,4,347.101,578.109,2
97,5,554.026,362.998,3
97,6,666.489,381.127,3
97,7,300.04,688.677,1
97,8,682.347,465.274,3
97,9,432.625,653.06,1
97,10,540.111,696.501,1
97,11,612.432,381.887,3
97,12,685.55,692.226,1
97,13,406.002,551.339,2
97,14,466.771,404.601,2
97,15,316.817,326.938,2
97,16,402.948,465.894,2
97,17,386.173,399.966,2
97,18,321.697,353.191,2
97,19,368.869,586.331,1
97,20,321.116,387.935,2
97,21,609.021,313.218,3
97,22,689.954,434.38,3
97,23,690.603,401.675,3
97,24,621.589,471.614,3
97,25,423.942,337.714,2
97,26,515.698,675.598,1
97,27,466.642,667.842,1
97,28,642.187,480.646,3
97,29,307.496,677.926,1
97.5,0,684.129,486.088,3
97.5,1,390.457,514.832,2
97.5,2,508.655,689.776,1
97.5,3,604.964,326.395,3
97.5,4,348.344,577.27,2
97.5,5,552.68,363.661,3
97.5,6,666.273,379.643,3
97.5,7,300.042,690.177,1
97.5,8,681.094,464.449,3
97.5,9,433.43,654.326,1
97.5,10,540.359,697.98,1
97.5,11,612.328,380.39,3
97.5,12,685.613,693.724,1
97.5,13,404.61,551.898,2
97.5,14,467.119,406.06,2
97.5,15,315.457,326.304,2
97.5,16,402.468,467.315,2
97.5,17,386.903,398.656,2
97.5,18,322.193,351.776,2
97.5,19,369.646,585.048,1
97.5,20,321.088,386.435,2
97.5,21,610.437,312.724,3
97.5,22,689.196,435.674,3
97.5,23,690.38,400.192,3
97.5,24,622.739,472.577,3
97.5,25,422.62,338.423,2
97.5,26,514.871,676.849,1
97.5,27,465.151,667.686,1
97.5,28,642.132,479.147,3
97.5,29,306.619,676.709,1
98,0,685.528,485.545,3
98,1,390.019,516.267,2
98,2,507.157,689.693,1
98,3,604.051,325.205,3
98,4,349.587,576.43,2
98,5,551.335,364.324,3
98,6,666.058,378.158,3
98,7,300.043,691.677,1
98,8,679.841,463.624,3
98,9,434.234,655.592,1
98,10,540.608,699.459,1
98,11,612.224,378.894,3
98,12,685.677,695.223,1
98,13,403.218,552.456,2
98,14,467.468,407.519,2
98,15,314.097,325.67,2
98,16,401.988,468.736,2
98,17,387.633,397.346,2
98,18,322.69,350.36,2
98,19,370.424,583.766,1
98,20,321.06,384.936,2
98,21,611.854,312.229,3
98,22,688.439,436.969,3
98,23,690.157,398.708,3
98,24,623.889,473.539,3
98,25,421.297,339.131,2
98,26,514.045,678.101,1
98,27,463.659,667.529,1
98,28,642.076,477.648,3
98,29,305.743,675.492,1
98.5,0,686.926,485.002,3
98.5,1,389.58,517.701,2
98.5,2,505.659,689.611,1
98.5,3,603.137,324.015,3
98.5,4,350.831,575.591,2
