time_s,cellId,ueCount,edgeUeCount,cellDlThp_kbps,cellUlThp_kbps,avgCqi,txPower_dBm,prbUtilDl
0.4,1,14,0,0,7291.04,0,32,0.64
0.4,2,9,0,0,12596.9,0,32,0.64
0.4,3,7,0,0,10666.6,0,32,0.64
0.9,1,14,0,8383.84,2516.72,0,35,0.64
0.9,2,9,0,7494.88,4258.16,0,35,0.64
0.9,3,7,0,6924.8,3423.52,0,34,0.64
1.4,1,14,0,8432.8,2409.44,0,35,0.64
1.4,2,9,0,7555.6,4434.08,0,35,0.64
1.4,3,7,0,6979.84,3423.68,0,34,0.64
1.9,1,14,0,8469.2,2504.64,0,35,0.64
1.9,2,9,0,7555.92,4481.76,0,35,0.64
1.9,3,7,0,6924.88,3423.52,0,34,0.64
2.4,1,14,0,8496.24,2455.28,0,35,0.64
2.4,2,9,0,7607.2,4351.76,0,35,0.64
2.4,3,7,0,6924.64,3423.52,0,34,0.64
2.9,1,14,0,8341.2,2565.28,0,35,0.64
2.9,2,9,0,7495.6,4405.28,0,35,0.64
2.9,3,7,0,6956.72,3423.68,0,34,0.64
3.4,1,14,0,8224.8,2541.84,0,35,0.64
3.4,2,9,0,7652.96,4532.96,0,35,0.64
3.4,3,7,0,6924.56,3423.52,0,34,0.64
3.9,1,14,0,8260.64,2653.2,0,35,0.64
3.9,2,9,0,7527.44,4500.4,0,35,0.64
3.9,3,7,0,6924.64,3423.52,0,34,0.64
4.4,1,14,0,8651.6,2618.4,0,35,0.64
4.4,2,9,0,7580.72,4477.2,0,35,0.64
4.4,3,7,0,6956.8,3423.68,0,34,0.64
4.9,1,14,0,8683.44,2627.68,0,35,0.64
4.9,2,9,0,7137.44,4398,0,35,0.64
4.9,3,7,0,7270.64,3423.52,0,34,0.64
5.4,1,14,0,8664.32,2539.12,0,35,0.64
5.4,2,9,0,7109.28,4360.56,0,35,0.64
5.4,3,7,0,7270.48,3423.52,0,34,0.64
5.9,1,14,0,8547.84,2594.4,0,35,0.64
5.9,2,9,0,7063.6,4541.92,0,35,0.64
5.9,3,7,0,7606.32,3423.52,0,34,0.64
6.4,1,14,0,8847.6,2450.4,0,35,0.64
6.4,2,9,0,7136.16,4515.44,0,35,0.64
6.4,3,7,0,7303.6,3423.52,0,34,0.64
6.9,1,14,0,8786.64,2450.48,0,35,0.64
6.9,2,9,0,7136.16,4576.24,0,35,0.64
6.9,3,7,0,7278.32,3423.52,0,34,0.64
7.4,1,14,0,8775.12,2472.56,0,35,0.64
7.4,2,9,0,7149.76,4430.24,0,35,0.64
7.4,3,7,0,7198.72,3423.52,0,34,0.64
7.9,1,14,0,8638.72,2561.2,0,35,0.64
7.9,2,9,0,6778.08,4361.84,0,35,0.64
7.9,3,7,0,7223.84,3231.44,0,34,0.64
8.4,1,14,0,8678,2472.64,0,35,0.64
8.4,2,9,0,6891.68,4533.28,0,35,0.64
8.4,3,7,0,7223.92,3231.52,0,34,0.64
8.9,1,14,0,8613.52,2537.6,0,35,0.64
8.9,2,9,0,7006.72,4596.4,0,35,0.64
8.9,3,7,0,7483.44,3231.52,0,34,0.64
9.4,1,14,0,8577.36,2605.52,0,35,0.64
9.4,2,9,0,6843.2,4426.56,0,35,0.64
9.4,3,7,0,7483.44,3231.68,0,34,0.64
9.9,1,14,0,8613.6,2583.44,0,35,0.64
9.9,2,9,0,6863.84,4350.72,0,35,0.64
9.9,3,7,0,7539.44,3228.56,0,34,0.64
10.4,1,14,0,8380.24,2471.12,0,35,0.64
10.4,2,9,0,6916.96,4137.28,0,35,0.64
10.4,3,7,0,7002.72,3231.52,0,34,0.64
10.9,1,14,0,8332.88,2515.52,0,35,0.64
10.9,2,9,0,7117.28,4355.68,0,35,0.64
10.9,3,7,0,6962.88,3231.68,0,34,0.64
11.4,1,14,0,8380.24,2426.88,0,35,0.64
11.4,2,9,0,7117.04,4519.52,0,35,0.64
11.4,3,7,0,6962.88,3231.52,0,34,0.64
11.9,1,14,0,8433.44,2183.04,0,35,0.64
11.9,2,9,0,7116.96,4496.24,0,35,0.64
11.9,3,7,0,6988,3231.52,0,34,0.64
12.4,1,14,0,8471.52,2339.68,0,35,0.64
12.4,2,9,0,7102.24,4262.08,0,35,0.64
12.4,3,7,0,7002.72,3231.68,0,34,0.64
12.9,1,14,0,8408.56,2226,0,35,0.64
12.9,2,9,0,7088.8,4132.32,0,35,0.64
12.9,3,7,0,6957.2,3228.56,0,34,0.64
13.4,1,14,0,8277.12,2273.12,0,35,0.64
13.4,2,9,0,7088.88,4206.64,0,35,0.64
13.4,3,7,0,6928.88,3231.52,0,34,0.64
13.9,1,14,0,8326.72,2339.68,0,35,0.64
13.9,2,9,0,7102.16,4314.48,0,35,0.64
13.9,3,7,0,6957.12,3231.68,0,34,0.64
14.4,1,14,0,8229.68,2336.8,0,35,0.64
14.4,2,9,0,7229.92,4306.8,0,35,0.64
14.4,3,7,0,7309.76,3231.52,0,34,0.64
14.9,1,14,0,8277.04,2162.32,0,35,0.64
14.9,2,9,0,7290.4,4270.64,0,35,0.64
14.9,3,7,0,7508.24,3228.56,0,34,0.64
15.4,1,14,0,8550.72,2329.36,0,35,0.64
15.4,2,9,0,7311.92,4126.08,0,35,0.64
15.4,3,7,0,7508.32,3231.68,0,34,0.64
15.9,1,14,0,8848,2315.04,0,35,0.64
15.9,2,9,0,6742.08,4096.32,0,35,0.64
15.9,3,7,0,7838.48,3231.52,0,34,0.64
16.4,1,14,0,8844.48,2268.56,0,35,0.64
16.4,2,9,0,6720.48,4255.84,0,35,0.64
16.4,3,7,0,7546.24,3228.56,0,34,0.64
16.9,1,14,0,8966,2245.6,0,35,0.64
16.9,2,9,0,6781.84,4273.44,0,35,0.64
16.9,3,7,0,7707.6,3228.72,0,34,0.64
17.4,1,14,0,8987.76,2422.88,0,35,0.64
17.4,2,9,0,6699.6,4262.8,0,35,0.64
17.4,3,7,0,7687.28,3225.6,0,34,0.64
17.9,1,14,0,9066.16,1957.52,0,35,0.64
17.9,2,9,0,6781.84,4159.28,0,35,0.64
17.9,3,7,0,7546,3228.56,0,34,0.64
18.4,1,14,0,9207.68,1979.68,0,35,0.64
18.4,2,9,0,6734.8,4039.84,0,35,0.64
18.4,3,7,0,7690.16,3224.56,0,34,0.64
18.9,1,14,0,9463.92,1973.6,0,35,0.64
18.9,2,9,0,6802.16,4163.84,0,35,0.64
18.9,3,7,0,7687.2,3228.56,0,34,0.64
