time_s,ueIndex,x,y,servingCellId
0,0,324.813,606.431,1
0,1,365.245,268.289,2
0,2,421.865,277.255,2
0,3,592.137,746.107,1
0,4,727.211,523.516,3
0,5,419.748,441.704,2
0,6,320.72,288.36,2
0,7,442.394,527.272,2
0,8,481.582,423.173,2
0,9,409.395,564.872,1
0,10,590.6,273.298,3
0,11,535.558,327.623,3
0,12,529.331,670.503,1
0,13,696.317,439.577,3
0,14,414.952,772.019,1
0,15,392.544,365.962,2
0,16,555.683,456.151,3
0,17,492.345,514.552,1
0,18,654.524,363.624,3
0,19,644.199,738.714,1
0,20,540.426,659.852,1
0,21,664.638,635.297,1
0,22,732.569,663.029,1
0,23,476.025,342.228,2
0,24,534.227,403.622,3
0,25,430.734,669.825,1
0,26,607.651,726.484,1
0,27,588.278,694.661,1
0,28,271.543,488.383,2
0,29,667.957,630.297,1
0.5,0,323.837,605.291,1
0.5,1,364.563,266.952,2
0.5,2,420.654,278.14,2
0.5,3,591.848,747.579,1
0.5,4,725.904,524.253,3
0.5,5,421.232,441.486,2
0.5,6,322.213,288.215,2
0.5,7,443.575,528.197,2
0.5,8,481.297,421.701,2
0.5,9,410.475,565.914,1
0.5,10,591.963,273.925,3
0.5,11,534.365,326.714,3
0.5,12,528.016,671.224,1
0.5,13,694.851,439.258,3
0.5,14,413.46,771.865,1
0.5,15,392.961,364.522,2
0.5,16,556.682,455.031,3
0.5,17,493.788,514.962,1
0.5,18,655.731,362.733,3
0.5,19,642.764,738.278,1
0.5,20,540.759,661.315,1
0.5,21,663.955,633.962,1
0.5,22,733.124,664.423,1
0.5,23,476.607,340.845,2
0.5,24,534.196,402.123,3
0.5,25,430.132,668.451,1
0.5,26,606.489,725.536,1
0.5,27,588.037,693.181,1
0.5,28,270.186,489.021,2
0.5,29,667.46,631.712,1
1,0,322.862,604.152,1
1,1,363.882,265.616,2
1,2,419.443,279.025,2
1,3,591.559,749.05,1
1,4,724.598,524.99,3
1,5,422.716,441.268,2
1,6,323.706,288.071,2
1,7,444.756,529.122,2
1,8,481.012,420.228,2
1,9,411.554,566.956,1
1,10,593.326,274.552,3
1,11,533.172,325.805,3
1,12,526.701,671.946,1
1,13,693.386,438.939,3
1,14,411.968,771.71,1
1,15,393.379,363.081,2
1,16,557.68,453.912,3
1,17,495.231,515.371,1
1,18,656.938,361.842,3
1,19,641.329,737.842,1
1,20,541.093,662.777,1
1,21,663.272,632.626,1
1,22,733.679,665.817,1
1,23,477.188,339.462,2
1,24,534.165,400.623,3
1,25,429.53,667.077,1
1,26,605.327,724.587,1
1,27,587.797,691.7,1
1,28,268.828,489.66,2
1,29,666.963,633.127,1
1.5,0,321.886,603.013,1
1.5,1,363.201,264.279,2
1.5,2,418.232,279.91,2
1.5,3,591.27,750.522,1
1.5,4,723.291,525.726,3
1.5,5,424.2,441.05,2
1.5,6,325.199,287.926,2
1.5,7,445.937,530.047,2
1.5,8,480.727,418.755,2
1.5,9,412.633,567.998,1
1.5,10,594.689,275.179,3
1.5,11,531.979,324.895,3
1.5,12,525.385,672.667,1
1.5,13,691.92,438.62,3
1.5,14,410.476,771.555,1
1.5,15,393.797,361.64,2
1.5,16,558.679,452.793,3
1.5,17,496.674,515.78,1
1.5,18,658.145,360.951,3
1.5,19,639.894,737.405,1
1.5,20,541.426,664.24,1
1.5,21,662.589,631.291,1
1.5,22,734.233,667.21,1
1.5,23,477.77,338.08,2
1.5,24,534.134,399.123,3
1.5,25,428.928,665.703,1
1.5,26,604.165,723.639,1
1.5,27,587.556,690.22,1
1.5,28,267.471,490.298,2
1.5,29,666.466,634.543,1
2,0,320.91,601.874,1
2,1,362.52,262.943,2
2,2,417.021,280.795,2
2,3,590.981,751.994,1
2,4,721.984,526.463,3
2,5,425.684,440.833,2
2,6,326.692,287.782,2
2,7,447.118,530.971,2
2,8,480.443,417.283,2
2,9,413.712,569.039,1
2,10,596.051,275.806,3
2,11,530.786,323.986,3
2,12,524.07,673.388,1
2,13,690.454,438.301,3
2,14,408.984,771.401,1
2,15,394.215,360.2,2
2,16,559.677,451.673,3
2,17,498.117,516.19,1
2,18,659.351,360.06,3
2,19,638.458,736.969,1
2,20,541.76,665.702,1
2,21,661.906,629.955,1
2,22,734.788,668.604,1
2,23,478.351,336.697,2
2,24,534.103,397.624,3
2,25,428.326,664.329,1
2,26,603.002,722.691,1
2,27,587.316,688.739,1
2,28,266.114,490.937,2
2,29,665.97,635.958,1
2.5,0,319.934,600.735,1
2.5,1,361.839,261.606,2
2.5,2,415.81,281.68,2
2.5,3,590.692,753.466,1
2.5,4,720.678,527.2,3
2.5,5,427.169,440.615,2
2.5,6,328.185,287.637,2
2.5,7,448.299,531.896,2
2.5,8,480.158,415.81,2
2.5,9,414.792,570.081,1
2.5,10,597.414,276.433,3
2.5,11,529.593,323.077,3
2.5,12,522.755,674.109,1
2.5,13,688.989,437.982,3
2.5,14,407.492,771.246,1
2.5,15,394.632,358.759,2
