time_s,cellId,ueCount,edgeUeCount,cellDlThp_kbps,cellUlThp_kbps,avgCqi,txPower_dBm,prbUtilDl
0.4,1,14,0,0,7291.04,0,32,0.64
0.4,2,9,0,0,12596.9,0,32,0.64
0.4,3,7,0,0,10666.6,0,32,0.64
0.9,1,15,6,8491.28,5526.64,6.57143,35,0.64
0.9,2,8,4,7208.4,4980.4,5.11111,34,0.64
0.9,3,7,3,7203.6,3903.52,5.57143,34,0.64
1.4,1,15,7,8418.88,5380.08,6.33333,35,0.64
1.4,2,8,2,7295.44,5176.8,5.5,34,0.64
1.4,3,7,3,7148.88,3903.68,5.57143,34,0.64
1.9,1,15,5,8739.84,5282.8,6.33333,35,0.64
1.9,2,8,2,7263.36,5249.2,5.5,34,0.64
1.9,3,7,3,7188.88,4159.52,5.57143,34,0.64
2.4,1,15,5,9100.96,5460.16,6.33333,35,0.64
2.4,2,8,2,7263.28,5065.52,5.5,34,0.64
2.4,3,7,3,6924.8,4159.52,5.71429,34,0.64
2.9,1,15,5,8960.16,5409.28,6.33333,35,0.64
2.9,2,8,2,7263.36,5153.36,5.5,34,0.64
2.9,3,7,3,7706.72,4159.68,5.71429,34,0.64
3.4,1,15,5,8968.08,5429.92,6.26667,35,0.64
3.4,2,8,2,7176.08,5293.2,5.5,34,0.64
3.4,3,7,3,7609.44,4159.52,5.71429,34,0.64
3.9,1,15,4,8913.04,5635.28,6.26667,35,0.64
3.9,2,8,2,7263.12,5293.28,5.625,34,0.64
3.9,3,7,2,7609.6,4159.52,5.71429,34,0.64
4.4,1,15,5,8876.8,5563.28,6.33333,35,0.64
4.4,2,8,2,7248.4,5485.04,5.625,34,0.64
4.4,3,7,3,7681.36,4159.68,5.71429,34,0.64
4.9,1,15,5,8239.28,2973.12,6.42857,35,0.64
4.9,2,8,3,7263.04,5276.16,5,34,0.64
4.9,3,7,3,7779.12,4037.12,5.71429,34,0.64
5.4,1,14,6,8820.08,3778.96,5.66667,34,0.64
5.4,2,9,2,6861.92,3336.48,5.625,34,0.64
5.4,3,7,2,7970.8,3603.04,5.85714,34,0.64
5.9,1,14,6,8418.48,3204.72,6.42857,35,0.64
5.9,2,9,3,6811.92,4122.96,5.22222,34,0.64
5.9,3,7,2,7834.4,3644.8,5.71429,34,0.64
6.4,1,14,5,8500.48,3509.04,6.14286,34,0.64
6.4,2,9,3,6879.68,3355.84,5.44444,34,0.64
6.4,3,7,2,7956.08,3819.84,6,34,0.64
6.9,1,14,5,7984.32,3470.24,6.14286,34,0.64
6.9,2,9,4,6905.6,3989.92,5.55556,34,0.64
6.9,3,7,2,7995.6,3591.44,6,34,0.64
7.4,1,14,5,7967.44,3481.44,6.14286,34,0.64
7.4,2,9,4,6905.6,4096.24,5.55556,34,0.64
7.4,3,7,2,7967.92,3546.4,6.14286,34,0.64
7.9,1,14,5,9176.08,3333.44,6.35714,35,0.64
7.9,2,9,4,6932.32,4102.72,5.22222,34,0.64
7.9,3,7,2,7847.6,3722.24,5.71429,34,0.64
8.4,1,14,6,8326.4,3493.52,6.14286,34,0.64
8.4,2,9,4,6932.32,4319.28,5.55556,34,0.64
8.4,3,7,2,8030.56,3343.28,6.14286,34,0.64
8.9,1,14,5,8247.52,3542.72,6.14286,34,0.64
8.9,2,9,4,6892.32,4420.48,5.55556,34,0.64
8.9,3,7,2,8085.92,3355.52,6.14286,34,0.64
9.4,1,14,6,8196.56,3517.92,6.07143,34,0.64
9.4,2,9,4,6892.32,4206.96,5.44444,34,0.64
9.4,3,7,2,8362.24,3367.92,6.14286,34,0.64
9.9,1,14,4,8337.36,3524.8,6.07143,34,0.64
9.9,2,9,4,6845.2,4264.32,5.44444,34,0.64
9.9,3,7,2,8596.96,3355.52,6,34,0.64
10.4,1,14,5,8435.68,3533.6,6.07143,34,0.64
10.4,2,9,4,6998.16,4293.2,5.44444,34,0.64
10.4,3,7,2,8564.8,3343.28,6,34,0.64
10.9,1,14,5,8351.84,3550.96,6,34,0.64
10.9,2,9,4,7113.12,4466.24,5.44444,34,0.64
10.9,3,7,2,8652,3367.92,6,34,0.64
11.4,1,14,5,8508.08,3520.88,6,34,0.64
11.4,2,9,4,7125.2,4486.72,5.44444,34,0.64
11.4,3,7,2,8652,3355.52,6.14286,34,0.64
11.9,1,14,5,8351.92,3518.24,6,34,0.64
11.9,2,9,4,6932.4,4440.48,5.55556,34,0.64
11.9,3,7,2,8528.56,3357.68,6.14286,34,0.64
12.4,1,14,4,8452.96,3545.52,6,34,0.64
12.4,2,9,4,6845.44,4555.92,5.55556,34,0.64
12.4,3,7,2,8802.16,3435.68,6.14286,34,0.64
12.9,1,13,4,8963.92,2510.96,6.23077,34,0.64
12.9,2,9,4,6845.28,4387.2,5.55556,34,0.64
12.9,3,8,3,7835.68,3173.44,5.625,34,0.64
13.4,1,13,4,8872.64,2555.12,6.15385,34,0.64
13.4,2,9,4,6610.08,4387.36,5.55556,34,0.64
13.4,3,8,3,7835.68,3167.44,4.85714,34,0.64
13.9,1,13,3,8978.56,2611.44,6.15385,34,0.64
13.9,2,9,4,6609.92,4563.28,5.55556,34,0.64
13.9,3,8,3,7820.88,3165.92,4.85714,34,0.64
14.4,1,14,4,8435.6,4016.96,6.35714,34,0.64
14.4,2,9,4,7360.16,3587.36,5.77778,34,0.64
14.4,3,7,2,8109.04,3370.72,5,33,0.64
14.9,1,13,3,8465.84,3778.08,6.23077,34,0.64
14.9,2,9,4,6855.92,3958.24,5.44444,34,0.64
14.9,3,8,2,7480.8,3484.64,5.16667,34,0.64
15.4,1,14,4,9077.52,4636.56,6,34,0.64
15.4,2,9,4,6838.88,5991.84,5.44444,34,0.64
15.4,3,7,3,8302.72,3512.88,5.16667,34,0.64
15.9,1,14,4,8416.88,3404.08,6.07143,34,0.64
15.9,2,9,4,6820.72,6200.56,5.44444,34,0.64
15.9,3,7,2,8735.04,3541.84,6.14286,34,0.64
16.4,1,14,4,8345.52,3182.8,6.07143,34,0.64
16.4,2,9,4,6835.36,6132.24,5.44444,34,0.64
16.4,3,7,2,8617.28,3538.88,5.33333,34,0.64
16.9,1,14,4,8345.52,3091.04,6.14286,34,0.64
16.9,2,9,4,6835.2,6125.52,5.44444,34,0.64
16.9,3,7,2,8521.52,3541.84,5.33333,34,0.64
17.4,1,14,4,8536.08,3024.56,6.14286,34,0.64
17.4,2,9,4,6820.48,6106.48,5.44444,34,0.64
17.4,3,7,2,8649.6,3541.84,5.33333,34,0.64
17.9,1,14,4,8517.28,2869.6,6.14286,34,0.64
17.9,2,9,4,6835.04,5837.04,5.44444,34,0.64
17.9,3,7,2,8649.52,3511.2,5.33333,34,0.64
18.4,1,14,4,8353.12,2758.64,6.28571,34,0.64
18.4,2,9,4,6834.8,5943.52,5.44444,34,0.64
18.4,3,7,2,8649.6,3552.72,6.28571,34,0.64
18.9,1,14,4,8452.48,4968.32,6.28571,34,0.64
18.9,2,10,4,6478.88,6357.92,5.44444,34,0.64
18.9,3,6,3,10105.9,3675.84,4.83333,34,0.64
