time_s,cellId,cioRaw,txpRaw,selfCio_display_dB,txpApplied_dBm,cellThp_kbps,alpha
0.4,1,-0.00334734,0.97091,-0,35.8836,7291.04,0.10881
0.4,2,-0.135116,0.897597,0.5,35.5904,12596.9,0.108289
0.4,3,-0.455973,0.799052,2.5,35.1962,10666.6,0.107297
0.9,1,0.0282076,0.786595,-0,35.1464,14017.9,0.10881
0.9,2,0.00898568,0.681251,-0,34.725,12188.8,0.108289
0.9,3,-0.0766695,0.568505,0.5,34.274,11107.1,0.107297
1.4,1,0.0167701,0.800174,-0,35.2007,13799,0.10881
1.4,2,0.0258923,0.690698,-0,34.7628,12472.2,0.108289
1.4,3,-0.0773901,0.570431,0.5,34.2817,11052.6,0.107297
1.9,1,0.0701934,0.769997,-0.5,35.08,14022.6,0.10881
1.9,2,0.0262186,0.691327,-0,34.7653,12512.6,0.108289
1.9,3,-0.0768634,0.569024,0.5,34.2761,11348.4,0.107297
2.4,1,0.079695,0.763233,-0.5,35.0529,14561.1,0.10881
2.4,2,0.0262194,0.691329,-0,34.7653,12328.8,0.108289
2.4,3,-0.0773472,0.581207,0.5,34.3248,11084.3,0.107297
2.9,1,0.0759349,0.765688,-0.5,35.0628,14369.4,0.10881
2.9,2,0.0262186,0.691327,-0,34.7653,12416.7,0.108289
2.9,3,-0.067159,0.552916,0.5,34.2117,11866.4,0.107297
3.4,1,0.0774214,0.763654,-0.5,35.0546,14398,0.10881
3.4,2,0.0275794,0.692661,-0,34.7706,12469.3,0.108289
3.4,3,-0.0692779,0.555898,0.5,34.2236,11769,0.107297
3.9,1,0.0933514,0.769656,-0.5,35.0786,14548.3,0.10881
3.9,2,0.0198994,0.692347,-0,34.7694,12556.4,0.108289
3.9,3,-0.0657525,0.552965,0.5,34.2119,11769.1,0.107297
4.4,1,0.0737632,0.767326,-0.5,35.0693,14440.1,0.10881
4.4,2,0.020043,0.692614,-0,34.7705,12733.4,0.108289
4.4,3,-0.0679156,0.55355,0.5,34.2142,11841,0.107297
4.9,1,0.045503,0.781927,-0,35.1277,11212.4,0.10881
4.9,2,0.0407602,0.682929,-0,34.7317,12539.2,0.108289
4.9,3,-0.0649871,0.551091,0.5,34.2044,11816.2,0.107297
5.4,1,0.0322092,0.729337,-0,34.9173,12599,0.10881
5.4,2,-0.0476696,0.691966,-0,34.7679,10198.4,0.108289
5.4,3,-0.0674828,0.549851,0.5,34.1994,11573.8,0.107297
5.9,1,-0.0227161,0.768071,-0,35.0723,11623.2,0.10881
5.9,2,-0.0334423,0.667946,-0,34.6718,10934.9,0.108289
5.9,3,-0.0672176,0.548894,0.5,34.1956,11479.2,0.107297
6.4,1,0.0132629,0.735605,-0,34.9424,12009.5,0.10881
6.4,2,-0.0359238,0.669008,-0,34.676,10235.5,0.108289
6.4,3,-0.0669399,0.553613,0.5,34.2145,11775.9,0.107297
6.9,1,-0.00650358,0.749079,-0,34.9963,11454.6,0.10881
6.9,2,-0.043076,0.664558,-0,34.6582,10895.5,0.108289
6.9,3,-0.0673615,0.55302,0.5,34.2121,11587,0.107297
7.4,1,-0.00694691,0.749846,-0,34.9994,11448.9,0.10881
7.4,2,-0.043076,0.664558,-0,34.6582,11001.8,0.108289
7.4,3,-0.0670735,0.55729,0.5,34.2292,11514.3,0.107297
7.9,1,0.0323474,0.727796,-0,34.9112,12509.5,0.10881
7.9,2,-0.0343211,0.647976,-0,34.5919,11035,0.108289
7.9,3,-0.0672909,0.548658,0.5,34.1946,11569.8,0.107297
8.4,1,-0.013529,0.758573,-0,35.0343,11819.9,0.10881
8.4,2,-0.043692,0.664005,-0,34.656,11251.6,0.108289
8.4,3,-0.0676702,0.556306,0.5,34.2252,11373.8,0.107297
8.9,1,0.00237961,0.73963,-0,34.9585,11790.2,0.10881
8.9,2,-0.0427698,0.664833,-0,34.6593,11312.8,0.108289
8.9,3,-0.068287,0.555316,0.5,34.2213,11441.4,0.107297
9.4,1,-0.0157212,0.761874,-0,35.0475,11714.5,0.10881
9.4,2,-0.0388964,0.658943,-0,34.6358,11099.3,0.108289
9.4,3,-0.0695151,0.549259,0.5,34.197,11730.2,0.107297
9.9,1,0.0466749,0.727803,-0,34.9112,11862.2,0.10881
9.9,2,-0.0378096,0.65993,-0,34.6397,11109.5,0.108289
9.9,3,-0.0703437,0.540669,0.5,34.1627,11952.5,0.107297
10.4,1,0.0143,0.734203,-0,34.9368,11969.3,0.10881
10.4,2,-0.0416436,0.65749,-0,34.63,11291.4,0.108289
10.4,3,-0.070222,0.541358,0.5,34.1654,11908.1,0.107297
10.9,1,0.0146475,0.732967,-0,34.9319,11902.8,0.10881
10.9,2,-0.0449186,0.656643,-0,34.6266,11579.4,0.108289
10.9,3,-0.070618,0.539187,0.5,34.1567,12019.9,0.107297
11.4,1,0.0212276,0.731539,-0,34.9262,12029,0.10881
11.4,2,-0.0452626,0.656554,-0,34.6262,11611.9,0.108289
11.4,3,-0.0707423,0.542352,0.5,34.1694,12007.5,0.107297
11.9,1,0.0146504,0.732967,-0,34.9319,11870.2,0.10881
11.9,2,-0.0436939,0.664003,-0,34.656,11372.9,0.108289
11.9,3,-0.0701632,0.545478,0.5,34.1819,11886.2,0.107297
12.4,1,0.0522011,0.725229,-0.5,34.9009,11998.5,0.10881
12.4,2,-0.0416888,0.665801,-0,34.6632,11401.4,0.108289
12.4,3,-0.070937,0.539144,0.5,34.1566,12237.8,0.107297
12.9,1,-0.00214903,0.684401,-0,34.7376,11474.9,0.10881
12.9,2,-0.0416851,0.665804,-0,34.6632,11232.5,0.108289
12.9,3,-0.0952587,0.529404,0.5,34.1176,11009.1,0.107297
13.4,1,0.000289753,0.683112,-0,34.7324,11427.8,0.10881
