time_s,step,reward_cell1,reward_cell2,reward_cell3,prb_std,ue_std
0.5,1001,0.546957,0.600064,0.722091,0,0.0981307
0.6,1002,0.595181,0.570224,0.695843,0,0.0981307
0.7,1003,0.611349,0.564544,0.675595,0,0.0981307
0.8,1004,0.512296,0.646981,0.676051,0,0.118634
0.9,1005,0.549128,0.654173,0.687027,0,0.118634
1,1006,0.54456,0.659685,0.686275,0,0.118634
1.1,1007,0.549152,0.656853,0.681515,0,0.118634
1.2,1008,0.538248,0.659661,0.683651,0,0.118634
1.3,1009,0.544576,0.655685,0.684883,0,0.118634
1.4,1010,0.541888,0.662877,0.681555,0,0.118634
1.5,1011,0.541872,0.653653,0.680443,0,0.118634
1.6,1012,0.549152,0.659661,0.688771,0,0.118634
1.7,1013,0.5394,0.654165,0.687027,0,0.118634
1.8,1014,0.570688,0.659661,0.681523,0,0.118634
1.9,1015,0.573984,0.659669,0.685555,0,0.118634
2,1016,0.586328,0.656861,0.681483,0,0.118634
2.1,1017,0.59076,0.655677,0.657403,0,0.118634
2.2,1018,0.603688,0.661405,0.665203,0,0.118634
2.3,1019,0.595896,0.659669,0.659147,0,0.118634
2.4,1020,0.610096,0.659661,0.659147,0,0.118634
2.5,1021,0.615616,0.656853,0.659155,0,0.118634
2.6,1022,0.610088,0.650957,0.676307,0,0.118634
2.7,1023,0.60864,0.662885,0.712411,0,0.118634
2.8,1024,0.615608,0.653629,0.730107,0,0.118634
2.9,1025,0.596016,0.659669,0.737339,0,0.118634
3,1026,0.593992,0.658893,0.738051,0,0.118634
3.1,1027,0.596792,0.659685,0.730099,0,0.118634
3.2,1028,0.586192,0.659661,0.737355,0,0.118634
3.3,1029,0.587664,0.656853,0.737347,0,0.118634
3.4,1030,0.596808,0.650941,0.727611,0,0.118634
3.5,1031,0.589808,0.662869,0.734835,0,0.118634
3.6,1032,0.591304,0.653621,0.731843,0,0.118634
3.7,1033,0.5968,0.659637,0.738811,0,0.118634
3.8,1034,0.59128,0.658877,0.737347,0,0.118634
3.9,1035,0.591304,0.659645,0.727627,0,0.118634
4,1036,0.59532,0.659645,0.734835,0,0.118634
4.1,1037,0.593984,0.656845,0.731851,0,0.118634
4.2,1038,0.593976,0.650925,0.738819,0,0.118634
4.3,1039,0.595328,0.662861,0.726155,0,0.118634
4.4,1040,0.58768,0.658173,0.734803,0,0.118634
4.5,1041,0.587664,0.659637,0.724747,0,0.118634
4.6,1042,0.645701,0.566056,0.730099,0,0.0981307
4.7,1043,0.614653,0.58536,0.742363,0,0.0981307
4.8,1044,0.481712,0.615429,0.769163,0,0.118634
4.9,1045,0.523928,0.659637,0.744579,0,0.118634
5,1046,0.590784,0.658901,0.727675,0,0.118634
5.1,1047,0.598552,0.659637,0.733395,0,0.118634
5.2,1048,0.575344,0.653621,0.738867,0,0.118634
5.3,1049,0.635069,0.57448,0.731891,0,0.0981307
5.4,1050,0.615341,0.586192,0.763747,0,0.0981307
5.5,1051,0.537477,0.590552,0.777787,0,0.0981307
5.6,1052,0.539989,0.593824,0.775283,0,0.0981307
5.7,1053,0.546725,0.588528,0.777027,0,0.0981307
5.8,1054,0.529989,0.595288,0.787627,0,0.0981307
5.9,1055,0.575181,0.581192,0.750107,0,0.0981307
6,1056,0.647101,0.585376,0.726851,0,0.0981307
6.1,1057,0.606661,0.588272,0.758131,0,0.0981307
6.2,1058,0.525077,0.588512,0.774507,0,0.0981307
6.3,1059,0.585813,0.588736,0.741099,0,0.0981307
6.4,1060,0.583381,0.587968,0.762275,0,0.0981307
6.5,1061,0.525077,0.59056,0.775283,0,0.0981307
6.6,1062,0.593837,0.586704,0.753931,0,0.0981307
6.7,1063,0.639853,0.578112,0.733395,0,0.0981307
6.8,1064,0.577685,0.593472,0.757443,0,0.0981307
6.9,1065,0.531765,0.59056,0.766227,0,0.0981307
7,1066,0.525509,0.589088,0.777027,0,0.0981307
7.1,1067,0.614669,0.595304,0.759467,0,0.0981307
7.2,1068,0.625141,0.590552,0.758659,0,0.0981307
7.3,1069,0.612213,0.591768,0.757011,0,0.0981307
7.4,1070,0.530077,0.59056,0.763459,0,0.0981307
7.5,1071,0.537149,0.590576,0.782531,0,0.0981307
7.6,1072,0.531117,0.593808,0.769779,0,0.0981307
7.7,1073,0.548197,0.590536,0.783995,0,0.0981307
7.8,1074,0.581301,0.58452,0.767763,0,0.0981307
7.9,1075,0.650941,0.593232,0.751427,0,0.0981307
8,1076,0.592749,0.593048,0.763619,0,0.0981307
8.1,1077,0.541405,0.58924,0.775267,0,0.0981307
8.2,1078,0.564901,0.59056,0.777003,0,0.0981307
8.3,1079,0.553629,0.589064,0.779691,0,0.0981307
8.4,1080,0.565973,0.593232,0.769723,0,0.0981307
8.5,1081,0.614349,0.574912,0.765435,0,0.0981307
8.6,1082,0.642365,0.564496,0.752139,0,0.0981307
8.7,1083,0.591253,0.589528,0.762123,0,0.0981307
8.8,1084,0.559021,0.590536,0.778475,0,0.0981307
8.9,1085,0.558085,0.589232,0.775259,0,0.0981307
9,1086,0.542749,0.59304,0.775259,0,0.0981307
9.1,1087,0.554445,0.586536,0.779035,0,0.0981307
9.2,1088,0.562645,0.593232,0.802891,0,0.0981307
9.3,1089,0.549725,0.595088,0.792427,0,0.0981307
9.4,1090,0.552989,0.589232,0.802891,0,0.0981307
9.5,1091,0.613573,0.559848,0.757091,0,0.0981307
9.6,1092,0.639885,0.556,0.711819,0,0.0981307
9.7,1093,0.622525,0.585552,0.795835,0,0.0981307
9.8,1094,0.576901,0.590536,0.829027,0,0.0981307
9.9,1095,0.567069,0.58452,0.826363,0,0.0981307
10,1096,0.573261,0.5938,0.830395,0,0.0981307
10.1,1097,0.584125,0.590544,0.822739,0,0.0981307
10.2,1098,0.564557,0.593232,0.830395,0,0.0981307
10.3,1099,0.575789,0.590544,0.829051,0,0.0981307
10.4,1100,0.576901,0.599816,0.823147,0,0.0981307
10.5,1101,0.571805,0.614,0.833611,0,0.0981307
10.6,1102,0.568541,0.607808,0.819523,0,0.0981307
10.7,1103,0.573261,0.613984,0.831875,0,0.0981307
10.8,1104,0.575405,0.612528,0.827579,0,0.0981307
10.9,1105,0.568517,0.611312,0.831867,0,0.0981307
11,1106,0.575005,0.607976,0.824891,0,0.0981307
11.1,1107,0.576893,0.609824,0.831867,0,0.0981307
11.2,1108,0.571789,0.614,0.830387,0,0.0981307
11.3,1109,0.568533,0.605296,0.822739,0,0.0981307
11.4,1110,0.584141,0.61252,0.831867,0,0.0981307
11.5,1111,0.573261,0.609256,0.827579,0,0.0981307
11.6,1112,0.567045,0.614,0.826371,0,0.0981307
11.7,1113,0.573261,0.612544,0.830395,0,0.0981307
11.8,1114,0.575421,0.598056,0.831867,0,0.0981307
11.9,1115,0.568525,0.59324,0.819523,0,0.0981307
12,1116,0.580517,0.590576,0.833611,0,0.0981307
12.1,1117,0.576893,0.589088,0.825835,0,0.0981307
12.2,1118,0.567053,0.595288,0.901443,0,0.0981307
12.3,1119,0.573269,0.590544,0.859363,0,0.0981307
12.4,1120,0.578629,0.584544,0.846883,0,0.0981307
12.5,1121,0.613275,0.597808,0.688949,0,0.0720082
12.6,1122,0.664523,0.586576,0.710861,0,0.0720082
12.7,1123,0.663059,0.593256,0.721453,0,0.0720082
12.8,1124,0.663755,0.595112,0.698493,0,0.0720082
12.9,1125,0.663059,0.584528,0.716901,0,0.0720082
13,1126,0.655803,0.565712,0.710861,0,0.0720082
13.1,1127,0.664523,0.561008,0.718629,0,0.0720082
13.2,1128,0.657555,0.559504,0.698493,0,0.0720082
13.3,1129,0.664523,0.56304,0.716901,0,0.0720082
13.4,1130,0.653931,0.561008,0.716901,0,0.0720082
13.5,1131,0.664523,0.55952,0.708045,0,0.0720082
13.6,1132,0.655811,0.560976,0.704533,0,0.0720082
13.7,1133,0.666251,0.560992,0.715421,0,0.0720082
