time_s,step,cellId,cio_l2_change,max_cio_change,txp_raw_curr,txp_raw_prev,txp_raw_change,txp_dBm_curr,txp_dBm_prev,ue_count_prev,ue_count_curr,ue_count_change,reward_prev,reward_curr,reward_change,consecutive_stagnant_steps,cio_stagnant,txp_stagnant,is_stagnant
0.5,1001,1,-1,-1,0.761333,0.761333,-1,35.0453,35.0453,14,14,0,0.546957,0.546957,0,0,0,0,0
0.5,1001,2,-1,-1,0.663314,0.663314,-1,34.6533,34.6533,9,9,0,0.600064,0.600064,0,0,0,0,0
0.5,1001,3,-1,-1,0.63046,0.63046,-1,34.5218,34.5218,7,7,0,0.722091,0.722091,0,0,0,0,0
0.6,1002,1,0.00272245,0.00272245,0.761108,0.761333,0.000225008,35.0444,35.0453,14,14,0,0.546957,0.595181,0.048224,0,1,1,0
0.6,1002,2,0.000465974,0.000465974,0.664291,0.663314,0.000977039,34.6572,34.6533,9,9,0,0.600064,0.570224,0.02984,0,1,1,0
0.6,1002,3,0.00365395,0.00365395,0.62593,0.63046,0.00453007,34.5037,34.5218,7,7,0,0.722091,0.695843,0.026248,0,1,1,0
0.7,1003,1,0.0091195,0.0091195,0.75557,0.761108,0.00553781,35.0223,35.0444,14,14,0,0.595181,0.611349,0.016168,0,1,1,0
0.7,1003,2,0.00384998,0.00384998,0.687291,0.664291,0.0230001,34.7492,34.6572,9,9,0,0.570224,0.564544,0.00568,0,1,0,0
0.7,1003,3,0.0233281,0.0233281,0.572752,0.62593,0.0531775,34.291,34.5037,7,7,0,0.695843,0.675595,0.020248,0,0,0,0
0.8,1004,1,0.012535,0.012535,0.794428,0.75557,0.0388577,35.1777,35.0223,14,15,1,0.611349,0.512296,0.0990533,0,1,0,0
0.8,1004,2,0.0534391,0.0534391,0.683303,0.687291,0.00398809,34.7332,34.7492,9,8,-1,0.564544,0.646981,0.0824373,0,0,1,0
0.8,1004,3,1.46627e-05,1.46627e-05,0.572572,0.572752,0.000179708,34.2903,34.291,7,7,0,0.675595,0.676051,0.000456,0,1,1,1
0.9,1005,1,0.0240357,0.0240357,0.786595,0.794428,0.00783306,35.1464,35.1777,15,15,0,0.512296,0.549128,0.036832,0,0,1,0
0.9,1005,2,0.00118048,0.00118048,0.681251,0.683303,0.00205207,34.725,34.7332,8,8,0,0.646981,0.654173,0.007192,0,1,1,1
0.9,1005,3,0.00066293,0.00066293,0.568505,0.572572,0.004067,34.274,34.2903,7,7,0,0.676051,0.687027,0.010976,0,1,1,0
1,1006,1,0.0103284,0.0103284,0.799764,0.786595,0.0131698,35.1991,35.1464,15,15,0,0.549128,0.54456,0.004568,0,1,1,1
1,1006,2,0.00651509,0.00651509,0.694593,0.681251,0.0133417,34.7784,34.725,8,8,0,0.654173,0.659685,0.005512,0,1,1,1
1,1006,3,9.90555e-05,9.90555e-05,0.56877,0.568505,0.000265002,34.2751,34.274,7,7,0,0.687027,0.686275,0.000752,0,1,1,1
1.1,1007,1,0.00190596,0.00190596,0.799059,0.799764,0.000705123,35.1962,35.1991,15,15,0,0.54456,0.549152,0.004592,1,1,1,1
1.1,1007,2,0.000276546,0.000276546,0.695104,0.694593,0.000511587,34.7804,34.7784,8,8,0,0.659685,0.656853,0.002832,1,1,1,1
1.1,1007,3,0.000626884,0.000626884,0.570445,0.56877,0.00167441,34.2818,34.2751,7,7,0,0.686275,0.681515,0.00476,1,1,1,1
1.2,1008,1,0.00452602,0.00452602,0.80073,0.799059,0.00167072,35.2029,35.1962,15,15,0,0.549152,0.538248,0.010904,2,1,1,0
1.2,1008,2,0.00412051,0.00412051,0.692344,0.695104,0.00276041,34.7694,34.7804,8,8,0,0.656853,0.659661,0.002808,2,1,1,1
1.2,1008,3,0.000281297,0.000281297,0.569694,0.570445,0.00075084,34.2788,34.2818,7,7,0,0.681515,0.683651,0.002136,2,1,1,1
1.3,1009,1,0.00262677,0.00262677,0.799762,0.80073,0.000968099,35.199,35.2029,15,15,0,0.538248,0.544576,0.006328,0,1,1,1
1.3,1009,2,0.000388138,0.000388138,0.693066,0.692344,0.000722349,34.7723,34.7694,8,8,0,0.659661,0.655685,0.003976,0,1,1,1
1.3,1009,3,0.000162244,0.000162244,0.569261,0.569694,0.000433445,34.277,34.2788,7,7,0,0.683651,0.684883,0.001232,0,1,1,1
1.4,1010,1,0.00111582,0.00111582,0.800174,0.799762,0.000411749,35.2007,35.199,15,15,0,0.544576,0.541888,0.002688,1,1,1,1
1.4,1010,2,0.0056063,0.0056063,0.690698,0.693066,0.00236839,34.7628,34.7723,8,8,0,0.655685,0.662877,0.007192,1,1,1,1
1.4,1010,3,0.000438251,0.000438251,0.570431,0.569261,0.00117022,34.2817,34.277,7,7,0,0.684883,0.681555,0.003328,1,1,1,1
1.5,1011,1,0.0402596,0.0402596,0.776506,0.800174,0.0236678,35.106,35.2007,15,15,0,0.541888,0.541872,1.6e-05,2,0,0,0
