time_s,cellId,ueCount,edgeUeCount,cellDlThp_kbps,cellUlThp_kbps,avgCqi,txPower_dBm,prbUtilDl
3,1,11,9,6101.15,3060.86,5.09091,32,0.64
3,2,10,8,6238.46,7046.27,4.8,32,0.64
3,3,9,4,8200.7,2615.5,6.33333,32,0.64
5.5,1,11,9,6170.4,2855.7,5,32,0.64
5.5,2,10,8,5999.54,6921.33,4.8,32,0.64
5.5,3,9,4,7715.6,2735.5,5.88889,32,0.64
8,1,11,9,6027.41,3282.72,4.81818,32,0.64
8,2,9,7,6529.71,3702.94,5,32,0.64
8,3,10,5,7173.1,3062.19,5.5,32,0.64
10.5,1,10,9,6360.88,3384.56,4.81818,32,0.64
10.5,2,10,7,5866.16,2622.46,4.77778,32,0.64
10.5,3,10,5,7163.09,3362.99,5.5,32,0.64
13,1,11,9,6248.24,3178.58,4.81818,32,0.64
13,2,9,7,6000.74,2724.43,4.77778,32,0.64
13,3,10,5,7212.66,3420.62,5.3,32,0.64
15.5,1,11,9,6033.38,3234.42,4.90909,32,0.64
15.5,2,9,7,6001.87,2567.12,4.77778,32,0.64
15.5,3,10,6,6961.65,3430.27,5.3,32,0.64
18,1,11,9,6020.32,3640.38,4.90909,32,0.64
18,2,9,7,6190.3,2463.41,4.77778,32,0.64
18,3,10,5,6558.91,4094.4,5.4,32,0.64
20.5,1,11,9,6018.64,3882.94,4.90909,32,0.64
20.5,2,9,7,6175.41,2463.41,4.66667,32,0.64
20.5,3,10,6,6555.42,4025.33,5.3,32,0.64
23,1,11,9,5892.98,3982.75,4.81818,32,0.64
23,2,9,7,5679.12,2583.6,4.88889,32,0.64
23,3,10,7,6700.91,3911.94,5.2,32,0.64
25.5,1,11,9,5895.84,4164.5,5,32,0.64
25.5,2,9,7,5674.08,2583.57,4.88889,32,0.64
25.5,3,10,6,6584.37,3910.61,5.2,32,0.64
28,1,10,8,6146.37,4015.76,5,32,0.64
28,2,10,8,5325.63,3573.57,4.7,32,0.64
28,3,10,6,6473.22,3153.84,5.3,32,0.64
30.5,1,10,8,6276.85,4162.45,4.9,32,0.6144
30.5,2,10,9,5252.45,3368.24,4.5,32,0.6336
30.5,3,10,5,6561.09,2897.55,5.55556,32,0.64
33,1,10,9,6083.52,4001.98,4.8,32,0.64
33,2,11,10,5380.56,2786.98,4.54545,32,0.64
33,3,9,4,7444.13,2885.17,5.75,32,0.64
35.5,1,9,8,6409.07,3013.3,5,32,0.64
35.5,2,11,10,5384.42,4084.94,4.54545,32,0.64
35.5,3,10,6,6922.58,3031.23,5.3,32,0.64
38,1,9,8,6420.08,3273.84,5.11111,32,0.64
38,2,11,11,5664.64,4880.21,4.45455,32,0.64
38,3,10,7,7026.38,2767.15,5.4,32,0.64
40.5,1,9,8,6607.65,3257.66,5.11111,32,0.64
40.5,2,11,11,5508.21,4969.71,4.45455,32,0.64
40.5,3,10,7,7204.67,2743.23,5.6,32,0.64
43,1,9,6,6231.79,3473.26,5.11111,32,0.64
43,2,11,11,5663.65,4921.73,4.54545,32,0.64
43,3,10,6,7229.34,2630.75,5.4,32,0.64
45.5,1,9,6,6323.81,3129.68,5.22222,32,0.64
45.5,2,10,9,5892.3,3911.87,4.8,32,0.64
45.5,3,11,7,7023.02,2470.11,5.27273,32,0.64
48,1,9,6,6535.12,3218.18,5.11111,32,0.64
48,2,10,9,5975.23,3948.34,4.8,32,0.64
48,3,11,7,7242.38,2092.61,5.27273,32,0.64
50.5,1,10,7,5838.08,3721.17,5.1,32,0.64
50.5,2,10,9,5982.45,6215.07,4.8,32,0.64
50.5,3,10,6,7253.95,3923.57,5.7,32,0.64
53,1,10,7,5415.07,3689.54,4.9,32,0.64
53,2,10,9,5982.02,5530.9,4.9,32,0.64
53,3,10,6,7317.63,3921.57,5.7,32,0.64
55.5,1,9,5,6233.44,2827.15,5,32,0.64
55.5,2,10,9,6027.68,6255.1,4.9,32,0.64
55.5,3,11,6,7110.61,3111.42,5.63636,32,0.64
58,1,9,6,6233.41,2932.78,5,32,0.64
58,2,10,8,6033.14,6231.25,5,32,0.64
58,3,11,6,7202.35,3609.12,5.45455,32,0.64
1.5,1,11,1,7000.64,3425.79,5.45455,35,0.64
1.5,2,14,2,6207.07,3866.1,5.4,35,0.64
1.5,3,5,0,7479.23,3104.72,7,30,0.64
4,1,11,2,6074.98,3918.77,5.09091,34,0.64
4,2,10,3,6393.82,4472.37,5.25,34,0.64
4,3,9,3,7389.3,3113.46,5.6,34,0.64
6.5,1,10,2,5977.15,3635.74,5,34,0.6272
6.5,2,10,2,6101.95,4432.58,5,35,0.64
6.5,3,10,3,7038.99,3582.19,5.4,34,0.6272
9,1,11,3,5737.33,4164.03,4.45455,34,0.64
9,2,10,4,6486.7,3789.49,4.88889,34,0.64
9,3,9,3,6842.85,3580.61,4.7,34,0.64
11.5,1,11,2,5751.33,3605.04,5,34,0.64
11.5,2,10,0,6219.28,3979.78,5.28571,35,0.64
11.5,3,9,1,6907.07,2889.2,6.42857,34,0.64
14,1,11,3,5851.55,3718.69,4.90909,34,0.64
14,2,9,4,5822.18,3200.24,4.77778,34,0.64
14,3,10,4,6851.36,3149.65,5.3,34,0.64
16.5,1,11,4,5401.12,5024.43,4.54545,34,0.64
16.5,2,10,1,6522.83,4669.2,5.75,34,0.64
16.5,3,9,2,6321.02,2915.07,5.5,34,0.64
19,1,12,7,5144.74,4139.31,4.58333,34,0.6336
19,2,8,2,6659.42,3905.84,5.44444,35,0.64
19,3,10,4,6442.96,2988.58,4.9,34,0.64
21.5,1,11,8,5730.37,4396.35,4.41667,34,0.64
21.5,2,10,3,5643.36,3268.5,4.33333,34,0.64
21.5,3,9,3,6640.06,3008.34,5.11111,34,0.64
24,1,12,7,5425.25,3319.54,4.75,34,0.6272
24,2,9,3,5547.58,3617.28,5,34,0.64
24,3,9,2,6904.34,2853.46,5.75,34,0.64
26.5,1,11,4,5845.06,3805.79,5.2,34,0.64
26.5,2,9,4,5136,3884.62,4,34,0.64
26.5,3,10,1,6917.84,3270.59,6,34,0.64
29,1,10,4,5882.99,3783.84,5,34,0.6336
29,2,10,3,4910.69,3684.86,4.88889,34,0.64
29,3,10,1,6667.65,1878.61,6,34,0.64
31.5,1,11,5,5984.88,3672.64,4.63636,34,0.64
31.5,2,10,3,5267.31,3390.48,4.6,34,0.64
31.5,3,9,2,6876.4,1759.1,5.55556,34,0.64
34,1,11,2,6173.94,2581.01,5.375,34,0.64
34,2,11,4,5410.82,3759.84,4.54545,34,0.64
34,3,8,5,6957.7,1943.65,4.16667,34,0.64
36.5,1,11,5,6019.74,2833.71,4.63636,34,0.64
36.5,2,11,4,5646.05,3551.58,4.54545,34,0.64
36.5,3,8,3,6902.16,1951.47,6,34,0.64
39,1,9,5,6099.62,3430.54,4.18182,34,0.64
39,2,11,4,5663.47,3475.97,4.45455,34,0.64
39,3,10,3,7186.1,1787.7,5.77778,34,0.64
41.5,1,9,3,6581.1,3652.86,5.11111,34,0.64
41.5,2,11,3,5508.26,4169.26,4.7,34,0.64
41.5,3,10,4,7216.85,1507.54,5.6,34,0.64
44,1,9,3,5580.77,3227.28,4.77778,34,0.64
44,2,10,0,6282.13,4404.98,5.1,35,0.64
44,3,11,5,6849.97,2579.54,5.18182,34,0.64
46.5,1,9,4,5495.71,3477.76,4.77778,34,0.64
46.5,2,11,0,6245.42,4591.92,5.2,35,0.64
46.5,3,10,3,6664.78,3147.7,5.66667,34,0.64
49,1,10,5,5424.94,3262.34,4.6,34,0.6272
49,2,10,0,6272.26,4190.96,5.2,35,0.6272
49,3,10,3,6717.26,2015.66,5.3,34,0.6144
51.5,1,10,5,4997.52,5310.26,4.6,34,0.64
51.5,2,10,1,6208.78,3604.77,4.81818,35,0.64
51.5,3,10,0,7619.34,1629.55,6,34,0.64
54,1,10,5,5348.1,3671.38,4.8,34,0.6272
54,2,12,2,6102.82,4747.44,4.83333,35,0.64
54,3,8,1,7280.1,1412.56,6.125,34,0.64
56.5,1,9,7,5635.23,3398.85,4.18182,34,0.64
56.5,2,10,2,6111.7,3017.46,5.22222,34,0.64
56.5,3,11,3,7098.13,2378.46,5.6,34,0.64
