time_s,srcCellId,neighborCellId,cio_display_dB,cio_display_ie
0.5,1,2,0,0
0.5,1,3,0,0
0.5,2,1,0,0
0.5,2,3,0,0
0.5,3,1,0,0
0.5,3,2,0,0
3,1,2,0,0
3,1,3,0,0
3,2,1,0,0
3,2,3,0,0
3,3,1,0,0
3,3,2,0,0
5.5,1,2,0,0
5.5,1,3,0,0
5.5,2,1,0,0
5.5,2,3,0,0
5.5,3,1,0,0
5.5,3,2,0,0
8,1,2,0,0
8,1,3,0,0
8,2,1,0,0
8,2,3,0,0
8,3,1,0,0
8,3,2,0,0
10.5,1,2,0,0
10.5,1,3,0,0
10.5,2,1,0,0
10.5,2,3,0,0
10.5,3,1,0,0
10.5,3,2,0,0
13,1,2,0,0
13,1,3,0,0
13,2,1,0,0
13,2,3,0,0
13,3,1,0,0
13,3,2,0,0
15.5,1,2,0,0
15.5,1,3,0,0
15.5,2,1,0,0
15.5,2,3,0,0
15.5,3,1,0,0
15.5,3,2,0,0
18,1,2,0,0
18,1,3,0,0
18,2,1,0,0
18,2,3,0,0
18,3,1,0,0
18,3,2,0,0
20.5,1,2,0,0
20.5,1,3,0,0
20.5,2,1,0,0
20.5,2,3,0,0
20.5,3,1,0,0
20.5,3,2,0,0
23,1,2,0,0
23,1,3,0,0
23,2,1,0,0
23,2,3,0,0
23,3,1,0,0
23,3,2,0,0
25.5,1,2,0,0
25.5,1,3,0,0
25.5,2,1,0,0
25.5,2,3,0,0
25.5,3,1,0,0
25.5,3,2,0,0
28,1,2,0,0
28,1,3,0,0
28,2,1,0,0
28,2,3,0,0
28,3,1,0,0
28,3,2,0,0
30.5,1,2,0,0
30.5,1,3,0,0
30.5,2,1,0,0
30.5,2,3,0,0
30.5,3,1,0,0
30.5,3,2,0,0
33,1,2,0,0
33,1,3,0,0
33,2,1,0,0
33,2,3,0,0
33,3,1,0,0
33,3,2,0,0
35.5,1,2,0,0
35.5,1,3,0,0
35.5,2,1,0,0
35.5,2,3,0,0
35.5,3,1,0,0
35.5,3,2,0,0
38,1,2,0,0
38,1,3,0,0
38,2,1,0,0
38,2,3,0,0
38,3,1,0,0
38,3,2,0,0
40.5,1,2,0,0
40.5,1,3,0,0
40.5,2,1,0,0
40.5,2,3,0,0
40.5,3,1,0,0
40.5,3,2,0,0
43,1,2,0,0
43,1,3,0,0
43,2,1,0,0
43,2,3,0,0
43,3,1,0,0
43,3,2,0,0
45.5,1,2,0,0
45.5,1,3,0,0
45.5,2,1,0,0
45.5,2,3,0,0
45.5,3,1,0,0
45.5,3,2,0,0
48,1,2,0,0
48,1,3,0,0
48,2,1,0,0
48,2,3,0,0
48,3,1,0,0
48,3,2,0,0
50.5,1,2,0,0
50.5,1,3,0,0
50.5,2,1,0,0
50.5,2,3,0,0
50.5,3,1,0,0
50.5,3,2,0,0
53,1,2,0,0
53,1,3,0,0
53,2,1,0,0
53,2,3,0,0
53,3,1,0,0
53,3,2,0,0
55.5,1,2,0,0
55.5,1,3,0,0
55.5,2,1,0,0
55.5,2,3,0,0
55.5,3,1,0,0
55.5,3,2,0,0
58,1,2,0,0
58,1,3,0,0
58,2,1,0,0
58,2,3,0,0
58,3,1,0,0
58,3,2,0,0
1.5,1,2,-0.5,-1
1.5,1,3,-0.5,-1
1.5,2,1,-1,-2
1.5,2,3,-1,-2
1.5,3,1,-1.5,-3
1.5,3,2,-1.5,-3
4,1,2,-0,0
4,1,3,-0,0
4,2,1,-1,-2
4,2,3,-1,-2
4,3,1,-1,-2
4,3,2,-1,-2
6.5,1,2,-0.5,-1
6.5,1,3,-0.5,-1
6.5,2,1,-1,-2
6.5,2,3,-1,-2
6.5,3,1,-1,-2
6.5,3,2,-1,-2
9,1,2,-0,0
9,1,3,-0,0
9,2,1,-1,-2
9,2,3,-1,-2
9,3,1,-1,-2
9,3,2,-1,-2
11.5,1,2,-0,0
11.5,1,3,-0,0
11.5,2,1,-1,-2
11.5,2,3,-1,-2
11.5,3,1,-1,-2
11.5,3,2,-1,-2
14,1,2,-0,0
14,1,3,-0,0
14,2,1,-0.5,-1
14,2,3,-0.5,-1
14,3,1,-0.5,-1
14,3,2,-0.5,-1
16.5,1,2,-0,0
16.5,1,3,-0,0
16.5,2,1,-1,-2
16.5,2,3,-1,-2
16.5,3,1,-1,-2
16.5,3,2,-1,-2
19,1,2,-0,0
19,1,3,-0,0
19,2,1,-1,-2
19,2,3,-1,-2
19,3,1,-0.5,-1
19,3,2,-0.5,-1
21.5,1,2,-0,0
21.5,1,3,-0,0
21.5,2,1,-1,-2
21.5,2,3,-1,-2
21.5,3,1,-1,-2
21.5,3,2,-1,-2
24,1,2,-0,0
24,1,3,-0,0
24,2,1,-0.5,-1
24,2,3,-0.5,-1
24,3,1,-1,-2
24,3,2,-1,-2
26.5,1,2,-0,0
26.5,1,3,-0,0
26.5,2,1,-0.5,-1
26.5,2,3,-0.5,-1
26.5,3,1,-1,-2
26.5,3,2,-1,-2
29,1,2,-0.5,-1
29,1,3,-0.5,-1
29,2,1,-0.5,-1
29,2,3,-0.5,-1
29,3,1,-1,-2
29,3,2,-1,-2
31.5,1,2,-0,0
31.5,1,3,-0,0
31.5,2,1,-0.5,-1
31.5,2,3,-0.5,-1
31.5,3,1,-1,-2
31.5,3,2,-1,-2
34,1,2,-0,0
34,1,3,-0,0
34,2,1,-0.5,-1
34,2,3,-0.5,-1
34,3,1,-1,-2
34,3,2,-1,-2
36.5,1,2,-0,0
36.5,1,3,-0,0
36.5,2,1,-1,-2
36.5,2,3,-1,-2
36.5,3,1,-1,-2
36.5,3,2,-1,-2
39,1,2,-0.5,-1
39,1,3,-0.5,-1
39,2,1,-0.5,-1
39,2,3,-0.5,-1
39,3,1,-1,-2
39,3,2,-1,-2
41.5,1,2,-0.5,-1
41.5,1,3,-0.5,-1
41.5,2,1,-0.5,-1
41.5,2,3,-0.5,-1
41.5,3,1,-1,-2
41.5,3,2,-1,-2
44,1,2,-0.5,-1
44,1,3,-0.5,-1
44,2,1,-1,-2
44,2,3,-1,-2
44,3,1,-1,-2
44,3,2,-1,-2
46.5,1,2,-0.5,-1
46.5,1,3,-0.5,-1
46.5,2,1,-1,-2
46.5,2,3,-1,-2
46.5,3,1,-1,-2
46.5,3,2,-1,-2
49,1,2,-0,0
49,1,3,-0,0
49,2,1,-1,-2
49,2,3,-1,-2
49,3,1,-1,-2
49,3,2,-1,-2
51.5,1,2,-0,0
51.5,1,3,-0,0
51.5,2,1,-1,-2
51.5,2,3,-1,-2
51.5,3,1,-1.5,-3
51.5,3,2,-1.5,-3
54,1,2,-0,0
54,1,3,-0,0
54,2,1,-1,-2
54,2,3,-1,-2
54,3,1,-1,-2
54,3,2,-1,-2
56.5,1,2,-0,0
56.5,1,3,-0,0
56.5,2,1,-1,-2
56.5,2,3,-1,-2
56.5,3,1,-1,-2
56.5,3,2,-1,-2
