time_s,cellId,cioRaw,txpRaw,selfCio_display_dB,txpApplied_dBm,cellThp_kbps,alpha
0.5,1,0,0,0,32,0,0
0.5,2,0,0,0,32,0,0
0.5,3,0,0,0,32,0,0
3,1,0,0,0,32,9162.02,0
3,2,0,0,0,32,13284.7,0
3,3,0,0,0,32,10816.2,0
5.5,1,0,0,0,32,9026.1,0
5.5,2,0,0,0,32,12920.9,0
5.5,3,0,0,0,32,10451.1,0
8,1,0,0,0,32,9310.13,0
8,2,0,0,0,32,10232.7,0
8,3,0,0,0,32,10235.3,0
10.5,1,0,0,0,32,9745.44,0
10.5,2,0,0,0,32,8488.62,0
10.5,3,0,0,0,32,10526.1,0
13,1,0,0,0,32,9426.82,0
13,2,0,0,0,32,8725.17,0
13,3,0,0,0,32,10633.3,0
15.5,1,0,0,0,32,9267.79,0
15.5,2,0,0,0,32,8568.99,0
15.5,3,0,0,0,32,10391.9,0
18,1,0,0,0,32,9660.7,0
18,2,0,0,0,32,8653.71,0
18,3,0,0,0,32,10653.3,0
20.5,1,0,0,0,32,9901.58,0
20.5,2,0,0,0,32,8638.82,0
20.5,3,0,0,0,32,10580.8,0
23,1,0,0,0,32,9875.73,0
23,2,0,0,0,32,8262.72,0
23,3,0,0,0,32,10612.8,0
25.5,1,0,0,0,32,10060.3,0
25.5,2,0,0,0,32,8257.65,0
25.5,3,0,0,0,32,10495,0
28,1,0,0,0,32,10162.1,0
28,2,0,0,0,32,8899.2,0
28,3,0,0,0,32,9627.06,0
30.5,1,0,0,0,32,10439.3,0
30.5,2,0,0,0,32,8620.69,0
30.5,3,0,0,0,32,9458.64,0
33,1,0,0,0,32,10085.5,0
33,2,0,0,0,32,8167.54,0
33,3,0,0,0,32,10329.3,0
35.5,1,0,0,0,32,9422.37,0
35.5,2,0,0,0,32,9469.36,0
35.5,3,0,0,0,32,9953.81,0
38,1,0,0,0,32,9693.92,0
38,2,0,0,0,32,10544.8,0
38,3,0,0,0,32,9793.54,0
40.5,1,0,0,0,32,9865.31,0
40.5,2,0,0,0,32,10477.9,0
40.5,3,0,0,0,32,9947.9,0
43,1,0,0,0,32,9705.06,0
43,2,0,0,0,32,10585.4,0
43,3,0,0,0,32,9860.1,0
45.5,1,0,0,0,32,9453.49,0
45.5,2,0,0,0,32,9804.18,0
45.5,3,0,0,0,32,9493.14,0
48,1,0,0,0,32,9753.3,0
48,2,0,0,0,32,9923.57,0
48,3,0,0,0,32,9334.99,0
50.5,1,0,0,0,32,9559.25,0
50.5,2,0,0,0,32,12197.5,0
50.5,3,0,0,0,32,11177.5,0
53,1,0,0,0,32,9104.61,0
53,2,0,0,0,32,11512.9,0
53,3,0,0,0,32,11239.2,0
55.5,1,0,0,0,32,9060.59,0
55.5,2,0,0,0,32,12282.8,0
55.5,3,0,0,0,32,10222,0
58,1,0,0,0,32,9166.19,0
58,2,0,0,0,32,12264.4,0
58,3,0,0,0,32,10811.5,0
1.5,1,0.0805171,0.744837,-0.5,34.9793,10426.4,0.0888001
1.5,2,0.183848,0.770459,-1,35.0818,10073.2,0.0881835
1.5,3,0.348881,0.692304,-1.5,34.7692,10584,0.0880473
4,1,0.0379144,0.717307,-0,34.8692,9993.74,0.0888001
4,2,0.1762,0.735801,-1,34.9432,10866.2,0.0881835
4,3,0.170734,0.622347,-1,34.4894,10502.8,0.0880473
6.5,1,0.0547653,0.713802,-0.5,34.8552,9612.9,0.0888001
6.5,2,0.180309,0.753857,-1,35.0154,10534.5,0.0881835
6.5,3,0.170612,0.625548,-1,34.5022,10621.2,0.0880473
9,1,0.0259984,0.725346,-0,34.9014,9901.36,0.0888001
9,2,0.186413,0.740621,-1,34.9625,10276.2,0.0881835
9,3,0.18313,0.628491,-1,34.514,10423.5,0.0880473
11.5,1,0.0242848,0.709576,-0,34.8383,9356.37,0.0888001
11.5,2,0.217516,0.771715,-1,35.0869,10199.1,0.0881835
11.5,3,0.235521,0.640052,-1,34.5602,9796.27,0.0880473
14,1,0.0140862,0.712992,-0,34.852,9570.24,0.0888001
14,2,0.126061,0.731175,-0.5,34.9247,9022.42,0.0881835
14,3,0.148413,0.60499,-0.5,34.42,10001,0.0880473
16.5,1,0.0147016,0.715622,-0,34.8625,10425.6,0.0888001
16.5,2,0.189588,0.747745,-1,34.991,11192,0.0881835
16.5,3,0.18858,0.61891,-1,34.4756,9236.1,0.0880473
19,1,0.022536,0.705767,-0,34.8231,9284.05,0.0888001
19,2,0.186147,0.756593,-1,35.0264,10565.3,0.0881835
19,3,0.112917,0.630699,-0.5,34.5228,9431.54,0.0880473
21.5,1,0.0375054,0.702401,-0,34.8096,10126.7,0.0888001
21.5,2,0.164246,0.739022,-1,34.9561,8911.86,0.0881835
21.5,3,0.167459,0.609077,-1,34.4363,9648.4,0.0880473
24,1,0.0261609,0.712794,-0,34.8512,8744.78,0.0888001
24,2,0.126092,0.740301,-0.5,34.9612,9164.86,0.0881835
24,3,0.187672,0.633226,-1,34.5329,9757.79,0.0880473
26.5,1,0.0253252,0.699728,-0,34.7989,9650.85,0.0888001
26.5,2,0.0979781,0.716061,-0.5,34.8642,9020.62,0.0881835
26.5,3,0.216021,0.662267,-1,34.6491,10188.4,0.0880473
29,1,0.0530349,0.689635,-0.5,34.7585,9666.83,0.0888001
29,2,0.096423,0.730299,-0.5,34.9212,8595.55,0.0881835
29,3,0.206569,0.658521,-1,34.6341,8546.26,0.0880473
31.5,1,0.0285932,0.719803,-0,34.8792,9657.52,0.0888001
31.5,2,0.11399,0.729012,-0.5,34.916,8657.79,0.0881835
31.5,3,0.183979,0.635289,-1,34.5412,8635.5,0.0880473
