time_s,step,cellId,cio_l2_change,max_cio_change,txp_raw_curr,txp_raw_prev,txp_raw_change,txp_dBm_curr,txp_dBm_prev,ue_count_prev,ue_count_curr,ue_count_change,reward_prev,reward_curr,reward_change,consecutive_stagnant_steps,cio_stagnant,txp_stagnant,is_stagnant
1,1639,1,-1,-1,0.798083,0.798083,-1,35.1923,35.1923,11,11,0,0,0,0,0,0,0,0
1,1639,2,-1,-1,0.84555,0.84555,-1,35.3822,35.3822,10,10,0,0,0,0,0,0,0,0
1,1639,3,-1,-1,0.296521,0.296521,-1,33.1861,33.1861,9,9,0,0,0,0,0,0,0,0
1.5,1640,1,0.256002,0.256002,0.744837,0.798083,0.053246,34.9793,35.1923,11,11,0,0,0.700064,0.700064,0,0,0,0
1.5,1640,2,0.00392818,0.00392818,0.770459,0.84555,0.0750906,35.0818,35.3822,10,14,4,0,0.620707,0.620707,0,1,0,0
1.5,1640,3,0.305164,0.305164,0.692304,0.296521,0.395783,34.7692,33.1861,9,5,-4,0,0.747923,0.747923,0,0,0,0
2,1641,1,0.0407845,0.0407845,0.741985,0.744837,0.00285172,34.9679,34.9793,11,12,1,0.700064,0.593126,0.106938,0,0,1,0
2,1641,2,0.0104924,0.0104924,0.745421,0.770459,0.0250384,34.9817,35.0818,14,11,-3,0.620707,0.634856,0.0141488,0,1,0,0
2,1641,3,0.124587,0.124587,0.646867,0.692304,0.0454366,34.5875,34.7692,5,7,2,0.747923,0.797552,0.0496288,0,0,0,0
2.5,1642,1,0.0110115,0.0110115,0.722711,0.741985,0.0192737,34.8908,34.9679,12,11,-1,0.593126,0.592366,0.00076,0,1,1,1
2.5,1642,2,0.00404269,0.00404269,0.740311,0.745421,0.00510985,34.9612,34.9817,11,11,0,0.634856,0.580174,0.0546816,0,1,1,0
2.5,1642,3,0.0177824,0.0177824,0.652007,0.646867,0.00514001,34.608,34.5875,7,8,1,0.797552,0.839581,0.0420288,0,1,1,0
3,1643,1,0.0104073,0.0104073,0.718179,0.722711,0.00453264,34.8727,34.8908,11,11,0,0.592366,0.609819,0.0174528,0,1,1,0
3,1643,2,0.00755896,0.00755896,0.740135,0.740311,0.000175834,34.9605,34.9612,11,9,-2,0.580174,0.624272,0.0440976,0,1,1,0
3,1643,3,0.0176888,0.0176888,0.643224,0.652007,0.00878388,34.5729,34.608,8,10,2,0.839581,0.775827,0.0637536,0,1,1,0
3.5,1644,1,6.69397e-05,6.69397e-05,0.718131,0.718179,4.79817e-05,34.8725,34.8727,11,11,0,0.609819,0.609691,0.000128,0,1,1,1
3.5,1644,2,0.0110549,0.0110549,0.741891,0.740135,0.00175583,34.9676,34.9605,9,9,0,0.624272,0.639875,0.0156032,0,1,1,0
3.5,1644,3,0.00710304,0.00710304,0.632541,0.643224,0.0106822,34.5302,34.5729,10,10,0,0.775827,0.734739,0.041088,0,1,1,0
4,1645,1,0.00114704,0.00114704,0.717307,0.718131,0.000823319,34.8692,34.8725,11,11,0,0.609691,0.607498,0.0021936,0,1,1,1
4,1645,2,0.0103832,0.0103832,0.735801,0.741891,0.0060901,34.9432,34.9676,9,10,1,0.639875,0.639382,0.0004928,0,1,1,1
4,1645,3,0.0465505,0.0465505,0.622347,0.632541,0.0101941,34.4894,34.5302,10,9,-1,0.734739,0.73893,0.0041904,0,0,1,0
4.5,1646,1,0.0127385,0.0127385,0.711124,0.717307,0.00618374,34.8445,34.8692,11,11,0,0.607498,0.60344,0.0040576,0,1,1,1
4.5,1646,2,0.00304647,0.00304647,0.734988,0.735801,0.000813425,34.94,34.9432,10,10,0,0.639382,0.631549,0.0078336,0,1,1,1
4.5,1646,3,0.0488181,0.0488181,0.625197,0.622347,0.00285017,34.5008,34.4894,9,9,0,0.73893,0.7102,0.0287296,0,0,1,0
5,1647,1,0.00466971,0.00466971,0.711384,0.711124,0.00026083,34.8455,34.8445,11,11,0,0.60344,0.608379,0.0049392,0,1,1,1
5,1647,2,0.00231387,0.00231387,0.741842,0.734988,0.00685453,34.9674,34.94,10,10,0,0.631549,0.620843,0.0107056,0,1,1,0
5,1647,3,0.00391035,0.00391035,0.630499,0.625197,0.00530136,34.522,34.5008,9,9,0,0.7102,0.713792,0.003592,0,1,1,1
5.5,1648,1,0.0182749,0.0182749,0.721807,0.711384,0.0104225,34.8872,34.8455,11,12,1,0.608379,0.582819,0.02556,0,1,1,0
5.5,1648,2,0.00183463,0.00183463,0.75403,0.741842,0.0121875,35.0161,34.9674,10,9,-1,0.620843,0.626608,0.0057648,0,1,1,1
5.5,1648,3,0.00811641,0.00811641,0.639403,0.630499,0.00890398,34.5576,34.522,9,9,0,0.713792,0.741056,0.027264,0,1,1,0
6,1649,1,0.0152375,0.0152375,0.719485,0.721807,0.0023222,34.8779,34.8872,12,11,-1,0.582819,0.585698,0.0028784,0,1,1,1
6,1649,2,0.00521675,0.00521675,0.734506,0.75403,0.0195235,34.938,35.0161,9,8,-1,0.626608,0.668581,0.0419728,0,1,1,0
6,1649,3,0.0401246,0.0401246,0.636418,0.639403,0.00298506,34.5457,34.5576,9,11,2,0.741056,0.701216,0.03984,0,0,1,0
6.5,1650,1,0.0279571,0.0279571,0.713802,0.719485,0.00568235,34.8552,34.8779,11,10,-1,0.585698,0.597715,0.0120176,0,0,1,0
6.5,1650,2,0.00822403,0.00822403,0.753857,0.734506,0.0193506,35.0154,34.938,8,10,2,0.668581,0.610195,0.0583856,0,1,1,0
6.5,1650,3,0.00321198,0.00321198,0.625548,0.636418,0.0108694,34.5022,34.5457,11,10,-1,0.701216,0.703899,0.0026832,0,1,1,1
7,1651,1,0.00491777,0.00491777,0.713738,0.713802,6.4671e-05,34.855,34.8552,10,10,0,0.597715,0.575424,0.0222912,0,1,1,0
7,1651,2,0.00374603,0.00374603,0.728848,0.753857,0.0250083,34.9154,35.0154,10,10,0,0.610195,0.634414,0.0242192,0,1,0,0
7,1651,3,0.000138909,0.000138909,0.611329,0.625548,0.0142197,34.4453,34.5022,10,10,0,0.703899,0.693002,0.0108976,0,1,1,0
7.5,1652,1,0.0105298,0.0105298,0.711809,0.713738,0.00192881,34.8472,34.855,10,10,0,0.575424,0.614653,0.0392288,0,1,1,0
7.5,1652,2,0.00383404,0.00383404,0.753966,0.728848,0.0251179,35.0159,34.9154,10,10,0,0.634414,0.610627,0.0237872,0,1,0,0
7.5,1652,3,0.00305775,0.00305775,0.617679,0.611329,0.00635028,34.4707,34.4453,10,10,0,0.693002,0.693139,0.0001376,0,1,1,1
8,1653,1,0.0104899,0.0104899,0.713546,0.711809,0.00173688,34.8542,34.8472,10,10,0,0.614653,0.575075,0.0395776,0,1,1,0
8,1653,2,0.00263172,0.00263172,0.729393,0.753966,0.024573,34.9176,35.0159,10,10,0,0.610627,0.636962,0.0263344,0,1,0,0
8,1653,3,0.00106767,0.00106767,0.615602,0.617679,0.00207645,34.4624,34.4707,10,10,0,0.693139,0.690261,0.0028784,0,1,1,1
8.5,1654,1,0.0189739,0.0189739,0.710535,0.713546,0.00301027,34.8421,34.8542,10,11,1,0.575075,0.589509,0.0144336,0,1,1,0
8.5,1654,2,0.0341187,0.0341187,0.776436,0.729393,0.0470425,35.1057,34.9176,10,10,0,0.636962,0.629024,0.0079376,0,0,0,0
8.5,1654,3,0.0154746,0.0154746,0.628419,0.615602,0.0128168,34.5137,34.4624,10,9,-1,0.690261,0.696232,0.0059712,0,1,1,1
9,1655,1,0.00491507,0.00491507,0.725346,0.710535,0.0148101,34.9014,34.8421,11,11,0,0.589509,0.573733,0.015776,0,1,1,0
9,1655,2,0.0254711,0.0254711,0.740621,0.776436,0.0358152,34.9625,35.1057,10,10,0,0.629024,0.64867,0.0196464,0,0,0,0
9,1655,3,0.00130734,0.00130734,0.628491,0.628419,7.21812e-05,34.514,34.5137,9,9,0,0.696232,0.684285,0.0119472,0,1,1,0
9.5,1656,1,0.00176577,0.00176577,0.723033,0.725346,0.00231278,34.8921,34.9014,11,11,0,0.573733,0.584114,0.0103808,0,1,1,0
9.5,1656,2,0.0157036,0.0157036,0.769249,0.740621,0.0286279,35.077,34.9625,10,10,0,0.64867,0.612034,0.0366368,0,1,0,0
9.5,1656,3,0.0326301,0.0326301,0.62947,0.628491,0.000978768,34.5179,34.514,9,9,0,0.684285,0.672118,0.0121664,0,0,1,0
10,1657,1,0.0122822,0.0122822,0.727667,0.723033,0.00463396,34.9107,34.8921,11,12,1,0.584114,0.549282,0.034832,0,1,1,0
10,1657,2,0.0346517,0.0346517,0.736424,0.769249,0.0328243,34.9457,35.077,10,9,-1,0.612034,0.642805,0.0307712,0,0,0,0
10,1657,3,0.0026795,0.0026795,0.635257,0.62947,0.00578666,34.541,34.5179,9,9,0,0.672118,0.696397,0.0242784,0,1,1,0
10.5,1658,1,0.0123844,0.0123844,0.716382,0.727667,0.0112845,34.8655,34.9107,12,12,0,0.549282,0.566269,0.0169872,0,1,1,0
10.5,1658,2,0.0537276,0.0537276,0.771503,0.736424,0.0350785,35.086,34.9457,9,10,1,0.642805,0.612517,0.030288,0,0,0,0
10.5,1658,3,0.00265114,0.00265114,0.631988,0.635257,0.00326937,34.528,34.541,9,8,-1,0.696397,0.702296,0.0058992,0,1,1,1
11,1659,1,0.000842315,0.000842315,0.711265,0.716382,0.00511682,34.8451,34.8655,12,12,0,0.566269,0.543824,0.0224448,0,1,1,0
11,1659,2,0.0413136,0.0413136,0.744131,0.771503,0.0273715,34.9765,35.086,10,9,-1,0.612517,0.633614,0.0210976,0,0,0,0
11,1659,3,0.00543661,0.00543661,0.648581,0.631988,0.0165938,34.5943,34.528,8,9,1,0.702296,0.682427,0.0198688,0,1,1,0
11.5,1660,1,0.0203449,0.0203449,0.709576,0.711265,0.00168908,34.8383,34.8451,12,11,-1,0.543824,0.575133,0.0313088,0,0,1,0
11.5,1660,2,0.0376371,0.0376371,0.771715,0.744131,0.0275834,35.0869,34.9765,9,10,1,0.633614,0.621928,0.0116864,0,0,0,0
11.5,1660,3,0.0198672,0.0198672,0.640052,0.648581,0.00852931,34.5602,34.5943,9,9,0,0.682427,0.690707,0.00828,0,1,1,1
12,1661,1,0.00878381,0.00878381,0.720046,0.709576,0.0104692,34.8802,34.8383,11,12,1,0.575133,0.558293,0.01684,0,1,1,0
12,1661,2,0.037294,0.037294,0.73894,0.771715,0.0327747,34.9558,35.0869,10,9,-1,0.621928,0.652518,0.0305904,0,0,0,0
12,1661,3,0.0734627,0.0734627,0.596904,0.640052,0.0431475,34.3876,34.5602,9,9,0,0.690707,0.669323,0.021384,0,0,0,0
12.5,1662,1,0.0407703,0.0407703,0.708483,0.720046,0.0115624,34.8339,34.8802,12,10,-2,0.558293,0.580813,0.02252,0,0,1,0
12.5,1662,2,0.00346346,0.00346346,0.743984,0.73894,0.00504398,34.9759,34.9558,9,11,2,0.652518,0.597179,0.0553392,0,1,1,0
12.5,1662,3,0.00387907,0.00387907,0.596238,0.596904,0.00066644,34.385,34.3876,9,9,0,0.669323,0.686278,0.0169552,0,1,1,0
13,1663,1,0.00024147,0.00024147,0.710283,0.708483,0.00179964,34.8411,34.8339,10,10,0,0.580813,0.586459,0.0056464,0,1,1,1
13,1663,2,0.114803,0.114803,0.715749,0.743984,0.0282349,34.863,34.9759,11,11,0,0.597179,0.549472,0.0477072,0,0,0,0
13,1663,3,0.00250378,0.00250378,0.607046,0.596238,0.0108077,34.4282,34.385,9,9,0,0.686278,0.713019,0.0267408,0,1,1,0
13.5,1664,1,0.000690926,0.000690926,0.704915,0.710283,0.0053677,34.8197,34.8411,10,10,0,0.586459,0.568704,0.0177552,0,1,1,0
13.5,1664,2,0.0415167,0.0415167,0.725266,0.715749,0.00951713,34.9011,34.863,11,11,0,0.549472,0.577669,0.0281968,0,0,1,0
13.5,1664,3,0.0270999,0.0270999,0.590363,0.607046,0.0166823,34.3615,34.4282,9,9,0,0.713019,0.705184,0.0078352,0,0,1,0
14,1665,1,0.0412527,0.0412527,0.712992,0.704915,0.00807714,34.852,34.8197,10,11,1,0.568704,0.585155,0.0164512,0,0,1,0
14,1665,2,0.0156617,0.0156617,0.731175,0.725266,0.00590903,34.9247,34.9011,11,9,-2,0.577669,0.582218,0.0045488,0,1,1,1
14,1665,3,0.0120788,0.0120788,0.60499,0.590363,0.0146268,34.42,34.3615,9,10,1,0.705184,0.685136,0.020048,0,1,1,0
14.5,1666,1,0.0172824,0.0172824,0.714028,0.712992,0.00103533,34.8561,34.852,11,11,0,0.585155,0.611437,0.0262816,0,1,1,0
14.5,1666,2,0.0374306,0.0374306,0.737955,0.731175,0.00678009,34.9518,34.9247,9,9,0,0.582218,0.581877,0.0003408,0,0,1,0
14.5,1666,3,0.0243037,0.0243037,0.624819,0.60499,0.0198289,34.4993,34.42,10,10,0,0.685136,0.668347,0.0167888,0,0,1,0
15,1667,1,0.0159419,0.0159419,0.713208,0.714028,0.000819504,34.8528,34.8561,11,11,0,0.611437,0.588315,0.0231216,0,1,1,0
