time_s,ueIndex,x,y,servingCellId
0,0,372.193,632.697,1
0,1,449.521,307.974,2
0,2,677.672,711.094,1
0,3,592.267,422.737,3
0,4,544.124,715.131,1
0,5,757.404,425.105,3
0,6,738.182,595.65,3
0,7,437.135,652.4,1
0,8,259.508,379.649,2
0,9,488.328,369.403,2
0,10,750.062,357.807,3
0,11,754.184,417.803,3
0,12,417.971,475.678,2
0,13,616.299,427.647,3
0,14,539.167,346.097,3
0,15,322.068,457.801,2
0,16,495.071,535.803,1
0,17,390.004,667.251,1
0,18,260.811,368.856,2
0,19,596.712,721.017,1
0,20,472.252,360.573,2
0,21,404.873,233.604,2
0,22,372.011,491.014,2
0,23,754.167,402.993,3
0,24,704.104,686.715,1
0,25,431.109,694.089,1
0,26,316.297,599.453,2
0,27,398.262,658.854,1
0,28,402.76,391.557,2
0,29,555.612,229.283,3
0.5,0,373.591,632.154,2
0.5,1,449.324,306.487,2
0.5,2,679.065,711.649,1
0.5,3,593.766,422.778,3
0.5,4,542.645,714.88,1
0.5,5,757.44,423.605,3
0.5,6,739.094,596.84,3
0.5,7,437.159,653.9,1
0.5,8,258.157,378.996,2
0.5,9,487.173,370.36,2
0.5,10,750.31,359.286,3
0.5,11,754.08,416.306,3
0.5,12,418.034,477.177,2
0.5,13,614.907,428.205,3
0.5,14,539.155,344.597,3
0.5,15,320.709,457.167,2
0.5,16,494.187,534.592,2
0.5,17,388.991,668.358,1
0.5,18,259.502,368.125,2
0.5,19,595.399,721.743,1
0.5,20,472.224,359.073,2
0.5,21,406.289,233.109,2
0.5,22,372.747,489.707,2
0.5,23,755.612,403.394,3
0.5,24,702.979,685.723,3
0.5,25,431.7,692.71,1
0.5,26,315.471,600.705,2
0.5,27,399.762,658.848,1
0.5,28,402.947,393.046,2
0.5,29,554.256,229.923,3
1,0,374.989,631.611,1
1,1,449.127,305,2
1,2,680.459,712.203,1
1,3,595.266,422.819,3
1,4,541.166,714.629,1
1,5,757.476,422.106,3
1,6,740.007,598.031,1
1,7,437.184,655.4,1
1,8,256.807,378.343,2
1,9,486.017,371.317,2
1,10,750.559,360.766,3
1,11,753.976,414.81,3
1,12,418.098,478.675,2
1,13,613.514,428.763,3
1,14,539.144,343.097,2
1,15,319.349,456.534,2
1,16,493.302,533.38,1
1,17,387.979,669.465,1
1,18,258.192,367.393,2
1,19,594.086,722.468,1
1,20,472.196,357.573,2
1,21,407.705,232.615,2
1,22,373.484,488.401,2
1,23,757.057,403.795,3
1,24,701.854,684.731,1
1,25,432.29,691.332,1
1,26,314.644,601.957,2
1,27,401.262,658.843,1
1,28,403.134,394.534,2
1,29,552.9,230.564,2
1.5,0,376.388,631.069,2
1.5,1,448.93,303.513,2
1.5,2,681.852,712.758,1
1.5,3,596.765,422.86,3
1.5,4,539.688,714.378,1
1.5,5,757.512,420.606,3
1.5,6,740.919,599.221,3
1.5,7,437.208,656.899,1
1.5,8,255.457,377.69,2
1.5,9,484.862,372.273,2
1.5,10,750.807,362.245,3
1.5,11,753.872,413.314,3
1.5,12,418.161,480.174,2
1.5,13,612.122,429.322,3
1.5,14,539.132,341.597,2
1.5,15,317.989,455.9,2
1.5,16,492.418,532.168,2
1.5,17,386.966,670.571,1
1.5,18,256.882,366.662,2
1.5,19,592.773,723.193,1
1.5,20,472.168,356.074,2
1.5,21,409.122,232.12,2
1.5,22,374.221,487.094,2
1.5,23,758.503,404.195,3
1.5,24,700.729,683.739,1
1.5,25,432.881,689.953,1
1.5,26,313.817,603.208,2
1.5,27,402.762,658.837,1
1.5,28,403.321,396.022,2
1.5,29,551.544,231.205,2
2,0,377.786,630.526,2
2,1,448.733,302.026,2
2,2,683.246,713.313,1
2,3,598.265,422.902,3
2,4,538.209,714.127,1
2,5,757.548,419.106,3
2,6,741.832,600.412,3
2,7,437.232,658.399,1
2,8,254.106,377.037,2
2,9,483.707,373.23,2
2,10,751.056,363.724,3
2,11,753.768,411.817,3
2,12,418.225,481.673,2
2,13,610.73,429.88,3
2,14,539.121,340.097,2
2,15,316.63,455.266,2
2,16,491.534,530.957,2
2,17,385.954,671.678,1
2,18,255.573,365.931,2
2,19,591.46,723.918,1
2,20,472.14,354.574,2
2,21,410.538,231.626,2
2,22,374.957,485.787,2
2,23,759.948,404.596,3
2,24,699.603,682.747,1
2,25,433.472,688.574,1
2,26,312.99,604.46,2
2,27,404.262,658.832,1
2,28,403.508,397.511,2
2,29,550.187,231.846,2
2.5,0,379.185,629.983,2
2.5,1,448.536,300.539,2
2.5,2,684.64,713.868,1
2.5,3,599.764,422.943,3
2.5,4,536.73,713.876,1
2.5,5,757.584,417.607,3
2.5,6,742.744,601.602,1
2.5,7,437.256,659.899,1
2.5,8,252.756,376.385,2
2.5,9,482.551,374.187,2
2.5,10,751.304,365.204,3
2.5,11,753.664,410.321,3
2.5,12,418.288,483.171,2
2.5,13,609.337,430.438,3
2.5,14,539.11,338.597,2
2.5,15,315.27,454.633,2
2.5,16,490.649,529.745,2
2.5,17,384.941,672.785,1
2.5,18,254.263,365.2,2
2.5,19,590.147,724.643,1
2.5,20,472.112,353.074,2
2.5,21,411.954,231.132,2
2.5,22,375.694,484.481,2
2.5,23,761.394,404.997,3
2.5,24,698.478,681.756,1
2.5,25,434.063,687.195,1
2.5,26,312.163,605.711,2
2.5,27,405.762,658.826,1
2.5,28,403.696,398.999,2
2.5,29,548.831,232.487,2
3,0,380.583,629.44,2
