time_s,srcCellId,neighborCellId,cio_display_dB,cio_display_ie
0.5,1,2,-3,-6
0.5,1,3,-3,-6
0.5,2,1,-3,-6
0.5,2,3,-3,-6
0.5,3,1,-3.5,-7
0.5,3,2,-3.5,-7
3,1,2,-5,-10
3,1,3,-5,-10
3,2,1,3.5,7
3,2,3,3.5,7
3,3,1,-3,-6
3,3,2,-3,-6
5.5,1,2,-5,-10
5.5,1,3,-5,-10
5.5,2,1,3,6
5.5,2,3,3,6
5.5,3,1,2,4
5.5,3,2,2,4
8,1,2,-5,-10
8,1,3,-5,-10
8,2,1,4.5,9
8,2,3,4.5,9
8,3,1,-2,-4
8,3,2,-2,-4
10.5,1,2,-5,-10
10.5,1,3,-5,-10
10.5,2,1,1.5,3
10.5,2,3,1.5,3
10.5,3,1,-3,-6
10.5,3,2,-3,-6
13,1,2,-5,-10
13,1,3,-5,-10
13,2,1,5,10
13,2,3,5,10
13,3,1,-4.5,-9
13,3,2,-4.5,-9
15.5,1,2,-4,-8
15.5,1,3,-4,-8
15.5,2,1,2,4
15.5,2,3,2,4
15.5,3,1,-5,-10
15.5,3,2,-5,-10
18,1,2,-4.5,-9
18,1,3,-4.5,-9
18,2,1,3.5,7
18,2,3,3.5,7
18,3,1,-5,-10
18,3,2,-5,-10
20.5,1,2,-5,-10
20.5,1,3,-5,-10
20.5,2,1,4.5,9
20.5,2,3,4.5,9
20.5,3,1,-2,-4
20.5,3,2,-2,-4
23,1,2,-5,-10
23,1,3,-5,-10
23,2,1,3,6
23,2,3,3,6
23,3,1,-4.5,-9
23,3,2,-4.5,-9
25.5,1,2,-5,-10
25.5,1,3,-5,-10
25.5,2,1,-0,0
25.5,2,3,-0,0
25.5,3,1,-4.5,-9
25.5,3,2,-4.5,-9
28,1,2,-5,-10
28,1,3,-5,-10
28,2,1,3.5,7
28,2,3,3.5,7
28,3,1,-2,-4
28,3,2,-2,-4
30.5,1,2,-5,-10
30.5,1,3,-5,-10
30.5,2,1,0.5,1
30.5,2,3,0.5,1
30.5,3,1,-5,-10
30.5,3,2,-5,-10
33,1,2,-5,-10
33,1,3,-5,-10
33,2,1,4.5,9
33,2,3,4.5,9
33,3,1,-5,-10
33,3,2,-5,-10
35.5,1,2,-5,-10
35.5,1,3,-5,-10
35.5,2,1,-1.5,-3
35.5,2,3,-1.5,-3
35.5,3,1,-4.5,-9
35.5,3,2,-4.5,-9
38,1,2,-5,-10
38,1,3,-5,-10
38,2,1,-3.5,-7
38,2,3,-3.5,-7
38,3,1,1.5,3
38,3,2,1.5,3
40.5,1,2,-4.5,-9
40.5,1,3,-4.5,-9
40.5,2,1,-0.5,-1
40.5,2,3,-0.5,-1
40.5,3,1,-4.5,-9
40.5,3,2,-4.5,-9
43,1,2,-5,-10
43,1,3,-5,-10
43,2,1,1,2
43,2,3,1,2
43,3,1,-3.5,-7
43,3,2,-3.5,-7
45.5,1,2,-2.5,-5
45.5,1,3,-2.5,-5
45.5,2,1,-1.5,-3
45.5,2,3,-1.5,-3
45.5,3,1,-4.5,-9
45.5,3,2,-4.5,-9
48,1,2,-5,-10
48,1,3,-5,-10
48,2,1,-3.5,-7
48,2,3,-3.5,-7
48,3,1,-4.5,-9
48,3,2,-4.5,-9
50.5,1,2,-4.5,-9
50.5,1,3,-4.5,-9
50.5,2,1,2.5,5
50.5,2,3,2.5,5
50.5,3,1,-4,-8
50.5,3,2,-4,-8
53,1,2,-5,-10
53,1,3,-5,-10
53,2,1,-4,-8
53,2,3,-4,-8
53,3,1,-1.5,-3
53,3,2,-1.5,-3
55.5,1,2,-5,-10
55.5,1,3,-5,-10
55.5,2,1,4.5,9
55.5,2,3,4.5,9
55.5,3,1,-4.5,-9
55.5,3,2,-4.5,-9
58,1,2,2.5,5
58,1,3,2.5,5
58,2,1,3.5,7
58,2,3,3.5,7
58,3,1,-0,0
58,3,2,-0,0
