time_s,step,agent,buffer_size,critic_loss,actor_loss,alpha,target_q_mean,q1_mean,q2_mean,log_prob_mean,action_abs_mean,obs_mean,obs_std,obs_norm_mean,obs_norm_var
44.5,205,0,204,0.813308,0.220985,0.135491,0.593474,0.0885101,0.0291439,1.93806,0.810704,8.13615,4.10398,0.403483,1.24806
44.5,205,1,204,0.440226,-0.197214,0.135173,0.507836,0.0406602,0.0803645,-1.04654,0.590843,5.85708,3.26768,0.288318,1.17581
44.5,205,2,204,0.653983,-0.179925,0.135174,0.599869,0.0834507,0.0431676,-0.914181,0.618966,5.12096,2.19463,0.250434,1.1085
47,210,0,209,1.16256,-0.144558,0.135615,0.867415,0.186168,0.0967272,-0.238132,0.686723,8.52183,4.10867,0.785964,1.50276
47,210,1,209,0.314713,-0.308919,0.134968,0.526152,0.120907,0.168654,-1.25618,0.589926,5.94835,3.24526,0.566834,1.34694
47,210,2,209,0.664482,-0.300658,0.134968,0.705387,0.180704,0.114785,-1.25183,0.588212,5.10726,2.02064,0.486637,1.22112
49.5,215,0,214,1.15972,-0.336619,0.135602,0.987862,0.305824,0.181305,-0.994886,0.622693,8.10268,4.24591,1.1488,1.74986
49.5,215,1,214,0.210704,-0.410761,0.134761,0.542996,0.216073,0.279828,-1.27237,0.53669,6.01425,3.24668,0.826613,1.49055
49.5,215,2,214,0.539267,-0.390713,0.134758,0.745533,0.295024,0.198066,-1.27384,0.572368,5.28208,2.15943,0.716928,1.33014
52,220,0,219,0.815961,-0.478029,0.135489,0.972772,0.445285,0.280161,-1.2741,0.576973,8.02592,4.0563,1.4896,1.98507
52,220,1,219,0.140495,-0.511668,0.134554,0.586623,0.327634,0.39969,-1.15067,0.588549,5.78226,3.23698,1.07102,1.62891
52,220,2,219,0.334315,-0.501692,0.134546,0.74279,0.427194,0.301355,-1.29355,0.566756,5.10796,2.40422,0.934037,1.42554
54.5,225,0,224,0.535498,-0.615567,0.135327,1.02494,0.640904,0.424979,-1.16282,0.563948,7.71349,3.89171,1.80765,2.17354
54.5,225,1,224,0.0424104,-0.702644,0.134347,0.577399,0.483021,0.578554,-1.3469,0.561213,5.93265,3.22263,1.30926,1.75445
54.5,225,2,224,0.199232,-0.654947,0.134335,0.79401,0.60243,0.440681,-1.34159,0.553611,5.51568,2.38417,1.14893,1.52305
57,230,0,229,0.244242,-0.819737,0.135142,1.02633,0.860403,0.603371,-1.29483,0.576662,7.97047,4.04669,2.11117,2.43044
57,230,1,229,0.0487328,-0.809535,0.13414,0.570772,0.658436,0.654153,-1.26947,0.559783,5.90579,3.17191,1.53498,1.89918
57,230,2,229,0.0494787,-0.847858,0.134123,0.755899,0.793597,0.623801,-1.33949,0.508598,5.26259,2.55884,1.34655,1.65926
1,235,0,233,0.0788703,-1.03365,0.134945,1.02619,0.976335,0.817539,-1.29921,0.529941,7.802,4.19989,2.39591,2.67342
1,235,1,233,0.0292549,-0.720064,0.133933,0.578754,0.649399,0.580506,-1.27372,0.592138,5.92078,3.38022,1.74792,2.0174
1,235,2,233,0.0339753,-0.912674,0.133914,0.776488,0.803011,0.750671,-1.29716,0.586344,5.0493,2.35571,1.54358,1.78824
3.5,240,0,238,0.0598188,-1.13238,0.134742,0.971734,0.976217,1.01682,-1.27681,0.534738,7.57649,4.192,2.66046,2.90872
3.5,240,1,238,0.0438191,-0.719493,0.133732,0.599032,0.535015,0.585986,-1.33302,0.522675,5.68793,3.38673,1.94685,2.17109
3.5,240,2,238,0.0617561,-0.875931,0.133713,0.809148,0.698448,0.779947,-1.31642,0.519804,5.31272,2.63452,1.72788,1.90671
6,245,0,243,0.0497267,-1.23023,0.13454,1.03758,1.04166,1.10767,-1.32422,0.546966,8.01645,4.21092,2.91495,3.13163
6,245,1,243,0.04307,-0.806828,0.133532,0.642658,0.640137,0.638757,-1.33356,0.553319,6.13651,3.23171,2.14412,2.29962
6,245,2,243,0.0349509,-0.987505,0.133512,0.818525,0.828739,0.803309,-1.38558,0.554526,5.40597,2.42724,1.90748,2.02558
8.5,250,0,248,0.0373934,-1.19691,0.134338,1.0664,1.06134,1.02743,-1.3189,0.541804,7.92173,3.96798,3.16202,3.3199
8.5,250,1,248,0.0284675,-0.829951,0.133332,0.632421,0.682873,0.658535,-1.37022,0.488691,6.16847,3.41919,2.33576,2.41183
8.5,250,2,248,0.0307175,-0.999481,0.133312,0.834647,0.838882,0.852956,-1.35664,0.510761,5.47232,2.36279,2.07708,2.13294
11,255,0,253,0.0527677,-1.21379,0.134136,1.03002,1.06626,1.05844,-1.28646,0.570087,7.98,4.18022,3.3891,3.56283
