time_s,cellId,ueCount,edgeUeCount,cellDlThp_kbps,cellUlThp_kbps,avgCqi,txPower_dBm,prbUtilDl
0.4,1,14,0,0,7291.04,0,32,0.64
0.4,2,9,0,0,12596.9,0,32,0.64
0.4,3,7,0,0,10666.6,0,32,0.64
0.9,1,14,0,8147.68,2516.72,0,32,0.64
0.9,2,9,0,6992.88,4275.68,0,32,0.64
0.9,3,7,0,7638.48,3423.52,0,32,0.64
1.4,1,14,0,7905.44,2436.64,0,32,0.64
1.4,2,9,0,7146.08,4434.08,0,32,0.64
1.4,3,7,0,7918.56,3423.68,0,32,0.64
1.9,1,14,0,7811.84,2504.56,0,32,0.64
1.9,2,9,0,6892.24,4481.76,0,32,0.64
1.9,3,7,0,7974.48,3423.52,0,32,0.64
2.4,1,14,0,8033.6,2448.8,0,32,0.64
2.4,2,9,0,6613.12,4351.84,0,32,0.64
2.4,3,7,0,8107.36,3423.52,0,32,0.64
2.9,1,14,0,8013.12,2587.68,0,32,0.64
2.9,2,9,0,6591.84,4405.28,0,32,0.64
2.9,3,7,0,8119.44,3423.68,0,32,0.64
3.4,1,14,0,8282.72,2541.84,0,32,0.64
3.4,2,9,0,6591.84,4527.92,0,32,0.64
3.4,3,7,0,8076.96,3423.52,0,32,0.64
3.9,1,14,0,8117.6,2653.2,0,32,0.64
3.9,2,9,0,6620,4500.32,0,32,0.64
3.9,3,7,0,8054.32,3423.52,0,32,0.64
4.4,1,14,0,8014.24,2618.4,0,32,0.64
4.4,2,9,0,6574.4,4482.24,0,32,0.64
4.4,3,7,0,7981.04,3423.68,0,32,0.64
4.9,1,14,0,8065.84,2627.68,0,32,0.64
4.9,2,9,0,6659.84,4396,0,32,0.64
4.9,3,7,0,7913.36,3423.52,0,32,0.64
5.4,1,14,0,8027.68,2556.88,0,32,0.64
5.4,2,9,0,6676.32,4360.56,0,32,0.64
5.4,3,7,0,8192.48,3423.52,0,32,0.64
5.9,1,14,0,8016.32,2638.72,0,32,0.64
5.9,2,9,0,6703.2,4548.72,0,32,0.64
5.9,3,7,0,8020.88,3423.52,0,32,0.64
6.4,1,14,0,7704.96,2428.32,0,32,0.64
6.4,2,9,0,6683.92,4510.72,0,32,0.64
6.4,3,7,0,8194.88,3423.52,0,32,0.64
6.9,1,14,0,7789.44,2450.48,0,32,0.64
6.9,2,9,0,6704.48,4576.24,0,32,0.64
6.9,3,7,0,7943.44,3423.52,0,32,0.64
7.4,1,14,0,7830.24,2428.24,0,32,0.64
7.4,2,9,0,6670.56,4434,0,32,0.64
7.4,3,7,0,7928,3423.52,0,32,0.64
7.9,1,14,0,7982,2537.6,0,32,0.64
7.9,2,9,0,6704.48,4356.8,0,32,0.64
7.9,3,7,0,8209.36,3231.44,0,32,0.64
8.4,1,14,0,8234.08,2494.72,0,32,0.64
8.4,2,9,0,6756.64,4519.68,0,32,0.64
8.4,3,7,0,8029.36,3231.52,0,32,0.64
8.9,1,14,0,8107.68,2559.76,0,32,0.64
8.9,2,9,0,6655.84,4594.32,0,32,0.64
8.9,3,7,0,8085.92,3231.52,0,32,0.64
9.4,1,14,0,8062,2559.84,0,32,0.64
9.4,2,9,0,6704.64,4426.56,0,32,0.64
9.4,3,7,0,8275.04,3231.68,0,32,0.64
9.9,1,14,0,8157.28,2494.8,0,32,0.64
9.9,2,9,0,6684,4355.84,0,32,0.64
9.9,3,7,0,8623.84,3231.52,0,32,0.64
10.4,1,14,0,8204.64,2515.44,0,32,0.64
10.4,2,9,0,6630.88,4142.32,0,32,0.64
10.4,3,7,0,8591.68,3231.52,0,32,0.64
10.9,1,14,0,8277.12,2515.52,0,32,0.64
10.9,2,9,0,6731.36,4360.08,0,32,0.64
10.9,3,7,0,8652,3231.68,0,32,0.64
11.4,1,14,0,8313.36,2448.96,0,32,0.64
11.4,2,9,0,6729.76,4526.32,0,32,0.64
11.4,3,7,0,8592.96,3231.52,0,32,0.64
11.9,1,14,0,8189.84,2205.2,0,32,0.64
11.9,2,9,0,6496.96,4509.84,0,32,0.64
11.9,3,7,0,8564.8,3231.52,0,32,0.64
12.4,1,14,0,8229.68,2295.36,0,32,0.64
12.4,2,9,0,6562.64,4276.8,0,32,0.64
12.4,3,7,0,8742.08,3231.68,0,32,0.64
12.9,1,14,0,8276.96,2292.48,0,32,0.64
12.9,2,9,0,6562.48,4129.2,0,32,0.64
12.9,3,7,0,8735.04,3231.52,0,32,0.64
13.4,1,14,0,8313.28,2184.48,0,32,0.64
13.4,2,9,0,6348.96,4199.76,0,32,0.64
13.4,3,7,0,8706.88,3231.52,0,32,0.64
13.9,1,14,0,8277.04,2404.72,0,32,0.64
13.9,2,9,0,6349.04,4291.68,0,32,0.64
13.9,3,7,0,8674.72,3231.68,0,32,0.64
14.4,1,14,0,8229.76,2360.32,0,32,0.64
14.4,2,9,0,6492.16,4317.44,0,32,0.64
14.4,3,7,0,8735.04,3231.52,0,32,0.64
14.9,1,14,0,8204.64,2118.08,0,32,0.64
14.9,2,9,0,6574.16,4256.88,0,32,0.64
14.9,3,7,0,8611.12,3231.52,0,32,0.64
15.4,1,14,0,8259.68,2285.04,0,32,0.64
15.4,2,9,0,6574,4126.08,0,32,0.64
15.4,3,7,0,8550.8,3231.68,0,32,0.64
15.9,1,14,0,8538.08,2292.88,0,32,0.64
15.9,2,9,0,6574,4091.36,0,32,0.64
15.9,3,7,0,8734.72,3231.52,0,32,0.64
16.4,1,14,0,8338.32,2379.36,0,32,0.64
16.4,2,9,0,6574.16,4254.88,0,32,0.64
16.4,3,7,0,8508.08,3228.56,0,32,0.64
16.9,1,14,0,8447.44,2223.44,0,32,0.64
16.9,2,9,0,6594.56,4278.88,0,32,0.64
16.9,3,7,0,8475.92,3231.68,0,32,0.64
17.4,1,14,0,8442,2265.68,0,32,0.64
17.4,2,9,0,6594.4,4273.6,0,32,0.64
17.4,3,7,0,8548.96,3231.52,0,32,0.64
17.9,1,14,0,8549.52,1933.28,0,32,0.64
17.9,2,9,0,6594.72,4165.68,0,32,0.64
17.9,3,7,0,8548.88,3228.56,0,32,0.64
18.4,1,14,0,8443.44,2068.32,0,32,0.64
18.4,2,9,0,6594.56,4042.72,0,32,0.64
18.4,3,7,0,8548.96,3221.6,0,32,0.64
18.9,1,14,0,8418.56,2040.08,0,32,0.64
18.9,2,9,0,7029.2,4170.16,0,32,0.64
18.9,3,7,0,9110.4,3231.52,0,32,0.64
19.4,1,14,0,8440.32,1887.04,0,32,0.64
19.4,2,9,0,7297.12,4207.6,0,32,0.64
19.4,3,7,0,9036.56,3231.52,0,32,0.64
19.9,1,14,0,8502.24,2064.72,0,32,0.64
19.9,2,9,0,6985.28,4260.24,0,32,0.64
19.9,3,7,0,9082.24,3231.68,0,32,0.64
20.4,1,14,0,8772.8,1948,0,32,0.64
20.4,2,9,0,6985.28,4169.84,0,32,0.64
20.4,3,7,0,9236.64,3221.44,0,32,0.64
20.9,1,14,0,8858.96,2054.88,0,32,0.64
20.9,2,9,0,6985.44,3986.48,0,32,0.64
20.9,3,7,0,8964.16,3231.52,0,32,0.64
