time_s,step,cellId,cio_l2_change,max_cio_change,txp_raw_curr,txp_raw_prev,txp_raw_change,txp_dBm_curr,txp_dBm_prev,ue_count_prev,ue_count_curr,ue_count_change,reward_prev,reward_curr,reward_change,consecutive_stagnant_steps,cio_stagnant,txp_stagnant,is_stagnant
0.5,1001,1,-1,-1,0.951779,0.951779,-1,35.8071,35.8071,14,14,0,0.546957,0.546957,0,0,0,0,0
0.5,1001,2,-1,-1,0.821077,0.821077,-1,35.2843,35.2843,9,9,0,0.600064,0.600064,0,0,0,0,0
0.5,1001,3,-1,-1,0.652272,0.652272,-1,34.6091,34.6091,7,7,0,0.722091,0.722091,0,0,0,0,0
0.6,1002,1,0.0141309,0.0141309,0.952433,0.951779,0.000653923,35.8097,35.8071,14,14,0,0.546957,0.581861,0.034904,0,1,1,0
0.6,1002,2,0.0136514,0.0136514,0.818226,0.821077,0.00285101,35.2729,35.2843,9,9,0,0.600064,0.640872,0.040808,0,1,1,0
0.6,1002,3,0.0197814,0.0197814,0.652187,0.652272,8.5175e-05,34.6087,34.6091,7,7,0,0.722091,0.675059,0.047032,0,1,1,0
0.7,1003,1,0.00524632,0.00524632,0.9527,0.952433,0.000267863,35.8108,35.8097,14,14,0,0.581861,0.592661,0.0108,0,1,1,0
0.7,1003,2,0.00339779,0.00339779,0.817589,0.818226,0.000637352,35.2704,35.2729,9,9,0,0.640872,0.649944,0.009072,0,1,1,1
0.7,1003,3,0.00464374,0.00464374,0.6522,0.652187,1.3411e-05,34.6088,34.6087,7,7,0,0.675059,0.663995,0.011064,0,1,1,0
0.8,1004,1,0.00778896,0.00778896,0.952302,0.9527,0.000398219,35.8092,35.8108,14,14,0,0.592661,0.576629,0.016032,0,1,1,0
0.8,1004,2,0.00105448,0.00105448,0.817787,0.817589,0.000198007,35.2711,35.2704,9,9,0,0.649944,0.647128,0.002816,0,1,1,1
0.8,1004,3,0.00432292,0.00432292,0.652213,0.6522,1.24574e-05,34.6089,34.6088,7,7,0,0.663995,0.653675,0.01032,0,1,1,0
0.9,1005,1,0.00238771,0.00238771,0.952179,0.952302,0.000122666,35.8087,35.8092,14,14,0,0.576629,0.571717,0.004912,0,1,1,1
0.9,1005,2,0.000883766,0.000883766,0.817621,0.817787,0.00016588,35.2705,35.2711,9,9,0,0.647128,0.649488,0.00236,0,1,1,1
0.9,1005,3,0.00229107,0.00229107,0.652206,0.652213,6.61612e-06,34.6088,34.6089,7,7,0,0.653675,0.659147,0.005472,0,1,1,1
