time_s,cellId,cioRaw,txpRaw,selfCio_display_dB,txpApplied_dBm,cellThp_kbps,alpha
0.4,1,0,0,0,32,12282,0
0.4,2,0,0,0,32,12370,0
0.4,3,0,0,0,32,10094.6,0
0.9,1,0,0,0,32,14746.1,0
0.9,2,0,0,0,32,14107.7,0
0.9,3,0,0,0,32,12321.8,0
1.4,1,0,0,0,32,14928.6,0
1.4,2,0,0,0,32,13805.8,0
1.4,3,0,0,0,32,12307.9,0
1.9,1,0,0,0,32,15363.4,0
1.9,2,0,0,0,32,13934.7,0
1.9,3,0,0,0,32,12496.9,0
2.4,1,0,0,0,32,15311.9,0
2.4,2,0,0,0,32,13955.8,0
2.4,3,0,0,0,32,12249,0
2.9,1,0,0,0,32,15614.1,0
2.9,2,0,0,0,32,13863.2,0
2.9,3,0,0,0,32,12358.2,0
3.4,1,0,0,0,32,15120,0
3.4,2,0,0,0,32,13851.1,0
3.4,3,0,0,0,32,12222.9,0
3.9,1,0,0,0,32,14967.4,0
3.9,2,0,0,0,32,13862.5,0
3.9,3,0,0,0,32,12533.8,0
4.4,1,0,0,0,32,15062.7,0
4.4,2,0,0,0,32,13702.2,0
4.4,3,0,0,0,32,12578.6,0
4.9,1,0,0,0,32,15015.4,0
4.9,2,0,0,0,32,13866.2,0
4.9,3,0,0,0,32,12459,0
5.4,1,0,0,0,32,15175.1,0
5.4,2,0,0,0,32,14024.8,0
5.4,3,0,0,0,32,12425.4,0
5.9,1,0,0,0,32,15311.3,0
5.9,2,0,0,0,32,14175.4,0
5.9,3,0,0,0,32,12698.9,0
6.4,1,0,0,0,32,15111.9,0
6.4,2,0,0,0,32,13424.2,0
6.4,3,0,0,0,32,12806.5,0
6.9,1,0,0,0,32,15290.5,0
6.9,2,0,0,0,32,13674.9,0
6.9,3,0,0,0,32,13181.4,0
7.4,1,0,0,0,32,15187.1,0
7.4,2,0,0,0,32,13634.9,0
7.4,3,0,0,0,32,13274.6,0
7.9,1,0,0,0,32,15501.9,0
7.9,2,0,0,0,32,13472.2,0
7.9,3,0,0,0,32,13287.1,0
8.4,1,0,0,0,32,15198.2,0
8.4,2,0,0,0,32,13413.4,0
8.4,3,0,0,0,32,13622.6,0
8.9,1,0,0,0,32,14513.9,0
8.9,2,0,0,0,32,13466.2,0
8.9,3,0,0,0,32,13211,0
9.4,1,0,0,0,32,14855,0
9.4,2,0,0,0,32,13153.8,0
9.4,3,0,0,0,32,12971.7,0
9.9,1,0,0,0,32,14314.7,0
9.9,2,0,0,0,32,13247.9,0
9.9,3,0,0,0,32,13142.6,0
10.4,1,0,0,0,32,14393.3,0
10.4,2,0,0,0,32,13123.4,0
10.4,3,0,0,0,32,13303,0
10.9,1,0,0,0,32,14454.4,0
10.9,2,0,0,0,32,13670.6,0
10.9,3,0,0,0,32,13156.4,0
11.4,1,0,0,0,32,14982.7,0
11.4,2,0,0,0,32,13715.8,0
11.4,3,0,0,0,32,14281.4,0
11.9,1,0,0,0,32,14755.6,0
11.9,2,0,0,0,32,13680.9,0
11.9,3,0,0,0,32,14775.4,0
12.4,1,0,0,0,32,14789.7,0
12.4,2,0,0,0,32,13687.3,0
12.4,3,0,0,0,32,14818.7,0
