time_s,step,reward_cell1,reward_cell2,reward_cell3,prb_std,ue_std
0.4,0,-0.2,-0.166667,-0.0333333,0,0.0720082
0.5,1,0.924792,0.789637,0.870883,0,0.0720082
0.6,2,0.96708,0.825661,0.853491,0,0.0720082
0.7,3,0.957216,0.823109,0.891139,0,0.0720082
0.8,4,0.977176,0.788581,0.849147,0,0.0720082
0.9,5,0.94488,0.822765,0.875243,0,0.0720082
1,6,0.946984,0.819157,0.882451,0,0.0720082
1.1,7,0.957224,0.793597,0.875219,0,0.0720082
1.2,8,0.965608,0.825677,0.876883,0,0.0720082
1.3,9,0.95472,0.812605,0.870891,0,0.0720082
1.4,10,0.93716,0.794021,0.875243,0,0.0720082
1.5,11,0.968824,0.826397,0.897419,0,0.0720082
1.6,12,0.95472,0.820597,0.899723,0,0.0720082
1.7,13,0.966184,0.794365,0.872763,0,0.0720082
1.8,14,0.981224,0.821293,0.899731,0,0.0720082
1.9,15,0.959584,0.820629,0.891371,0,0.0720082
2,16,0.973144,0.788213,0.911531,0,0.0720082
2.1,17,0.981992,0.821317,0.856323,0,0.0720082
2.2,18,0.975664,0.823861,0.871203,0,0.0720082
2.3,19,0.961904,0.791133,0.856963,0,0.0720082
2.4,20,0.964784,0.823125,0.866587,0,0.0720082
2.5,21,1.00442,0.810797,0.883923,0,0.0720082
2.6,22,0.994088,0.798725,0.847627,0,0.0720082
2.7,23,0.967416,0.826765,0.875923,0,0.0720082
2.8,24,0.994096,0.815901,0.851619,0,0.0720082
2.9,25,1.00995,0.798357,0.880275,0,0.0720082
3,26,0.999752,0.814029,0.848611,0,0.0720082
3.1,27,0.980144,0.824197,0.870227,0,0.0720082
3.2,28,0.997344,0.793741,0.865659,0,0.0720082
3.3,29,0.975576,0.773941,0.874579,0,0.0720082
3.4,30,0.960536,0.798933,0.867227,0,0.0720082
3.5,31,0.998344,0.766509,0.860307,0,0.0720082
3.6,32,0.995408,0.792621,0.880267,0,0.0720082
3.7,33,0.990576,0.798565,0.890219,0,0.0720082
3.8,34,0.988792,0.767837,0.877283,0,0.0720082
3.9,35,0.992616,0.799661,0.903227,0,0.0720082
4,36,0.96816,0.796701,0.892355,0,0.0720082
4.1,37,0.995408,0.791869,0.894539,0,0.0720082
4.2,38,0.992312,0.786509,0.908931,0,0.0720082
4.3,39,0.987056,0.823517,0.884275,0,0.0720082
4.4,40,0.99436,0.791973,0.908923,0,0.0720082
4.5,41,0.9966,0.810829,0.890331,0,0.0720082
4.6,42,0.986288,0.790253,0.890187,0,0.0720082
4.7,43,0.971248,0.813205,0.892355,0,0.0720082
4.8,44,0.988792,0.814437,0.894531,0,0.0720082
4.9,45,0.992616,0.817565,0.898675,0,0.0720082
5,46,0.98424,0.807157,0.908931,0,0.0720082
5.1,47,0.988368,0.821029,0.890179,0,0.0720082
5.2,48,0.991072,0.835909,0.890307,0,0.0720082
5.3,49,0.9566,0.823917,0.894539,0,0.0720082
5.4,50,1.00144,0.804245,0.892379,0,0.0720082
5.5,51,1.02224,0.823885,0.895163,0,0.0720082
5.6,52,0.993288,0.827861,0.924571,0,0.0720082
5.7,53,1.01872,0.828269,0.913691,0,0.0720082
5.8,54,0.988632,0.796637,0.923579,0,0.0720082
5.9,55,1.01844,0.831541,0.920219,0,0.0720082
6,56,1.00077,0.826581,0.903987,0,0.0720082
6.1,57,1.0087,0.789021,0.920211,0,0.0720082
6.2,58,1.01796,0.818741,0.932067,0,0.0720082
6.3,59,0.981936,0.752757,0.918251,0,0.0720082
6.4,60,1.0059,0.757421,0.911547,0,0.0720082
6.5,61,1.02078,0.776661,0.919235,0,0.0720082
6.6,62,1.00872,0.755677,0.904139,0,0.0720082
6.7,63,0.990272,0.780645,0.924571,0,0.0720082
6.8,64,1.00702,0.758941,0.922235,0,0.0720082
6.9,65,1.01972,0.773389,0.948547,0,0.0720082
7,66,1.00275,0.784749,0.966275,0,0.0720082
7.1,67,0.994168,0.755373,0.964587,0,0.0720082
7.2,68,1.0309,0.778701,0.959059,0,0.0720082
7.3,69,1.01486,0.753629,0.973179,0,0.0720082
7.4,70,0.996424,0.780181,0.955907,0,0.0720082
7.5,71,1.00855,0.752157,0.967603,0,0.0720082
7.6,72,1.0165,0.782685,0.946003,0,0.0720082
7.7,73,1.00276,0.755685,0.976659,0,0.0720082
7.8,74,0.997376,0.775893,0.974123,0,0.0720082
7.9,75,1.02691,0.758189,0.935043,0,0.0720082
8,76,1.01282,0.778133,0.969795,0,0.0720082
8.1,77,1.0309,0.737125,0.946827,0,0.0720082
8.2,78,0.961048,0.739557,0.965227,0.0150849,0.0720082
8.3,79,1.02809,0.741781,0.935259,0,0.0720082
8.4,80,0.995536,0.736749,0.969811,0,0.0720082
8.5,81,1.00388,0.737621,0.937123,0,0.0720082
8.6,82,1.0137,0.726317,0.946643,0,0.0720082
8.7,83,1.01301,0.741781,0.939067,0,0.0720082
8.8,84,0.94892,0.733525,0.923171,0,0.0720082
8.9,85,0.937464,0.746341,0.926691,0,0.0720082
9,86,0.97812,0.719069,0.924955,0,0.0720082
9.1,87,0.929976,0.743525,0.928371,0,0.0720082
9.2,88,0.965208,0.727781,0.926683,0,0.0720082
9.3,89,0.957568,0.721285,0.929507,0,0.0720082
9.4,90,0.958568,0.717157,0.902763,0,0.0720082
9.5,91,0.960928,0.736197,0.939739,0,0.0720082
9.6,92,0.936288,0.745893,0.939059,0,0.0720082
9.7,93,0.975304,0.731093,0.923171,0,0.0720082
9.8,94,0.945944,0.729805,0.926691,0,0.0720082
9.9,95,0.904528,0.731093,0.920595,0,0.0720082
10,96,0.948624,0.709309,0.932723,0,0.0720082
10.1,97,0.926312,0.731093,0.929507,0,0.0720082
10.2,98,0.964936,0.729797,0.926691,0,0.0720082
