time_s,cellId,ueCount,edgeUeCount,cellDlThp_kbps,cellUlThp_kbps,avgCqi,txPower_dBm,prbUtilDl
0.4,1,12,0,0,12282,0,32,0.64
0.4,2,11,0,0,12370,0,32,0.64
0.4,3,7,0,0,10094.6,0,32,0.64
0.9,1,12,0,12343.7,3158.72,0,35,0.64
0.9,2,11,0,9430.64,4199.28,0,34,0.64
0.9,3,7,0,9069.92,3236,0,34,0.64
1.4,1,12,0,12647.6,3551.6,0,35,0.64
1.4,2,11,0,9512.72,4199.04,0,34,0.64
1.4,3,7,0,8825.92,3217.28,0,34,0.64
1.9,1,12,0,12609.6,3763.12,0,35,0.64
1.9,2,11,0,9550.4,4061.84,0,34,0.64
1.9,3,7,0,8830.96,3249.84,0,34,0.64
2.4,1,12,0,12921.7,3656.32,0,35,0.64
2.4,2,11,0,9549.12,4058.08,0,34,0.64
2.4,3,7,0,8918,3249.84,0,34,0.64
2.9,1,12,0,12592,3514.64,0,35,0.64
2.9,2,11,0,9432.16,4213.2,0,34,0.64
2.9,3,7,0,8936.64,3217.28,0,34,0.64
3.4,1,12,0,13076.1,3544.56,0,35,0.64
3.4,2,11,0,9579.68,4195.2,0,34,0.64
3.4,3,7,0,9132.4,3212.4,0,34,0.64
3.9,1,12,0,12704.5,3041.36,0,35,0.64
3.9,2,11,0,9368.24,4199.28,0,34,0.64
3.9,3,7,0,9216,3163.36,0,34,0.64
4.4,1,12,0,12799.3,3126.88,0,35,0.64
4.4,2,11,0,9432.96,4115.92,0,34,0.64
4.4,3,7,0,9045.52,3156,0,34,0.64
4.9,1,12,0,12876.5,3134.56,0,35,0.64
4.9,2,11,0,9582.96,4024,0,34,0.64
4.9,3,7,0,8936.4,3134,0,34,0.64
5.4,1,12,0,13171.1,3168.48,0,35,0.64
5.4,2,11,0,8979.76,4315.84,0,34,0.64
5.4,3,7,0,9020.08,3163.36,0,34,0.64
5.9,1,12,0,12890.6,3164.48,0,35,0.64
5.9,2,11,0,8926.8,4193.52,0,34,0.64
5.9,3,7,0,9184.56,3163.36,0,34,0.64
6.4,1,12,0,13093.3,3029.6,0,35,0.64
6.4,2,11,0,8761.68,4183.52,0,34,0.64
6.4,3,7,0,8937.76,3362.56,0,34,0.64
6.9,1,12,0,12859.9,3153.04,0,35,0.64
6.9,2,11,0,8911.92,4274.32,0,34,0.64
6.9,3,7,0,9142.08,3362.56,0,34,0.64
7.4,1,12,0,13118.4,3222.96,0,35,0.64
7.4,2,11,0,8258.48,4166.56,0,34,0.64
7.4,3,7,0,8964.4,3377.28,0,34,0.64
7.9,1,12,0,13545.8,3252.8,0,35,0.64
7.9,2,11,0,8422.4,4223.84,0,34,0.64
7.9,3,7,0,9168.64,3598.48,0,34,0.64
8.4,1,12,0,13351.8,3202.96,0,35,0.64
8.4,2,11,0,8457.68,4349.44,0,34,0.64
8.4,3,7,0,9426.32,3591.12,0,34,0.64
8.9,1,12,0,13580,3119.44,0,35,0.64
8.9,2,11,0,8575.36,4336.16,0,34,0.64
8.9,3,7,0,9295.84,3610.72,0,34,0.64
9.4,1,12,0,13551.4,3259.36,0,35,0.64
9.4,2,11,0,8368.72,4315.76,0,34,0.64
9.4,3,7,0,9437.04,3610.72,0,34,0.64
9.9,1,12,0,13559.5,3279.28,0,35,0.64
9.9,2,11,0,8430.8,4330,0,34,0.64
9.9,3,7,0,9341.52,3596.24,0,34,0.64
10.4,1,12,0,13476.2,3221.44,0,35,0.608
10.4,2,11,0,8395.6,4363.76,0,34,0.64
10.4,3,7,0,9724.08,3579.12,0,34,0.64
10.9,1,12,0,13248.9,3251.2,0,35,0.64
10.9,2,11,0,8209.36,4757.92,0,34,0.64
10.9,3,7,0,9724.08,3593.6,0,34,0.64
11.4,1,12,0,12946.6,3271.04,0,35,0.64
11.4,2,11,0,8010,4625.2,0,34,0.64
11.4,3,7,0,9434.72,3932.72,0,34,0.64
11.9,1,12,0,13308.2,3217.44,0,35,0.64
11.9,2,11,0,8268.16,4729.04,0,34,0.64
11.9,3,7,0,9715.52,4122.08,0,34,0.64
12.4,1,12,0,12792.2,3365.44,0,35,0.64
12.4,2,11,0,8268.16,4838.16,0,34,0.64
12.4,3,7,0,10121.5,4131.92,0,34,0.64
12.9,1,12,0,13011,3415.2,0,35,0.64
12.9,2,11,0,8141.76,5136.64,0,34,0.64
12.9,3,7,0,9991.04,4117.68,0,34,0.64
13.4,1,12,0,12967,3375.52,0,35,0.64
13.4,2,11,0,8142,5282.16,0,34,0.64
13.4,3,7,0,10799.4,4124.8,0,34,0.64
13.9,1,12,0,12897.4,3405.28,0,35,0.64
13.9,2,11,0,8068.16,5264.8,0,34,0.64
13.9,3,7,0,10759.8,4117.28,0,34,0.64
14.4,1,12,0,12860.7,3375.28,0,35,0.64
14.4,2,11,0,8477.12,5274.88,0,34,0.64
14.4,3,7,0,10889.8,4122.16,0,34,0.64
14.9,1,12,0,12767.6,3445.2,0,35,0.64
14.9,2,11,0,7954.56,5256.96,0,34,0.64
14.9,3,7,0,10502.4,4110.56,0,34,0.64
15.4,1,12,0,12672.1,3375.28,0,35,0.64
15.4,2,11,0,8128.16,4994.32,0,34,0.64
15.4,3,7,0,10464,4107.92,0,34,0.64
15.9,1,12,0,12692.6,3355.52,0,35,0.64
15.9,2,11,0,8156.64,5130.24,0,34,0.64
15.9,3,7,0,10693,4102.8,0,34,0.64
16.4,1,12,0,12667.4,3357.84,0,35,0.64
16.4,2,11,0,8164.32,5172.96,0,34,0.64
16.4,3,7,0,10654.2,4122.16,0,34,0.64
16.9,1,12,0,12416.6,3361.52,0,35,0.64
16.9,2,11,0,8133.04,5223.2,0,34,0.64
16.9,3,7,0,10283.8,4117.28,0,34,0.64
17.4,1,12,0,12849.6,3361.52,0,35,0.64
17.4,2,11,0,8048.24,5044.64,0,34,0.64
17.4,3,7,0,10362.9,4090.72,0,34,0.64
