time_s,step,reward_cell1,reward_cell2,reward_cell3,prb_std,ue_std
0.5,1001,0.92032,0.789077,0.870339,0,0.0720082
0.6,1002,0.99608,0.769517,0.879035,0,0.0720082
0.7,1003,1.05922,0.781477,0.852779,0,0.0720082
0.8,1004,1.06759,0.778397,0.847779,0,0.0720082
0.9,1005,1.03437,0.776397,0.873659,0,0.0720082
1,1006,1.06302,0.749701,0.840227,0,0.0720082
1.1,1007,1.06,0.780413,0.856747,0,0.0720082
1.2,1008,1.06759,0.777789,0.844595,0,0.0720082
1.3,1009,1.05894,0.750733,0.837291,0,0.0720082
1.4,1010,1.06476,0.784605,0.849259,0,0.0720082
1.5,1011,1.05542,0.778157,0.851123,0,0.0720082
1.6,1012,1.07009,0.780901,0.836723,0.0150849,0.0720082
1.7,1013,1.04164,0.764853,0.864163,0,0.0720082
1.8,1014,1.0529,0.786909,0.832499,0,0.0720082
1.9,1015,1.06096,0.788373,0.849763,0,0.0720082
2,1016,1.05075,0.757653,0.854243,0,0.0720082
2.1,1017,1.07674,0.787661,0.849771,0,0.0720082
2.2,1018,1.0935,0.794773,0.852755,0,0.0720082
2.3,1019,1.0592,0.754845,0.851123,0,0.0720082
2.4,1020,1.09217,0.788245,0.858467,0,0.0720082
2.5,1021,1.08765,0.782557,0.845547,0,0.0720082
2.6,1022,1.07742,0.792381,0.849755,0,0.0720082
2.7,1023,1.07221,0.766085,0.845555,0,0.0720082
2.8,1024,1.10761,0.793453,0.865235,0,0.0720082
2.9,1025,1.0592,0.776549,0.860331,0,0.0720082
3,1026,1.09042,0.791269,0.867243,0,0.0720082
3.1,1027,1.08765,0.793077,0.868699,0,0.0720082
3.2,1028,1.07916,0.800605,0.875915,0,0.0720082
3.3,1029,1.0722,0.770141,0.847635,0,0.0720082
3.4,1030,1.10761,0.791301,0.879907,0,0.0720082
3.5,1031,1.05746,0.794061,0.843283,0,0.0720082
3.6,1032,1.09217,0.768677,0.884259,0,0.0720082
3.7,1033,1.08765,0.800237,0.867219,0,0.0720082
3.8,1034,1.07916,0.797445,0.856323,0,0.0720082
3.9,1035,1.07045,0.770157,0.888267,0,0.0720082
4,1036,1.10761,0.790069,0.843283,0,0.0720082
4.1,1037,1.0592,0.797093,0.884251,0,0.0720082
4.2,1038,1.09217,0.775773,0.843275,0,0.0720082
4.3,1039,1.08514,0.787693,0.880275,0,0.0720082
4.4,1040,1.07993,0.776629,0.871219,0,0.0720082
4.5,1041,1.07221,0.786837,0.843275,0,0.0720082
4.6,1042,1.10761,0.793461,0.888259,0,0.0720082
4.7,1043,1.08514,0.779437,0.856331,0,0.0720082
4.8,1044,1.06449,0.793485,0.867235,0,0.0720082
4.9,1045,1.08765,0.791629,0.860307,0,0.0720082
5,1046,1.07916,0.764885,0.880267,0,0.0720082
5.1,1047,1.07046,0.796341,0.861523,0,0.0720082
5.2,1048,1.10667,0.706421,0.861667,0,0.0720082
5.3,1049,1.08906,0.702717,0.867219,0,0.0720082
5.4,1050,1.11711,0.731309,0.868675,0,0.0720082
5.5,1051,1.10838,0.728517,0.867219,0,0.0720082
5.6,1052,1.08693,0.706989,0.869547,0,0.0720082
5.7,1053,1.10838,0.728517,0.885139,0,0.0720082
5.8,1054,1.12344,0.709509,0.877059,0,0.0720082
5.9,1055,1.08906,0.726013,0.885123,0,0.0720082
6,1056,1.10626,0.709501,0.901627,0,0.0720082
6.1,1057,1.11751,0.724533,0.885155,0,0.0720082
6.2,1058,1.09499,0.710973,0.889131,0,0.0720082
6.3,1059,1.10207,0.724533,0.855451,0,0.0720082
6.4,1060,1.10933,0.709501,0.860443,0,0.0720082
6.5,1061,1.10143,0.726013,0.855459,0,0.0720082
6.6,1062,1.108,0.709509,0.869147,0,0.0720082
6.7,1063,1.11751,0.726005,0.858275,0,0.0720082
6.8,1064,1.10933,0.709501,0.848075,0,0.0720082
6.9,1065,1.08599,0.724525,0.880875,0,0.0720082
7,1066,1.11106,0.673797,0.835027,0,0.0720082
7.1,1067,1.12911,0.689541,0.871315,0,0.0720082
7.2,1068,1.07858,0.674365,0.860451,0,0.0720082
7.3,1069,1.11674,0.670381,0.855451,0,0.0720082
7.4,1070,1.11184,0.659181,0.863107,0,0.0720082
7.5,1071,1.08599,0.674357,0.861483,0,0.0720082
7.6,1072,1.10933,0.664573,0.850899,0,0.0720082
7.7,1073,1.12911,0.698101,0.870683,0,0.0720082
7.8,1074,1.0933,0.694845,0.845219,0,0.0720082
7.9,1075,1.15458,0.675573,0.883531,0,0.0720082
8,1076,1.16363,0.694829,0.854107,0,0.0720082
8.1,1077,1.14141,0.680149,0.903291,0,0.0720082
8.2,1078,1.14488,0.675109,0.918867,0,0.0720082
8.3,1079,1.17161,0.658429,0.887771,0,0.0720082
8.4,1080,1.13518,0.679101,0.909299,0,0.0720082
8.5,1081,1.1575,0.670381,0.910363,0,0.0720082
8.6,1082,1.15649,0.664757,0.896251,0,0.0720082
8.7,1083,1.16001,0.690869,0.903483,0,0.0720082
8.8,1084,1.13036,0.692181,0.911835,0,0.0720082
8.9,1085,1.158,0.690869,0.896251,0,0.0720082
9,1086,1.13717,0.670205,0.894779,0,0.0720082
9.1,1087,1.12955,0.692341,0.924891,0,0.0720082
9.2,1088,1.15766,0.692165,0.903475,0,0.0720082
9.3,1089,1.13926,0.690869,0.896243,0,0.0720082
9.4,1090,1.15514,0.670205,0.910371,0,0.0720082
9.5,1091,1.13032,0.692341,0.896251,0,0.0720082
9.6,1092,1.15689,0.686141,0.900811,0,0.0720082
9.7,1093,1.14002,0.696901,0.918851,0,0.0720082
9.8,1094,1.1267,0.686141,0.896259,0,0.0720082
9.9,1095,1.15595,0.676413,0.900819,0,0.0720082
10,1096,1.1597,0.686133,0.914499,0,0.0720082
10.1,1097,1.13708,0.688165,0.887763,0,0.0720082
10.2,1098,1.13338,0.694845,0.919491,0.0150849,0.0720082
10.3,1099,1.12423,0.689661,0.926715,0,0.0720082
10.4,1100,1.14762,0.672893,0.939075,0.0150849,0.0720082
10.5,1101,1.09035,0.688189,0.923179,0,0.0720082
10.6,1102,1.11284,0.692333,0.917795,0,0.0720082
10.7,1103,1.11545,0.694309,0.939763,0,0.0720082
10.8,1104,1.1065,0.671237,0.905579,0,0.0720082
10.9,1105,1.12489,0.654269,0.939075,0,0.0720082
11,1106,1.10263,0.672125,0.947131,0,0.0720082
11.1,1107,1.13726,0.625589,0.902763,0,0.0720082
11.2,1108,1.10901,0.640421,0.939075,0,0.0720082
11.3,1109,1.12315,0.627045,0.935403,0,0.0720082
11.4,1110,1.09466,0.634333,0.910139,0,0.0720082
11.5,1111,1.13287,0.639957,0.935195,0,0.0720082
11.6,1112,1.11263,0.658109,0.918011,0,0.0720082
11.7,1113,1.11034,0.662197,0.935763,0,0.0720082
11.8,1114,1.11545,0.642837,0.922147,0,0.0720082
11.9,1115,1.13082,0.660149,0.938219,0,0.0720082
12,1116,1.11545,0.646221,0.902755,0,0.0720082
12.1,1117,1.06471,0.658101,0.998523,0,0.0720082
12.2,1118,1.09797,0.662205,0.961635,0,0.0720082
12.3,1119,1.08302,0.642837,0.972531,0,0.0720082
12.4,1120,1.07922,0.660149,0.978819,0,0.0720082
12.5,1121,1.09626,0.646221,0.985155,0,0.0720082
12.6,1122,1.08221,0.658101,0.965363,0,0.0720082
12.7,1123,1.07518,0.642197,0.981635,0,0.0720082
12.8,1124,1.1147,0.662845,0.982763,0,0.0720082
12.9,1125,1.1011,0.647509,0.965771,0,0.0720082
13,1126,1.10918,0.658853,1.04059,0,0.0720082
13.1,1127,1.09858,0.658101,1.01131,0,0.0720082
13.2,1128,1.0967,0.642197,0.985091,0,0.0720082
13.3,1129,1.11909,0.662837,1.03644,0,0.0720082
13.4,1130,1.0967,0.647533,1.0466,0,0.0720082
13.5,1131,1.10672,0.648789,1.03609,0,0.0720082
13.6,1132,1.07654,0.648157,0.993515,0,0.0720082
13.7,1133,1.09242,0.662197,1.05449,0,0.0720082
13.8,1134,1.07852,0.662837,1.01664,0,0.0720082
13.9,1135,1.08974,0.640149,1.04264,0,0.0720082
14,1136,1.07678,0.664893,1.02423,0,0.0720082
14.1,1137,1.09243,0.639445,1.01208,0,0.0720082
14.2,1138,1.08057,0.662197,1.04205,0,0.0720082
14.3,1139,1.0877,0.648077,1.01207,0,0.0720082
14.4,1140,1.08607,0.681045,1.05565,0,0.0720082
14.5,1141,1.06721,0.642901,1.01155,0,0.0720082
14.6,1142,1.09245,0.660093,1.03108,0.0150849,0.0720082
14.7,1143,1.07849,0.588501,1.03454,0,0.0720082
14.8,1144,1.08976,0.613205,1.01533,0,0.0720082
14.9,1145,1.07676,0.628789,1.01691,0,0.0720082
15,1146,1.07651,0.618069,1.03966,0,0.0720082
15.1,1147,1.09648,0.609229,1.0188,0,0.0720082
15.2,1148,1.07447,0.617941,1.03833,0,0.0720082
15.3,1149,1.0993,0.613205,1.00334,0,0.0720082
15.4,1150,1.06721,0.646149,1.01307,0,0.0720082
15.5,1151,1.09245,0.637397,1.05715,0,0.0720082
15.6,1152,1.0785,0.644957,1.04641,0,0.0720082
15.7,1153,1.08976,0.642133,0.999651,0,0.0720082
15.8,1154,1.084,0.637397,1.0457,0,0.0720082
15.9,1155,1.06926,0.648997,1.03597,0,0.0720082
16,1156,1.06529,0.637397,1.01742,0,0.0720082
16.1,1157,1.05009,0.646701,1.02011,0,0.0720082
16.2,1158,1.06751,0.642133,1.03833,0,0.0720082
16.3,1159,1.0296,0.637397,1.02681,0,0.0720082
16.4,1160,1.06674,0.649765,1.03208,0,0.0720082
16.5,1161,1.05798,0.639445,1.01963,0,0.0720082
16.6,1162,1.04165,0.642109,1.05056,0,0.0720082
16.7,1163,1.05721,0.642117,1.02292,0,0.0720082
16.8,1164,1.05545,0.630517,0.998643,0,0.0720082
16.9,1165,1.04166,0.646637,0.995043,0,0.0720082
17,1166,1.0627,0.626485,0.993347,0,0.0720082
17.1,1167,1.06994,0.640717,1.01611,0,0.0720082
17.2,1168,1.06104,0.630469,1.00439,0,0.0720082
17.3,1169,1.0701,0.642053,0.998667,0,0.0720082
17.4,1170,1.08496,0.638157,1.00295,0,0.0720082
17.5,1171,1.07136,0.646469,0.995147,0,0.0720082
17.6,1172,1.06952,0.643661,1.01691,0,0.0720082
17.7,1173,1.07521,0.649157,0.995779,0,0.0720082
17.8,1174,1.07654,0.649141,0.987747,0,0.0720082
17.9,1175,1.07671,0.643661,1.01404,0,0.0720082
18,1176,1.07741,0.644421,0.995707,0,0.0720082
18.1,1177,1.06654,0.643661,0.994851,0,0.0720082
18.2,1178,1.07259,0.662053,1.00656,0,0.0720082
18.3,1179,1.07978,0.643653,0.982659,0,0.0720082
18.4,1180,1.0611,0.653053,1.01966,0,0.0720082
18.5,1181,1.07978,0.627005,1.01463,0,0.0720082
18.6,1182,1.07984,0.632341,0.992011,0,0.0720082
18.7,1183,1.0593,0.618613,0.994843,0,0.0720082
18.8,1184,1.0873,0.637013,1.03258,0,0.0720082
18.9,1185,1.06949,0.626141,1.02828,0,0.0720082
19,1186,1.08934,0.620101,1.0233,0,0.0720082
19.1,1187,1.06698,0.620101,1.02477,0,0.0720082
19.2,1188,1.07214,0.625605,1.03218,0,0.0720082
19.3,1189,1.08291,0.620109,1.009,0,0.0720082
19.4,1190,1.05797,0.652413,1.02286,0,0.0720082
19.5,1191,1.08291,0.642349,1.01155,0,0.0720082
19.6,1192,1.03487,0.651069,1.03805,0,0.0720082
19.7,1193,1.06213,0.642357,1.03117,0,0.0720082
19.8,1194,1.03472,0.654885,1.02481,0,0.0720082
19.9,1195,1.07677,0.642349,1.053,0,0.0720082
20,1196,1.06908,0.642349,1.04823,0,0.0720082
20.1,1197,1.06353,0.654717,1.06857,0,0.0720082
20.2,1198,1.03774,0.642349,1.05702,0,0.0720082
20.3,1199,1.04703,0.649725,1.05619,0,0.0720082
20.4,1200,1.0239,0.642349,1.05553,0,0.0720082
20.5,1201,1.04456,0.645565,1.04606,0,0.0720082
20.6,1202,1.03912,0.650333,1.07728,0,0.0720082
20.7,1203,1.04702,0.642349,1.06856,0,0.0720082
20.8,1204,1.0411,0.687005,1.04463,0,0.0720082
20.9,1205,1.02736,0.669997,1.06069,0,0.0720082
21,1206,1.04908,0.697669,1.06423,0,0.0720082
21.1,1207,1.0291,0.694189,1.04527,0,0.0720082
21.2,1208,1.04908,0.704253,1.05437,0,0.0720082
21.3,1209,1.04203,0.694173,1.05636,0,0.0720082
21.4,1210,1.03441,0.709629,1.07854,0,0.0720082
21.5,1211,1.04376,0.698757,1.03739,0,0.0720082
21.6,1212,1.04702,0.694189,1.06862,0,0.0720082
21.7,1213,1.02941,0.705381,1.06861,0,0.0720082
21.8,1214,1.04153,0.709629,1.05828,0,0.0720082
21.9,1215,1.03973,0.694197,1.0501,0,0.0720082
22,1216,1.04394,0.704253,1.06428,0,0.0720082
22.1,1217,1.03248,0.694189,1.06858,0,0.0720082
22.2,1218,1.03846,0.709629,1.05375,0,0.0720082
22.3,1219,1.03973,0.694189,1.06052,0,0.0720082
22.4,1220,1.05388,0.697413,1.04512,0,0.0720082
22.5,1221,1.01706,0.704229,1.07727,0,0.0720082
22.6,1222,1.05623,0.709629,1.04746,0,0.0720082
22.7,1223,1.05945,0.702165,1.05217,0,0.0720082
22.8,1224,1.03832,0.694197,1.06858,0,0.0720082
22.9,1225,1.04858,0.698749,1.07335,0,0.0720082
23,1226,1.04745,0.709629,1.05576,0,0.0720082
23.1,1227,1.05942,0.697405,1.04464,0,0.0720082
23.2,1228,1.05299,0.694197,1.06424,0,0.0720082
23.3,1229,1.0339,0.699693,1.05415,0,0.0720082
23.4,1230,1.06212,0.714189,1.07356,0,0.0720082
23.5,1231,1.05109,0.694189,1.04919,0,0.0720082
23.6,1232,1.04668,0.702165,1.04899,0,0.0720082
23.7,1233,1.04653,0.697397,1.07377,0,0.0720082
23.8,1234,1.05257,0.709629,1.0475,0,0.0720082
23.9,1235,1.04305,0.539243,1.13471,0,0.118634
24,1236,0.972632,0.644939,1.13942,0,0.118634
24.1,1237,1.00543,0.622699,1.12614,0,0.118634
24.2,1238,1.02634,0.583299,1.12762,0,0.118634
24.3,1239,1.01162,0.577595,1.14888,0,0.118634
24.4,1240,1.0359,0.580083,1.22274,0,0.118634
24.5,1241,1.03162,0.587723,1.18058,0,0.118634
24.6,1242,1.03759,0.585587,1.19426,0,0.118634
24.7,1243,1.0425,0.583291,1.19594,0,0.118634
24.8,1244,1.02056,0.587331,1.19164,0,0.118634
24.9,1245,1.01253,0.587323,1.22656,0,0.118634
25,1246,1.02922,0.621811,1.18298,0,0.118634
25.1,1247,0.97228,0.598451,1.20038,0,0.118634
25.2,1248,0.999248,0.597515,1.18761,0,0.118634
25.3,1249,0.99292,0.588739,1.19274,0,0.118634
25.4,1250,0.983808,0.592955,1.1852,0,0.118634
25.5,1251,0.99292,0.623339,1.16382,0,0.118634
25.6,1252,0.982048,0.622795,1.17049,0,0.118634
25.7,1253,0.990112,0.613075,1.16099,0,0.118634
25.8,1254,0.999224,0.610259,1.16449,0,0.118634
25.9,1255,0.980312,0.615539,1.16378,0,0.118634
26,1256,0.989168,0.619979,1.1643,0,0.118634
26.1,1257,0.992936,0.621051,1.16715,0,0.118634
26.2,1258,0.98928,0.614819,1.15944,0,0.118634
26.3,1259,0.992936,0.618235,1.1635,0,0.118634
26.4,1260,0.993728,0.607547,1.15931,0,0.118634
26.5,1261,0.959672,0.618235,1.17412,0,0.118634
26.6,1262,0.962032,0.622795,1.16601,0,0.118634
26.7,1263,0.962472,0.613075,1.16381,0,0.118634
26.8,1264,0.957472,0.612731,1.15238,0,0.118634
26.9,1265,0.965272,0.622795,1.18703,0,0.118634
27,1266,0.959216,0.610251,1.14441,0,0.118634
27.1,1267,0.965288,0.621051,1.16982,0,0.118634
27.2,1268,0.957472,0.622795,1.1696,0,0.118634
27.3,1269,0.959768,0.623483,1.15307,0,0.118634
27.4,1270,0.964736,0.622795,1.16713,0,0.118634
27.5,1271,0.965272,0.597747,1.16261,0,0.118634
27.6,1272,0.9818,0.614819,1.16982,0,0.118634
27.7,1273,0.94808,0.622795,1.16965,0,0.118634
27.8,1274,0.95308,0.621731,1.15942,0,0.118634
27.9,1275,0.950768,0.622795,1.16079,0,0.118634
