time_s,ueIndex,x,y,servingCellId
0,0,619.735,695.482,1
0,1,352.69,722.375,1
0,2,250.733,381.162,2
0,3,215.119,533.544,2
0,4,398.729,246.494,2
0,5,534.655,620.362,1
0,6,230.699,524.331,2
0,7,512.058,415.842,3
0,8,444.479,378.992,2
0,9,716.309,363.423,3
0,10,681.298,592.548,3
0,11,450.348,747.598,1
0,12,432.988,501.254,2
0,13,599.353,349.231,3
0,14,284.207,465.141,2
0,15,291.51,690.802,1
0,16,268.484,541.497,2
0,17,627.151,414.694,3
0,18,639.062,640.723,1
0,19,384.518,657.053,1
0,20,464.906,315.125,2
0,21,507.714,225.271,3
0,22,494.282,772.375,1
0,23,494.331,718.492,1
0,24,482.257,289.975,2
0,25,663.206,352.327,3
0,26,291.173,678.765,1
0,27,538.761,722.324,1
0,28,258.954,470.664,2
0,29,285.234,635.735,1
0.5,0,620.223,696.9,1
0.5,1,353.721,723.464,1
0.5,2,249.325,381.679,2
0.5,3,213.697,533.067,2
0.5,4,397.24,246.676,2
0.5,5,533.342,621.087,1
0.5,6,230.504,522.843,2
0.5,7,510.56,415.923,3
0.5,8,445.901,378.514,2
0.5,9,717.568,364.238,3
0.5,10,682.461,591.601,3
0.5,11,451.829,747.36,1
0.5,12,431.601,500.683,2
0.5,13,600.698,348.568,3
0.5,14,284.015,466.629,2
0.5,15,291.931,692.242,1
0.5,16,269.583,542.519,2
0.5,17,625.724,415.159,3
0.5,18,637.862,639.823,1
0.5,19,384.349,658.543,1
0.5,20,464.091,313.866,2
0.5,21,506.841,226.491,3
0.5,22,492.784,772.461,1
0.5,23,495.372,717.412,1
0.5,24,483.103,291.214,2
0.5,25,664.668,352.663,3
0.5,26,290.345,680.015,1
0.5,27,537.261,722.352,1
0.5,28,259.993,469.582,2
0.5,29,284.152,636.773,1
1,0,620.711,698.318,1
1,1,354.751,724.554,1
1,2,247.917,382.196,2
1,3,212.275,532.589,2
1,4,395.751,246.859,2
1,5,532.029,621.813,1
1,6,230.308,521.356,2
1,7,509.062,416.003,3
1,8,447.322,378.036,2
1,9,718.828,365.053,3
1,10,683.624,590.653,3
1,11,453.31,747.123,1
1,12,430.213,500.113,2
1,13,602.044,347.905,3
1,14,283.822,468.116,2
1,15,292.351,693.682,1
1,16,270.682,543.54,2
1,17,624.298,415.624,3
1,18,636.662,638.923,1
1,19,384.18,660.034,1
1,20,463.275,312.607,2
1,21,505.969,227.711,3
1,22,491.287,772.547,1
1,23,496.412,716.331,1
1,24,483.948,292.453,2
1,25,666.129,353,3
1,26,289.517,681.266,1
1,27,535.761,722.38,1
1,28,261.032,468.501,2
1,29,283.069,637.811,1
1.5,0,621.2,699.737,1
1.5,1,355.782,725.643,1
1.5,2,246.509,382.714,2
1.5,3,210.853,532.112,2
1.5,4,394.262,247.041,2
1.5,5,530.716,622.538,1
1.5,6,230.113,519.869,2
1.5,7,507.564,416.084,3
1.5,8,448.744,377.557,2
1.5,9,720.087,365.868,3
1.5,10,684.787,589.706,3
1.5,11,454.792,746.885,1
1.5,12,428.826,499.542,2
1.5,13,603.389,347.241,3
1.5,14,283.629,469.604,2
1.5,15,292.771,695.122,1
1.5,16,271.78,544.561,2
1.5,17,622.872,416.089,3
1.5,18,635.462,638.023,1
1.5,19,384.011,661.524,1
1.5,20,462.46,311.348,2
1.5,21,505.097,228.932,3
1.5,22,489.789,772.633,1
1.5,23,497.452,715.25,1
1.5,24,484.794,293.691,2
1.5,25,667.591,353.336,3
1.5,26,288.688,682.516,1
1.5,27,534.262,722.408,1
1.5,28,262.072,467.419,2
1.5,29,281.986,638.849,1
2,0,621.688,701.155,1
2,1,356.813,726.733,1
2,2,245.101,383.231,2
2,3,209.431,531.635,2
2,4,392.773,247.224,2
2,5,529.403,623.263,1
2,6,229.918,518.382,2
2,7,506.067,416.165,3
2,8,450.166,377.079,2
2,9,721.346,366.683,3
2,10,685.95,588.759,3
2,11,456.273,746.648,1
2,12,427.439,498.972,2
2,13,604.735,346.578,3
2,14,283.437,471.091,2
2,15,293.192,696.562,1
2,16,272.879,545.582,2
2,17,621.446,416.553,3
2,18,634.262,637.123,1
2,19,383.842,663.015,1
2,20,461.645,310.089,2
2,21,504.225,230.152,3
2,22,488.292,772.719,1
2,23,498.493,714.17,1
2,24,485.639,294.93,2
2,25,669.053,353.673,3
2,26,287.86,683.767,1
2,27,532.762,722.436,1
2,28,263.111,466.337,2
