time_s,cellId,ueCount,edgeUeCount,cellDlThp_kbps,cellUlThp_kbps,avgCqi,txPower_dBm,prbUtilDl
1,1,6,1,0,2804.82,7,32,0.64
1,2,16,11,0,4458.22,5.4,32,0.64
1,3,8,5,0,3724.86,5.75,32,0.64
6,1,6,1,13457.9,4082.19,7.25,32,0.64
6,2,15,10,9321.8,6777.42,5.78571,32,0.6144
6,3,9,7,7751.51,5715.36,4.75,32,0.64
11,1,7,2,13316.4,3628.06,6.4,32,0.64
11,2,14,8,9985.69,6275.15,5.92308,32,0.64
11,3,9,7,8078.22,7276,4.875,32,0.64
16,1,7,2,13698.7,4346.43,6.6,32,0.64
16,2,13,6,11037.5,4941.94,5.72727,32,0.64
16,3,10,7,8234.14,8874.66,4.66667,32,0.64
21,1,7,2,13326.2,4256.68,6.6,32,0.64
21,2,13,7,11338.7,5294.63,5.2,32,0.64
21,3,10,7,8628.16,9190.33,4.77778,32,0.64
26,1,7,2,14056.5,3768.68,7,32,0.64
26,2,14,8,10712.4,6289.36,4.81818,32,0.64
26,3,9,6,8951.22,7012.72,5.125,32,0.64
31,1,10,5,12706.9,4319.63,5.625,32,0.64
31,2,10,4,13094.7,3129.72,6.42857,32,0.64
31,3,10,8,8767.02,7170.83,5.11111,32,0.64
36,1,10,5,10899,5713.98,4.85714,32,0.64
36,2,10,4,13651,3858.12,6.875,32,0.64
36,3,10,8,8938.3,6606.14,5.11111,32,0.64
41,1,11,6,9798.58,5356.66,5.33333,32,0.64
41,2,10,4,13124,5237.35,6.625,32,0.64
41,3,9,5,9673.62,5897.95,5.75,32,0.64
46,1,11,7,9085.24,5670.08,5.9,32,0.64
46,2,10,4,13166.2,5881.46,6.625,32,0.64
46,3,9,4,9827.46,6105.67,6,32,0.64
51,1,11,7,9476.86,5529.78,5.7,32,0.64
51,2,10,4,13361,5948.7,6.5,32,0.64
51,3,9,4,10213.2,5872.52,5.57143,32,0.64
56,1,12,8,8102.41,7531.22,5.27273,32,0.64
56,2,9,3,14276.1,3293.79,6.71429,32,0.6336
56,3,9,3,10650.5,5024.19,5.57143,32,0.64
1,1,6,1,0,2804.82,7,32,0.64
1,2,16,11,0,4458.22,5.4,32,0.64
1,3,8,5,0,3724.86,5.75,32,0.64
6,1,12,0,10924.7,5105.05,8.6,35,0.64
6,2,6,1,7949.62,4398.83,7.28571,33,0.64
6,3,12,1,8663.94,6860.44,7,35,0.64
11,1,11,0,12017.2,5592.05,8,35,0.64
11,2,7,1,8983.27,4831.9,6.42857,33,0.64
11,3,12,2,8639.49,7822.13,5.83333,35,0.64
16,1,7,1,12586.9,5100.73,7.6,35,0.64
16,2,15,2,9706.14,4847.22,6.625,33,0.64
16,3,8,1,8043.46,5298.4,5.6,34,0.64
21,1,10,0,12284.2,5038.54,7.5,34,0.64
21,2,10,0,10709.3,3796.42,7,34,0.64
21,3,10,1,8379.24,6348.18,6,34,0.64
26,1,8,0,12487.8,5337.64,7.75,34,0.64
26,2,10,0,9826.54,4336.08,8,33,0.64
26,3,12,0,9334.39,8452.42,5.875,35,0.64
31,1,11,1,13240.5,4089.64,7.6,35,0.64
31,2,11,1,10052.9,5319,7.71429,33,0.64
31,3,8,2,9101.43,8168.65,5.25,34,0.64
36,1,8,0,11417,5472.8,9.66667,34,0.64
36,2,14,2,10419.8,4741.58,7.85714,33,0.64
36,3,8,1,9341.78,6981.21,5.85714,34,0.64
41,1,13,1,10683.5,6656.36,8.125,35,0.64
41,2,7,1,11213.6,4252.93,8.71429,33,0.64
41,3,10,1,9063.87,8859.4,7,35,0.64
46,1,12,0,9389.28,7260.68,8,35,0.64
46,2,9,1,11385.9,4355.7,8,33,0.64
46,3,9,2,10030.3,6979.02,7.5,35,0.64
51,1,10,1,9841.74,6988.26,6.625,35,0.64
51,2,11,1,11994.5,4487.82,8.16667,33,0.64
