time_s,srcCellId,neighborCellId,cio_display_dB,cio_display_ie
1,1,2,0,0
1,1,3,0,0
1,2,1,0,0
1,2,3,0,0
1,3,1,0,0
1,3,2,0,0
6,1,2,0,0
6,1,3,0,0
6,2,1,0,0
6,2,3,0,0
6,3,1,0,0
6,3,2,0,0
11,1,2,0,0
11,1,3,0,0
11,2,1,0,0
11,2,3,0,0
11,3,1,0,0
11,3,2,0,0
16,1,2,0,0
16,1,3,0,0
16,2,1,0,0
16,2,3,0,0
16,3,1,0,0
16,3,2,0,0
21,1,2,0,0
21,1,3,0,0
21,2,1,0,0
21,2,3,0,0
21,3,1,0,0
21,3,2,0,0
26,1,2,0,0
26,1,3,0,0
26,2,1,0,0
26,2,3,0,0
26,3,1,0,0
26,3,2,0,0
31,1,2,0,0
31,1,3,0,0
31,2,1,0,0
31,2,3,0,0
31,3,1,0,0
31,3,2,0,0
36,1,2,0,0
36,1,3,0,0
36,2,1,0,0
36,2,3,0,0
36,3,1,0,0
36,3,2,0,0
41,1,2,0,0
41,1,3,0,0
41,2,1,0,0
41,2,3,0,0
41,3,1,0,0
41,3,2,0,0
46,1,2,0,0
46,1,3,0,0
46,2,1,0,0
46,2,3,0,0
46,3,1,0,0
46,3,2,0,0
51,1,2,0,0
51,1,3,0,0
51,2,1,0,0
51,2,3,0,0
51,3,1,0,0
51,3,2,0,0
56,1,2,0,0
56,1,3,0,0
56,2,1,0,0
56,2,3,0,0
56,3,1,0,0
56,3,2,0,0
1,1,2,-3.5,-7
1,1,3,-3.5,-7
1,2,1,-4,-8
1,2,3,-4,-8
1,3,1,-2,-4
1,3,2,-2,-4
6,1,2,-3.5,-7
6,1,3,-3.5,-7
6,2,1,-2,-4
6,2,3,-2,-4
6,3,1,-3.5,-7
6,3,2,-3.5,-7
11,1,2,-3.5,-7
11,1,3,-3.5,-7
11,2,1,-2.5,-5
11,2,3,-2.5,-5
11,3,1,-3.5,-7
11,3,2,-3.5,-7
16,1,2,-3.5,-7
16,1,3,-3.5,-7
16,2,1,-3.5,-7
16,2,3,-3.5,-7
16,3,1,-3,-6
16,3,2,-3,-6
21,1,2,-3.5,-7
21,1,3,-3.5,-7
21,2,1,-3.5,-7
21,2,3,-3.5,-7
21,3,1,-3.5,-7
21,3,2,-3.5,-7
26,1,2,-3.5,-7
26,1,3,-3.5,-7
26,2,1,-3.5,-7
26,2,3,-3.5,-7
26,3,1,-4,-8
26,3,2,-4,-8
31,1,2,-3.5,-7
31,1,3,-3.5,-7
31,2,1,-3,-6
31,2,3,-3,-6
31,3,1,-3.5,-7
31,3,2,-3.5,-7
36,1,2,-3.5,-7
36,1,3,-3.5,-7
36,2,1,-3.5,-7
36,2,3,-3.5,-7
36,3,1,-3.5,-7
36,3,2,-3.5,-7
41,1,2,-3.5,-7
41,1,3,-3.5,-7
41,2,1,-2.5,-5
41,2,3,-2.5,-5
41,3,1,-3.5,-7
41,3,2,-3.5,-7
46,1,2,-3.5,-7
46,1,3,-3.5,-7
46,2,1,-3,-6
46,2,3,-3,-6
46,3,1,-3.5,-7
46,3,2,-3.5,-7
51,1,2,-3.5,-7
51,1,3,-3.5,-7
51,2,1,-3.5,-7
51,2,3,-3.5,-7
51,3,1,-3,-6
51,3,2,-3,-6
56,1,2,-3.5,-7
56,1,3,-3.5,-7
56,2,1,-3.5,-7
56,2,3,-3.5,-7
56,3,1,-3,-6
56,3,2,-3,-6
0.5,1,2,1,2
0.5,1,3,1,2
0.5,2,1,-4,-8
0.5,2,3,-4,-8
0.5,3,1,-4.5,-9
0.5,3,2,-4.5,-9
3,1,2,-4,-8
3,1,3,-4,-8
3,2,1,0.5,1
3,2,3,0.5,1
3,3,1,-1.5,-3
3,3,2,-1.5,-3
5.5,1,2,-2,-4
5.5,1,3,-2,-4
5.5,2,1,-4,-8
5.5,2,3,-4,-8
5.5,3,1,-3.5,-7
5.5,3,2,-3.5,-7
8,1,2,4,8
8,1,3,4,8
8,2,1,-5,-10
8,2,3,-5,-10
8,3,1,-4.5,-9
8,3,2,-4.5,-9
10.5,1,2,-4.5,-9
10.5,1,3,-4.5,-9
10.5,2,1,-4.5,-9
10.5,2,3,-4.5,-9
10.5,3,1,-4,-8
10.5,3,2,-4,-8
13,1,2,-2.5,-5
13,1,3,-2.5,-5
13,2,1,-3,-6
13,2,3,-3,-6
13,3,1,-5,-10
13,3,2,-5,-10
15.5,1,2,-1.5,-3
15.5,1,3,-1.5,-3
15.5,2,1,-2,-4
15.5,2,3,-2,-4
15.5,3,1,-4.5,-9
15.5,3,2,-4.5,-9
18,1,2,-1.5,-3
18,1,3,-1.5,-3
18,2,1,-0.5,-1
18,2,3,-0.5,-1
18,3,1,-4.5,-9
18,3,2,-4.5,-9
20.5,1,2,-4,-8
20.5,1,3,-4,-8
20.5,2,1,-2,-4
20.5,2,3,-2,-4
20.5,3,1,-3,-6
20.5,3,2,-3,-6
23,1,2,-4.5,-9
23,1,3,-4.5,-9
23,2,1,2.5,5
23,2,3,2.5,5
23,3,1,-1,-2
23,3,2,-1,-2
25.5,1,2,-3,-6
25.5,1,3,-3,-6
25.5,2,1,-4,-8
25.5,2,3,-4,-8
25.5,3,1,-2.5,-5
25.5,3,2,-2.5,-5
28,1,2,-4,-8
28,1,3,-4,-8
28,2,1,-4.5,-9
28,2,3,-4.5,-9
28,3,1,2,4
28,3,2,2,4
0.7,1,2,-1.5,-3
0.7,1,3,-1.5,-3
0.7,2,1,-3,-6
0.7,2,3,-3,-6
0.7,3,1,-4,-8
0.7,3,2,-4,-8
1.2,1,2,-5,-10
1.2,1,3,-5,-10
1.2,2,1,-4.5,-9
1.2,2,3,-4.5,-9
1.2,3,1,-4.5,-9
1.2,3,2,-4.5,-9
1.7,1,2,-4.5,-9
1.7,1,3,-4.5,-9
1.7,2,1,-2.5,-5
1.7,2,3,-2.5,-5
1.7,3,1,-2.5,-5
1.7,3,2,-2.5,-5
0.6,1,2,2,4
0.6,1,3,2,4
0.6,2,1,-4,-8
0.6,2,3,-4,-8
0.6,3,1,-4.5,-9
0.6,3,2,-4.5,-9
1.1,1,2,1.5,3
1.1,1,3,1.5,3
1.1,2,1,1.5,3
1.1,2,3,1.5,3
1.1,3,1,-5,-10
1.1,3,2,-5,-10
1.6,1,2,-4.5,-9
1.6,1,3,-4.5,-9
1.6,2,1,-3.5,-7
1.6,2,3,-3.5,-7
1.6,3,1,-4,-8
1.6,3,2,-4,-8
2.1,1,2,-3.5,-7
2.1,1,3,-3.5,-7
2.1,2,1,-3,-6
2.1,2,3,-3,-6
2.1,3,1,-5,-10
2.1,3,2,-5,-10
2.6,1,2,-3.5,-7
2.6,1,3,-3.5,-7
2.6,2,1,3.5,7
2.6,2,3,3.5,7
2.6,3,1,-4.5,-9
2.6,3,2,-4.5,-9
3.1,1,2,-3.5,-7
3.1,1,3,-3.5,-7
3.1,2,1,3,6
3.1,2,3,3,6
3.1,3,1,-4.5,-9
3.1,3,2,-4.5,-9
3.6,1,2,-4.5,-9
3.6,1,3,-4.5,-9
3.6,2,1,-2.5,-5
3.6,2,3,-2.5,-5
3.6,3,1,-5,-10
3.6,3,2,-5,-10
4.1,1,2,-4.5,-9
4.1,1,3,-4.5,-9
4.1,2,1,-2.5,-5
4.1,2,3,-2.5,-5
4.1,3,1,-2.5,-5
4.1,3,2,-2.5,-5
4.6,1,2,-4,-8
4.6,1,3,-4,-8
4.6,2,1,-3,-6
4.6,2,3,-3,-6
4.6,3,1,-4,-8
4.6,3,2,-4,-8
5.1,1,2,-0.5,-1
5.1,1,3,-0.5,-1
5.1,2,1,-4,-8
5.1,2,3,-4,-8
5.1,3,1,-4.5,-9
5.1,3,2,-4.5,-9
5.6,1,2,-4.5,-9
5.6,1,3,-4.5,-9
5.6,2,1,-4,-8
5.6,2,3,-4,-8
5.6,3,1,-3.5,-7
5.6,3,2,-3.5,-7
6.1,1,2,-2.5,-5
6.1,1,3,-2.5,-5
6.1,2,1,4.5,9
6.1,2,3,4.5,9
6.1,3,1,-3,-6
6.1,3,2,-3,-6
6.6,1,2,-0,0
6.6,1,3,-0,0
6.6,2,1,-4,-8
6.6,2,3,-4,-8
6.6,3,1,-3,-6
6.6,3,2,-3,-6
7.1,1,2,-1.5,-3
7.1,1,3,-1.5,-3
7.1,2,1,2.5,5
7.1,2,3,2.5,5
7.1,3,1,-1,-2
7.1,3,2,-1,-2
7.6,1,2,-5,-10
7.6,1,3,-5,-10
7.6,2,1,-4.5,-9
7.6,2,3,-4.5,-9
7.6,3,1,-3.5,-7
7.6,3,2,-3.5,-7
8.1,1,2,-5,-10
8.1,1,3,-5,-10
8.1,2,1,-1,-2
8.1,2,3,-1,-2
8.1,3,1,-3,-6
8.1,3,2,-3,-6
8.6,1,2,-4,-8
8.6,1,3,-4,-8
8.6,2,1,-4,-8
8.6,2,3,-4,-8
8.6,3,1,0.5,1
8.6,3,2,0.5,1
9.1,1,2,-0,0
9.1,1,3,-0,0
9.1,2,1,-1,-2
9.1,2,3,-1,-2
9.1,3,1,-4.5,-9
9.1,3,2,-4.5,-9
9.6,1,2,-4,-8
9.6,1,3,-4,-8
9.6,2,1,-3,-6
9.6,2,3,-3,-6
9.6,3,1,-4,-8
9.6,3,2,-4,-8
10.1,1,2,-4.5,-9
10.1,1,3,-4.5,-9
10.1,2,1,-1,-2
10.1,2,3,-1,-2
10.1,3,1,-4,-8
10.1,3,2,-4,-8
10.6,1,2,-3,-6
10.6,1,3,-3,-6
10.6,2,1,-3.5,-7
10.6,2,3,-3.5,-7
10.6,3,1,-2,-4
10.6,3,2,-2,-4
