time_s,cellId,cioRaw,txpRaw,selfCio_display_dB,txpApplied_dBm,cellThp_kbps,alpha
1,1,0,0,0,32,2804.82,0
1,2,0,0,0,32,4458.22,0
1,3,0,0,0,32,3724.86,0
6,1,0,0,0,32,17540,0
6,2,0,0,0,32,16099.2,0
6,3,0,0,0,32,13466.9,0
11,1,0,0,0,32,16944.5,0
11,2,0,0,0,32,16260.8,0
11,3,0,0,0,32,15354.2,0
16,1,0,0,0,32,18045.1,0
16,2,0,0,0,32,15979.5,0
16,3,0,0,0,32,17108.8,0
21,1,0,0,0,32,17582.9,0
21,2,0,0,0,32,16633.3,0
21,3,0,0,0,32,17818.5,0
26,1,0,0,0,32,17825.2,0
26,2,0,0,0,32,17001.8,0
26,3,0,0,0,32,15963.9,0
31,1,0,0,0,32,17026.5,0
31,2,0,0,0,32,16224.4,0
31,3,0,0,0,32,15937.9,0
36,1,0,0,0,32,16613,0
36,2,0,0,0,32,17509.1,0
36,3,0,0,0,32,15544.4,0
41,1,0,0,0,32,15155.2,0
41,2,0,0,0,32,18361.4,0
41,3,0,0,0,32,15571.6,0
46,1,0,0,0,32,14755.3,0
46,2,0,0,0,32,19047.7,0
46,3,0,0,0,32,15933.1,0
51,1,0,0,0,32,15006.6,0
51,2,0,0,0,32,19309.7,0
51,3,0,0,0,32,16085.7,0
56,1,0,0,0,32,15633.6,0
56,2,0,0,0,32,17569.9,0
56,3,0,0,0,32,15674.6,0
1,1,0.680457,0.823276,-3.5,35.2931,2804.82,0.085792
1,2,0.782874,0.471824,-4,33.8873,4458.22,0.0854379
1,3,0.355632,0.770305,-2,35.0812,3724.86,0.085539
6,1,0.716638,0.765034,-3.5,35.0601,16029.7,0.085792
6,2,0.433325,0.632706,-2,34.5308,12348.4,0.0854379
6,3,0.701763,0.707363,-3.5,34.8295,15524.4,0.085539
11,1,0.722986,0.775681,-3.5,35.1027,17609.2,0.085792
11,2,0.494555,0.600864,-2.5,34.4035,13815.2,0.0854379
11,3,0.729893,0.674124,-3.5,34.6965,16461.6,0.085539
16,1,0.668857,0.755354,-3.5,35.0214,17687.6,0.085792
16,2,0.729195,0.370131,-3.5,33.4805,14553.4,0.0854379
16,3,0.635942,0.745004,-3,34.98,13341.9,0.085539
21,1,0.719167,0.776582,-3.5,35.1063,17322.7,0.085792
21,2,0.672682,0.514415,-3.5,34.0577,14505.7,0.0854379
21,3,0.690578,0.724508,-3.5,34.898,14727.4,0.085539
26,1,0.682855,0.7604,-3.5,35.0416,17825.5,0.085792
26,2,0.651222,0.491142,-3.5,33.9646,14162.6,0.0854379
26,3,0.75193,0.763828,-4,35.0553,17786.8,0.085539
31,1,0.717476,0.763819,-3.5,35.0553,17330.2,0.085792
31,2,0.647469,0.403099,-3,33.6124,15371.9,0.0854379
31,3,0.658583,0.70868,-3.5,34.8347,17270.1,0.085539
