time_s,step,reward_cell1,reward_cell2,reward_cell3,prb_std,ue_std
1,0,0,-0.333333,-0.0666667,0,0.144016
2,1,1.33469,0.527284,0.742805,0,0.144016
3,2,1.35094,0.521674,0.731488,0,0.144016
4,3,1.34994,0.577927,0.661267,0,0.124722
5,4,1.34724,0.613648,0.646824,0,0.124722
6,5,1.34579,0.63218,0.675151,0.012068,0.124722
7,6,1.36128,0.65577,0.656782,0,0.124722
8,7,1.37853,0.656866,0.636045,0,0.124722
9,8,1.38514,0.653476,0.663712,0,0.124722
10,9,1.35158,0.663082,0.703285,0,0.124722
11,10,1.29831,0.731902,0.707822,0,0.0981307
12,11,1.29831,0.745743,0.723663,0,0.0981307
13,12,1.29533,0.741053,0.753252,0,0.0981307
14,13,1.30424,0.805159,0.711854,0,0.0816497
15,14,1.33594,0.83448,0.716256,0,0.0816497
16,15,1.33653,0.87042,0.69008,0,0.0816497
17,16,1.33629,0.878462,0.691407,0,0.0816497
18,17,1.3147,0.868827,0.690691,0,0.0816497
19,18,1.29885,0.887615,0.699545,0,0.0816497
20,19,1.29822,0.897265,0.71304,0,0.0816497
21,20,1.29928,0.900534,0.729483,0,0.0816497
22,21,1.3122,0.910527,0.713702,0,0.0816497
23,22,1.33523,0.832339,0.762971,0.00301699,0.0981307
24,23,1.36,0.789726,0.775538,0,0.0981307
25,24,1.37232,0.786488,0.783922,0,0.0981307
26,25,1.37232,0.804578,0.795122,0,0.0981307
27,26,1.34964,0.834782,0.798457,0,0.0981307
28,27,1.23676,0.974941,0.827287,0,0.0471405
29,28,1.21537,1.0043,0.825197,0,0.0471405
30,29,1.2141,1.06361,0.775709,0.00905097,0.0272166
31,30,1.13735,1.17613,0.743369,0,0
32,31,1.06397,1.25267,0.749717,0,0
33,32,1.00226,1.22842,0.768273,0,0
34,33,0.993093,1.21162,0.782487,0,0
35,34,1.00169,1.23288,0.783861,0,0
36,35,0.956565,1.23176,0.760496,0,0
37,36,0.948225,1.21457,0.777646,0,0
38,37,0.925421,1.20639,0.747068,0,0
39,38,0.910815,1.1862,0.748223,0,0
40,39,0.803092,1.18629,0.807988,0,0.0272166
41,40,0.813192,1.17907,0.867362,0,0.0272166
42,41,0.802165,1.18796,0.872868,0,0.0272166
43,42,0.786731,1.22034,0.870997,0,0.0272166
44,43,0.778497,1.24489,0.872869,0,0.0272166
45,44,0.757131,1.22094,0.870823,0,0.0272166
46,45,0.741857,1.18329,0.882746,0,0.0272166
47,46,0.763793,1.17856,0.915385,0,0.0272166
48,47,0.785183,1.17785,0.924355,0,0.0272166
49,48,0.78789,1.19999,0.95367,0,0.0272166
50,49,0.789777,1.21261,0.903424,0,0.0272166
51,50,0.781019,1.20277,0.921318,0,0.0272166
52,51,0.727465,1.22978,0.926842,0,0.0272166
53,52,0.656922,1.33163,0.951663,0,0.0471405
54,53,0.646201,1.32517,0.991871,0.00301699,0.0471405
55,54,0.632214,1.32836,0.995932,0.00301699,0.0471405
56,55,0.610241,1.32761,0.965046,0.00301699,0.0471405
57,56,0.590231,1.33048,0.985422,0,0.0471405
58,57,0.588404,1.29598,1.0197,0,0.0471405
2,1741,0.871685,0.760837,0.64899,0,0.0720082
3,1742,1.20481,0.455583,0.655321,0,0.144016
4,1743,1.11088,0.451636,0.751171,0,0.141421
5,1744,1.06707,0.425158,0.862373,0,0.165552
6,1745,0.892466,0.794962,0.666394,0,0.0942809
7,1746,1.09039,0.520248,0.810915,0.00603398,0.144016
8,1747,0.977823,0.806211,0.658047,0,0.0720082
9,1748,1.13606,0.573879,0.813856,0,0.144016
10,1749,1.07668,0.629676,0.892682,0,0.124722
11,1750,1.03505,0.864994,0.663949,0,0.0720082
12,1751,1.20552,0.574852,0.78861,0,0.118634
13,1752,1.10711,0.694785,0.809732,0,0.0720082
14,1753,1.03969,0.778775,0.720634,0,0.0272166
15,1754,1.05003,0.781886,0.728872,0,0.0272166
