time_s,step,cellId,cio_l2_change,max_cio_change,txp_raw_curr,txp_raw_prev,txp_raw_change,txp_dBm_curr,txp_dBm_prev,ue_count_prev,ue_count_curr,ue_count_change,reward_prev,reward_curr,reward_change,consecutive_stagnant_steps,cio_stagnant,txp_stagnant,is_stagnant
2,1741,1,-1,-1,0.75795,0.75795,-1,35.0318,35.0318,13,13,0,0.871685,0.871685,0,0,0,0,0
2,1741,2,-1,-1,0.525629,0.525629,-1,34.1025,34.1025,8,8,0,0.760837,0.760837,0,0,0,0,0
2,1741,3,-1,-1,0.719376,0.719376,-1,34.8775,34.8775,9,9,0,0.64899,0.64899,0,0,0,0,0
3,1742,1,0.0327109,0.0327109,0.776575,0.75795,0.0186251,35.1063,35.0318,13,6,-7,0.871685,1.20481,0.333128,0,0,1,0
3,1742,2,0.208186,0.208186,0.307924,0.525629,0.217705,33.2317,34.1025,8,16,8,0.760837,0.455583,0.305254,0,0,0,0
3,1742,3,0.000668943,0.000668943,0.769172,0.719376,0.0497961,35.0767,34.8775,9,8,-1,0.64899,0.655321,0.00633173,0,1,0,0
4,1743,1,0.0111581,0.0111581,0.775512,0.776575,0.00106311,35.102,35.1063,6,7,1,1.20481,1.11088,0.0939301,0,1,1,0
4,1743,2,0.00853741,0.00853741,0.379142,0.307924,0.0712181,33.5166,33.2317,16,16,0,0.455583,0.451636,0.0039464,0,1,0,0
4,1743,3,0.00923717,0.00923717,0.786814,0.769172,0.017642,35.1473,35.0767,8,7,-1,0.655321,0.751171,0.0958493,0,1,1,0
5,1744,1,0.00250208,0.00250208,0.778111,0.775512,0.002599,35.1124,35.102,7,7,0,1.11088,1.06707,0.0438128,0,1,1,0
5,1744,2,0.0221862,0.0221862,0.364572,0.379142,0.0145706,33.4583,33.5166,16,17,1,0.451636,0.425158,0.0264781,0,0,1,0
5,1744,3,0.00209326,0.00209326,0.796542,0.786814,0.00972784,35.1862,35.1473,7,6,-1,0.751171,0.862373,0.111202,0,1,1,0
6,1745,1,0.0280289,0.0280289,0.765034,0.778111,0.0130767,35.0601,35.1124,7,12,5,1.06707,0.892466,0.174603,0,0,1,0
6,1745,2,0.327755,0.327755,0.632706,0.364572,0.268134,34.5308,33.4583,17,6,-11,0.425158,0.794962,0.369803,0,0,0,0
6,1745,3,0.0642679,0.0642679,0.707363,0.796542,0.0891786,34.8295,35.1862,6,12,6,0.862373,0.666394,0.195978,0,0,0,0
7,1746,1,0.0294825,0.0294825,0.761417,0.765034,0.00361681,35.0457,35.0601,12,8,-4,0.892466,1.09039,0.197928,0,0,1,0
7,1746,2,0.304246,0.304246,0.314927,0.632706,0.317779,33.2597,34.5308,6,16,10,0.794962,0.520248,0.274713,0,0,0,0
7,1746,3,0.0732067,0.0732067,0.796198,0.707363,0.0888351,35.1848,34.8295,12,6,-6,0.666394,0.810915,0.144521,0,0,0,0
8,1747,1,0.0269433,0.0269433,0.768606,0.761417,0.00718862,35.0744,35.0457,8,11,3,1.09039,0.977823,0.112571,0,0,1,0
8,1747,2,0.238941,0.238941,0.584413,0.314927,0.269485,34.3377,33.2597,16,7,-9,0.520248,0.806211,0.285963,0,0,0,0
8,1747,3,0.0577013,0.0577013,0.695496,0.796198,0.100702,34.782,35.1848,6,12,6,0.810915,0.658047,0.152868,0,0,0,0
9,1748,1,0.0423163,0.0423163,0.736466,0.768606,0.0321401,34.9459,35.0744,11,8,-3,0.977823,1.13606,0.15824,0,0,0,0
9,1748,2,0.246912,0.246912,0.326216,0.584413,0.258197,33.3049,34.3377,7,16,9,0.806211,0.573879,0.232333,0,0,0,0
9,1748,3,0.0614372,0.0614372,0.796618,0.695496,0.101122,35.1865,34.782,12,6,-6,0.658047,0.813856,0.155809,0,0,0,0
10,1749,1,0.025924,0.025924,0.753411,0.736466,0.0169446,35.0136,34.9459,8,9,1,1.13606,1.07668,0.0593837,0,0,1,0
10,1749,2,0.0038743,0.0038743,0.397442,0.326216,0.0712267,33.5898,33.3049,16,15,-1,0.573879,0.629676,0.0557973,0,1,0,0
10,1749,3,0.00592911,0.00592911,0.78638,0.796618,0.0102381,35.1455,35.1865,6,6,0,0.813856,0.892682,0.0788256,0,1,1,0
11,1750,1,0.0252792,0.0252792,0.775681,0.753411,0.0222706,35.1027,35.0136,9,11,2,1.07668,1.03505,0.0416291,0,0,0,0
11,1750,2,0.247113,0.247113,0.600864,0.397442,0.203422,34.4035,33.5898,15,7,-8,0.629676,0.864994,0.235318,0,0,0,0
11,1750,3,0.111003,0.111003,0.674124,0.78638,0.112256,34.6965,35.1455,6,12,6,0.892682,0.663949,0.228733,0,0,0,0
12,1751,1,0.0639654,0.0639654,0.736815,0.775681,0.0388662,34.9473,35.1027,11,8,-3,1.03505,1.20552,0.170469,0,0,0,0
12,1751,2,0.222692,0.222692,0.394268,0.600864,0.206596,33.5771,34.4035,7,15,8,0.864994,0.574852,0.290142,0,0,0,0
12,1751,3,0.101048,0.101048,0.76643,0.674124,0.0923057,35.0657,34.6965,12,7,-5,0.663949,0.78861,0.124661,0,0,0,0
13,1752,1,0.0347012,0.0347012,0.755309,0.736815,0.018494,35.0212,34.9473,8,9,1,1.20552,1.10711,0.0984053,0,0,1,0
13,1752,2,0.029621,0.029621,0.405204,0.394268,0.0109358,33.6208,33.5771,15,13,-2,0.574852,0.694785,0.119933,0,0,1,0
13,1752,3,0.00594789,0.00594789,0.72592,0.76643,0.0405099,34.9037,35.0657,7,8,1,0.78861,0.809732,0.0211219,0,1,0,0
14,1753,1,0.0350091,0.0350091,0.776502,0.755309,0.0211935,35.106,35.0212,9,11,2,1.10711,1.03969,0.0674259,0,0,0,0
14,1753,2,0.0583262,0.0583262,0.431079,0.405204,0.0258757,33.7243,33.6208,13,10,-3,0.694785,0.778775,0.0839896,0,0,0,0
14,1753,3,0.0177165,0.0177165,0.727042,0.72592,0.00112271,34.9082,34.9037,8,9,1,0.809732,0.720634,0.0890973,0,1,1,0
15,1754,1,0.0265825,0.0265825,0.752145,0.776502,0.0243571,35.0086,35.106,11,11,0,1.03969,1.05003,0.0103392,0,0,0,0
15,1754,2,0.0419308,0.0419308,0.418101,0.431079,0.0129784,33.6724,33.7243,10,10,0,0.778775,0.781886,0.0031112,0,0,1,0
15,1754,3,0.0104262,0.0104262,0.732407,0.727042,0.00536448,34.9296,34.9082,9,9,0,0.720634,0.728872,0.0082376,0,1,1,1
16,1755,1,0.0332912,0.0332912,0.755354,0.752145,0.00320834,35.0214,35.0086,11,7,-4,1.05003,1.22535,0.175326,0,0,1,0
16,1755,2,0.141826,0.141826,0.370131,0.418101,0.04797,33.4805,33.6724,10,15,5,0.781886,0.670614,0.111272,0,0,0,0
