time_s,step,agent,buffer_size,critic_loss,actor_loss,alpha,target_q_mean,q1_mean,q2_mean,log_prob_mean,action_abs_mean,obs_mean,obs_std,obs_norm_mean,obs_norm_var
0.5,1740,0,1710,0.22282,-6.43511,0.085792,6.293,6.14875,6.19486,-0.226928,0.635773,7.27697,3.69251,7.3734,6.70181
0.5,1740,1,1710,0.185951,-6.3765,0.0854379,6.35328,6.36915,6.31006,-0.759519,0.571016,6.62559,3.24046,6.80538,6.16423
0.5,1740,2,1710,0.159663,-5.97685,0.085539,6.04325,6.07602,6.09708,-0.620054,0.573453,7.32109,3.75969,7.43635,6.36647
3,1745,0,1715,0.232956,-6.28937,0.0856636,6.16826,6.12932,6.1631,-0.190931,0.639389,7.45059,3.79314,7.37294,6.69402
3,1745,1,1715,0.200641,-6.40415,0.0853097,6.36876,6.37433,6.30064,-0.819483,0.615206,6.58032,3.35766,6.80125,6.16991
3,1745,2,1715,0.182239,-6.03079,0.0854113,5.93585,5.91699,6.01471,-0.409419,0.62584,7.37686,3.6565,7.43492,6.37401
5.5,1750,0,1720,0.314444,-6.42594,0.0855369,6.25007,6.31525,6.3063,-0.120237,0.671812,7.75302,3.68756,7.37735,6.68015
5.5,1750,1,1720,0.190073,-6.62616,0.0851818,6.50025,6.49168,6.53806,-0.771103,0.591234,6.53341,3.27509,6.79618,6.14609
5.5,1750,2,1720,0.228755,-6.10659,0.0852862,6.01571,6.01623,6.01806,-0.192772,0.649941,7.46101,3.65661,7.43803,6.35221
8,1755,0,1725,0.263023,-6.51013,0.085413,6.28545,6.3941,6.43835,0.0158193,0.668556,7.40202,3.75805,7.37512,6.6564
8,1755,1,1725,0.170929,-6.44123,0.0850546,6.41705,6.37792,6.41097,-0.840716,0.563089,6.72535,3.48201,6.80114,6.13494
8,1755,2,1725,0.213101,-6.17253,0.0851632,6.04732,6.08945,6.06905,-0.0333338,0.662042,7.26437,3.57854,7.4332,6.34181
10.5,1760,0,1730,0.267101,-6.54216,0.0852874,6.46508,6.50513,6.46033,0.117457,0.68647,7.46316,3.91046,7.37081,6.65956
10.5,1760,1,1730,0.19809,-6.5501,0.0849274,6.39031,6.4278,6.43288,-1.05884,0.552229,6.84951,3.41579,6.80099,6.13414
10.5,1760,2,1730,0.229168,-6.22197,0.0850413,6.10041,6.07069,6.09191,-0.320171,0.681784,7.11061,3.39362,7.43367,6.3268
13,1765,0,1735,0.364203,-6.50664,0.0851625,6.43256,6.31606,6.37946,-0.423875,0.609721,7.59142,3.65358,7.37415,6.67171
13,1765,1,1735,0.252266,-6.58131,0.0848005,6.38256,6.51939,6.51656,-0.74137,0.592585,6.70833,3.35724,6.79725,6.1321
13,1765,2,1735,0.190752,-6.21402,0.0849198,6.01163,6.14843,6.08205,-0.470493,0.616898,7.46826,3.55141,7.43498,6.32453
15.5,1770,0,1740,0.277077,-6.462,0.0850352,6.39384,6.43842,6.39007,-0.503546,0.631763,7.42318,3.66259,7.37212,6.67516
15.5,1770,1,1740,0.275317,-6.47384,0.0846741,6.51314,6.36321,6.36155,-0.752667,0.594671,6.7025,3.41799,6.79764,6.12909
15.5,1770,2,1740,0.205958,-6.16883,0.084797,6.16601,6.08031,6.09778,-0.47001,0.59653,7.37092,3.67641,7.43484,6.31358
18,1775,0,1745,0.343295,-6.61256,0.0849056,6.48786,6.44504,6.5153,-0.448987,0.612219,7.16413,3.71247,7.36657,6.68226
